rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
65,2230,2025-26,"Thompson,Justice",Bluffton,G,Heartland Collegiate Athletic Conference (HCAC),hcac,26,15.807692307692308,6.12,2.31,0.58,0.35,0.12,0.3461538461538461,-1.690481599285752,65
66,2241,2025-26,"Foster,Jaxon",Bluffton,G,Heartland Collegiate Athletic Conference (HCAC),hcac,26,18.0,5.88,1.46,0.54,0.46,0.42,0.4230769230769231,-1.7098034157739737,65
67,2341,2025-26,"Pruitt,Donovan",Earlham,G,Heartland Collegiate Athletic Conference (HCAC),hcac,23,19.347826086956523,7.22,1.91,2.0,0.61,0.09,1.8695652173913044,-1.910550370991634,64
68,2422,2025-26,"Lancaster,Cayden",Transylvania,,Heartland Collegiate Athletic Conference (HCAC),hcac,28,15.0,5.39,2.75,0.75,0.43,0.14,0.7142857142857143,-2.039242408321291,63
69,2427,2025-26,"Stoudemire,Kobe",Rose-Hulman,G,Heartland Collegiate Athletic Conference (HCAC),hcac,25,21.44,4.68,1.88,1.76,0.44,0.0,0.64,-2.056330065159028,63
70,2440,2025-26,"Bilton,Jay",Mount St. Joseph,G,Heartland Collegiate Athletic Conference (HCAC),hcac,26,21.846153846153847,4.58,2.54,1.88,0.42,0.23,1.1538461538461535,-2.0850735482151004,63
71,2443,2025-26,"McElheney,Will",Rose-Hulman,F,Heartland Collegiate Athletic Conference (HCAC),hcac,26,14.153846153846152,4.42,3.54,1.15,0.31,0.0,0.6153846153846154,-2.088790477977872,63
72,2548,2025-26,"Sullivan,Jack",Earlham,F,Heartland Collegiate Athletic Conference (HCAC),hcac,22,16.454545454545453,4.91,2.5,0.59,0.41,0.09,0.5,-2.2826133518345224,61
73,2601,2025-26,"Russell,Braylon",Franklin,G,Heartland Collegiate Athletic Conference (HCAC),hcac,18,16.333333333333332,4.83,3.5,0.44,0.67,0.22,1.1666666666666667,-2.387022925358215,60
74,2631,2025-26,"Newton,Chase",Earlham,G,Heartland Collegiate Athletic Conference (HCAC),hcac,24,17.375,3.08,2.42,1.67,0.96,0.08,1.0416666666666667,-2.434382527595224,60
75,2635,2025-26,"McNabb,Connor",Franklin,G,Heartland Collegiate Athletic Conference (HCAC),hcac,25,15.52,3.44,3.12,0.72,0.32,0.16,0.36,-2.43799546359322,60
76,2710,2025-26,"Boehler,Talan",Manchester,G,Heartland Collegiate Athletic Conference (HCAC),hcac,24,17.791666666666668,5.42,1.63,0.5,0.33,0.0,0.4583333333333333,-2.5870875785423646,59
77,2729,2025-26,"Jamison,Will",Anderson,G,Heartland Collegiate Athletic Conference (HCAC),hcac,25,12.92,5.28,1.28,1.04,0.72,0.0,1.0,-2.6297761142417855,59
78,2816,2025-26,"Stone,Sam",Transylvania,F,Heartland Collegiate Athletic Conference (HCAC),hcac,27,12.592592592592592,3.07,3.11,0.67,0.26,0.19,0.5185185185185185,-2.8328180991628873,58
79,2856,2025-26,"Derry,Griffen",Mount St. Joseph,G,Heartland Collegiate Athletic Conference (HCAC),hcac,25,12.72,5.8,1.64,0.32,0.08,0.0,0.56,-2.9089093917114597,57
