rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
50,1733,"Walther,Owen",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,25.76,9.08,2.36,0.84,0.36,0.04,0.56,-0.5768573670125493,72
51,1784,"Tostrud,Luther",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,22.23076923076923,3.42,3.88,1.77,1.04,0.35,0.5384615384615384,-0.7012394324448996,71
52,1819,"Izuora,Obinna",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,16.384615384615383,7.23,2.73,0.92,0.85,0.12,0.7307692307692307,-0.7753932318796934,71
53,1844,"Palmer,John",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,24,29.625,8.04,3.29,2.13,0.75,0.08,1.8333333333333333,-0.8144841162478168,71
54,1901,"Brush,Ryan",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,21,18.38095238095238,7.57,2.24,1.29,0.62,0.05,0.8095238095238095,-0.965973488112337,70
55,1921,"Johnson,Carlos",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,11,14.454545454545457,5.45,3.73,1.0,0.64,0.36,0.7272727272727273,-1.0141543672590465,70
56,1934,Henry Tschetter,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,20.08,6.36,4.12,1.44,0.6,0.04,1.08,-1.046713849243988,69
57,1995,Liam Farniok,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,24.25925925925926,7.22,2.3,2.0,0.63,0.07,1.3333333333333333,-1.1703914493655594,69
58,1999,"Branham,Khai",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,22.40909090909091,7.05,3.55,1.18,0.5,0.09,1.0909090909090908,-1.1802287396511195,68
59,2017,"Rabaey,Isaac",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,20.03703703703704,6.59,4.33,0.96,0.48,0.3,1.2962962962962965,-1.2254625153996122,68
60,2046,"Jilla,Kyle",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,28.59090909090909,5.23,6.32,1.68,0.73,0.23,2.0454545454545454,-1.2954278145583076,68
61,2056,"Axmed,Ali",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,19.703703703703702,4.56,2.33,2.04,0.96,0.22,0.9629629629629628,-1.3173856526076535,68
62,2059,"Gomez,Trent",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,17.869565217391305,6.39,1.3,0.7,1.04,0.04,0.391304347826087,-1.3203085527626213,68
63,2076,"Laliberte,Braedy",Hamline,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,17.52,5.12,1.8,1.04,1.24,0.32,0.8,-1.3500457962404289,67
64,2077,"Willis,Chris",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,16.36,5.44,1.8,1.6,0.64,0.0,0.36,-1.353506328623567,67
65,2107,Jamison Lien,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,15.074074074074074,6.67,3.96,0.63,0.26,0.11,0.7777777777777778,-1.426326897907027,67
66,2145,"Holzer,Cole",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,16.192307692307693,5.15,3.88,1.31,0.58,0.27,1.1153846153846154,-1.494821207388833,67
67,2211,Charlie Theis,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,24,14.625,6.96,3.63,0.46,0.29,0.08,0.875,-1.6548779294009095,66
68,2256,"Kaba,Omar",Carleton,Minnesota Intercollegiate Athletic Conference (MIAC),miac,21,17.428571428571427,3.67,3.29,0.81,0.57,0.81,0.9047619047619048,-1.7410028212706896,65
69,2317,"Mattes,Adam",Bethel,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,20.96,6.72,2.56,1.0,0.2,0.12,0.92,-1.8624989012014792,64
70,2408,"Jones,Drelyn",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,18,16.77777777777778,4.17,2.33,0.83,0.78,0.22,0.5555555555555556,-2.019173827476274,63
71,2417,"Diaz,Javier",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,12.76,8.28,3.36,0.48,0.28,0.2,1.76,-2.033407876330591,63
72,2526,Justin Johnson,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,24,14.041666666666666,6.5,1.42,1.17,0.29,0.04,0.9166666666666666,-2.2578512198826113,61
73,2597,"Teklemariam,Nebiyu",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,13.363636363636363,4.68,1.68,0.73,0.36,0.32,0.5454545454545454,-2.380684567515799,60
74,2611,"Rodriguez,Keenan",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,19.814814814814813,5.04,1.33,1.0,0.63,0.07,0.7037037037037037,-2.4044118106313954,60
75,2628,"Courneya,Justin",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,25.62962962962963,4.93,1.52,2.07,0.48,0.11,1.2962962962962965,-2.4292193681867555,60
