rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
51,1982,"Bratakos,Angelos",Bard,Liberty League (LL),ll,25,27.36,9.4,4.2,0.76,0.88,0.24,2.4,-1.141946821338956,69
52,1986,"Greenberg,Sacha",Vassar,Liberty League (LL),ll,24,14.583333333333334,6.17,4.13,0.58,0.13,0.29,0.4583333333333333,-1.1460940157288664,69
53,2031,"Zinn,Gyasi",Vassar,Liberty League (LL),ll,28,17.107142857142858,2.5,4.68,0.57,0.36,1.21,0.6071428571428571,-1.2570977653252409,68
54,2040,"Lemmond,Nick",Ithaca,Liberty League (LL),ll,26,17.346153846153847,7.38,2.35,0.81,0.77,0.04,0.8846153846153846,-1.2797084874533071,68
55,2156,"Kocak,Aydin",Clarkson,Liberty League (LL),ll,25,21.0,4.84,3.36,1.32,0.24,0.68,1.04,-1.5268960096416502,66
56,2159,"Tawiah-Boateng,Nate",RPI,Liberty League (LL),ll,21,14.952380952380953,3.95,3.81,1.38,0.62,0.52,1.0476190476190477,-1.5401692914343943,66
57,2217,"Wertz,Will",Skidmore,Liberty League (LL),ll,26,19.115384615384617,5.27,2.5,0.85,0.81,0.27,0.8076923076923077,-1.6686626142384589,66
58,2258,"Suriano,Colton",St. Lawrence,Liberty League (LL),ll,27,22.444444444444443,5.33,2.52,0.56,0.81,0.41,0.8888888888888888,-1.7419863663128328,65
59,2277,"Nelson,Xavier",RIT,Liberty League (LL),ll,25,17.72,5.0,3.44,0.8,0.56,0.12,0.68,-1.7820498252713786,65
60,2309,"Umstead,Jalen",Bard,Liberty League (LL),ll,23,17.26086956521739,5.74,3.3,0.91,0.35,0.78,1.608695652173913,-1.8472270586497124,64
61,2352,"Padilla,Nick",Skidmore,Liberty League (LL),ll,24,17.125,7.21,2.17,1.63,0.5,0.0,1.5416666666666667,-1.927774564210566,64
62,2389,"Luberoff,David",Ithaca,Liberty League (LL),ll,21,13.285714285714286,6.1,5.48,0.33,0.1,0.62,1.8095238095238095,-1.9939271202358952,63
63,2435,"Furse,Cade",Union,Liberty League (LL),ll,21,13.666666666666666,3.38,1.81,0.76,0.86,0.24,0.1904761904761904,-2.0679544049635026,63
64,2455,"Muntner,Harrison",Hobart,Liberty League (LL),ll,25,11.64,5.12,2.48,1.16,0.52,0.32,1.12,-2.1085170361690904,62
65,2518,"Dyer,Seth",Bard,Liberty League (LL),ll,25,23.72,4.48,3.56,0.76,0.52,0.44,1.24,-2.2450422130758385,62
66,2530,"Otis,Jackson",RIT,Liberty League (LL),ll,19,15.473684210526317,4.11,2.79,0.37,0.53,0.47,0.6842105263157895,-2.2620590583301494,61
67,2570,"Leysath,Chris",Ithaca,Liberty League (LL),ll,25,15.88,4.08,4.4,1.08,0.36,0.2,1.2,-2.325530654402222,61
68,2590,"Collins,Harrison",Union,Liberty League (LL),ll,26,15.423076923076923,3.08,2.62,1.73,0.77,0.23,1.0769230769230769,-2.357448577629837,61
