conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
landmark_conference,Landmark Conference,2025-26,softball,Wilkes,Hannah Boyd,,,,32,32,82.0,20.0,24.0,6.0,3.0,0.0,0.0,17.0,0.0,0.0,5.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,27.0,107.0,2.0,1.0,0.293,0.329,215.0,10.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,228.0,0.987,6.0,0.833,2.0,1.0,26.0,33.0,"8,37",0.22,8.0,37.0,"9,35",0.26,9.0,35.0,"6,21",0.29,6.0,21.0,"2,3",0.67,2.0,3.0,0,0.0,0.0,0.0,"8,11","0,3","21,47",4,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3877283899439151,2000,66
nwc,Northwest Conference (NWC),2025-26,softball,Lewis & Clark,Zehnder Mckenna,,,,24,24,54.0,14.0,19.0,13.0,3.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,22.0,64.0,3.0,0.667,0.352,0.407,92.0,10.0,1.0,2.0,0.0,14.0,3.0,1.0,0.0,103.0,0.99,17.0,0.824,1.0,5.0,14.0,19.0,"3,19",0.16,3.0,19.0,"10,35",0.29,10.0,35.0,"8,24",0.33,8.0,24.0,"2,3",0.67,2.0,3.0,0,0.0,0.0,0.0,"6,10","10,10","23,42",3,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3876149351242975,2001,66
pac,Presidents Athletic Conference (PAC),2025-26,softball,Allegheny,Cameron Long,,,,36,34,95.0,12.0,27.0,13.0,8.0,0.0,1.0,7.0,0.0,1.0,31.0,12.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,38.0,108.0,5.0,0.8,0.284,0.4,217.0,10.0,1.0,5.0,0.0,34.0,1.0,3.0,0.0,228.0,0.996,35.0,0.971,3.0,0.0,12.0,29.0,"8,32",0.25,8.0,32.0,"16,47",0.34,16.0,47.0,"9,30",0.3,9.0,30.0,"1,4",0.25,1.0,4.0,0,0.0,0.0,0.0,"7,28","3,4","25,55",0,0.0,0.0,0.0,11,0.0,0.0,0.0,5.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3875181148216475,2002,66
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"vanderSommen, Sophia",,,,20,12,39.0,7.0,11.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.362,17.0,47.0,0.0,0.0,0.282,0.436,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.955,0.0,0.0,3.0,1.0,9.0,13.0,"3,13",0.23,3.0,13.0,"8,25",0.32,8.0,25.0,"5,18",0.28,5.0,18.0,"0,4",0.0,0.0,4.0,0,0.0,0.0,0.0,"6,9","5,8","15,30",1,0.0,0.0,0.0,46,0.0,0.0,0.0,5.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3864086047305974,2003,66
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,softball,MUW,Lilly Harrison,,,,43,44,98.0,16.0,30.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,32.0,109.0,15.0,0.8,0.306,0.327,73.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,80.0,0.975,0.0,0.0,3.0,4.0,30.0,17.0,"8,24",0.33,8.0,24.0,"12,48",0.25,12.0,48.0,"7,28",0.25,7.0,28.0,"4,10",0.4,4.0,10.0,0.0,0.0,0.0,0.0,"6,28","2,9","24,57",26,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385199151654771,2004,66
mac,Middle Atlantic Conferences (MAC),2025-26,softball,DeSales,Madison Kelly,,,,25,12,35.0,4.0,14.0,11.0,1.0,0.0,2.0,11.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,21.0,51.0,0.0,0.0,0.4,0.6,50.0,3.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,53.0,1.0,10.0,0.8,0.0,0.0,7.0,12.0,"2,10",0.2,2.0,10.0,"5,17",0.29,5.0,17.0,"3,11",0.27,3.0,11.0,"1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,"6,12","6,6","13,25",11,0.0,0.0,0.0,52,0.0,0.0,0.0,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3831599417308181,2005,66
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Gustavus,Carly Olson,,,,40,40,122.0,4.0,31.0,16.0,6.0,0.0,1.0,15.0,0.0,3.0,24.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,40.0,140.0,2.0,0.0,0.254,0.328,96.0,36.0,8.0,6.0,0.0,28.0,2.0,2.0,0.0,140.0,0.943,30.0,0.933,4.0,3.0,19.0,43.0,"12,41",0.29,12.0,41.0,"17,66",0.26,17.0,66.0,"13,45",0.29,13.0,45.0,"5,8",0.63,5.0,8.0,0,0.0,0.0,0.0,"13,39","6,10","29,71",60,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3824325393136529,2006,66
nac,North Atlantic Conference (NAC),2025-26,softball,Lesley,L. Martin,,,,32,32,97.0,9.0,27.0,19.0,7.0,0.0,0.0,4.0,0.0,1.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.314,34.0,102.0,0.0,0.0,0.278,0.351,178.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,190.0,0.979,0.0,0.0,1.0,5.0,43.0,8.0,"12,35",0.34,12.0,35.0,"16,65",0.25,16.0,65.0,"12,43",0.28,12.0,43.0,"5,6",0.83,5.0,6.0,0.0,0.0,0.0,0.0,"4,14","7,11","33,66",15,0.0,0.0,0.0,0,0.0,0.0,0.0,22.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381093514479787,2007,66
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Arcadia,Kyleigh Mihalik,,,,35,29,86.0,12.0,25.0,10.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,26.0,92.0,6.0,0.833,0.291,0.302,50.0,53.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,112.0,0.92,0.0,0.0,1.0,9.0,30.0,19.0,"11,30",0.37,11.0,30.0,"13,44",0.3,13.0,44.0,"8,24",0.33,8.0,24.0,"4,11",0.36,4.0,11.0,0,0.0,0.0,0.0,"7,21","5,6","28,48",14,0.0,0.0,0.0,35,0.0,0.0,0.0,12.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3810161794399658,2008,66
ccc,The Commonwealth Coast Conference (CCC),2025-26,softball,Gordon College,E. Graham,,,,38,33,88.0,10.0,27.0,12.0,4.0,0.0,0.0,12.0,0.0,1.0,12.0,3.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.392,31.0,107.0,5.0,0.8,0.307,0.352,13.0,42.0,4.0,0.0,0.0,23.0,7.0,0.0,0.0,59.0,0.932,30.0,0.767,4.0,2.0,33.0,19.0,"10,28",0.36,10.0,28.0,"14,46",0.3,14.0,46.0,"9,33",0.27,9.0,33.0,"2,7",0.29,2.0,7.0,0,0.0,0.0,0.0,"7,24","8,12","33,58",15,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,21.0,0.0,201.0,1.0,20.0,8.0,11.0,3.0,8.0,0.0,0.0,0.0,137.2,111.0,92.0,22.0,64.0,35.0,7.0,5.0,4.68,599.0,655.0,6.0,10.0,0.0,7.0,17.0,0.0,0.0,18.0,0.336,140.0,189.0,0.0,"0,3","2,5","0,1",0.0,"1,4",0.3808817866142868,2009,66
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Eastern Mennonite University,Sydney Orndorff,,,,31,28,83.0,9.0,18.0,11.0,5.0,0.0,1.0,5.0,0.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.261,26.0,90.0,3.0,0.667,0.217,0.313,49.0,7.0,2.0,1.0,0.0,29.0,2.0,0.0,0.0,58.0,0.966,31.0,0.935,2.0,6.0,28.0,27.0,"3,28",0.11,3.0,28.0,"12,51",0.24,12.0,51.0,"7,36",0.19,7.0,36.0,"4,6",0.67,4.0,6.0,0,0.0,0.0,0.0,"3,21","4,10","21,54",4,0.0,0.0,0.0,1,0.0,0.0,0.0,8.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.380461878288853,2010,66
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,softball,Webster,Marah Schotz,,,,24,24,71.0,12.0,18.0,13.0,2.0,1.0,1.0,2.0,0.0,2.0,16.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,25.0,77.0,2.0,1.0,0.254,0.352,22.0,39.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,0.871,0.0,0.0,3.0,4.0,15.0,21.0,"6,24",0.25,6.0,24.0,"16,48",0.33,16.0,48.0,"9,28",0.32,9.0,28.0,"1,3",0.33,1.0,3.0,0.0,0.0,0.0,0.0,"3,16","6,12","27,53",14,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379365604543188,2011,66
umac,Upper Midwest Athletic Conference (UMAC),2025-26,softball,Crown,Sydney Gardner,,,,33,30,86.0,16.0,20.0,15.0,6.0,2.0,0.0,12.0,0.0,5.0,23.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.359,30.0,103.0,9.0,0.778,0.233,0.349,176.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,184.0,0.989,0.0,0.0,4.0,3.0,24.0,14.0,"10,30",0.33,10.0,30.0,"13,50",0.26,13.0,50.0,"10,37",0.27,10.0,37.0,"4,6",0.67,4.0,6.0,0,0.0,0.0,0.0,"8,18","4,9","29,56",42,0.0,0.0,0.0,58,0.0,0.0,0.0,10.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3791967114348004,2012,66
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,St. Catherine,Lucy Mansell,,,,39,37,104.0,14.0,30.0,10.0,8.0,0.0,0.0,5.0,0.0,1.0,19.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.327,38.0,114.0,7.0,0.714,0.288,0.365,44.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.957,0.0,0.0,4.0,7.0,25.0,29.0,"8,29",0.28,8.0,29.0,"21,64",0.33,21.0,64.0,"12,39",0.31,12.0,39.0,"1,5",0.2,1.0,5.0,0,0.0,0.0,0.0,"7,18","3,10","33,68",5,0.0,0.0,0.0,24,0.0,0.0,0.0,9.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3788485640368533,2013,66
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Carroll,Mk Dusza,,,,39,39,119.0,2.0,31.0,18.0,1.0,0.0,0.0,9.0,0.0,1.0,11.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.313,32.0,135.0,0.0,0.0,0.261,0.269,219.0,9.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,232.0,0.983,0.0,0.0,0.0,11.0,55.0,27.0,"13,42",0.31,13.0,42.0,"17,73",0.23,17.0,73.0,"12,54",0.22,12.0,54.0,"0,5",0.0,0.0,5.0,0.0,0.0,0.0,0.0,"11,27","10,19","42,83",77,0.0,0.0,0.0,0,0.0,0.0,0.0,22.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3776520349138009,2014,66
arc,American Rivers Conference (ARC),2025-26,softball,Coe,Maggie Strupp,,,,38,35,76.0,16.0,20.0,9.0,2.0,0.0,0.0,9.0,0.0,2.0,9.0,4.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.356,22.0,92.0,6.0,1.0,0.263,0.289,48.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,0.929,0.0,0.0,3.0,2.0,28.0,21.0,"5,21",0.24,5.0,21.0,"7,32",0.22,7.0,32.0,"3,20",0.15,3.0,20.0,"3,9",0.33,3.0,9.0,0.0,0.0,0.0,0.0,"11,27","4,6","19,38",16,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,11.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376691635746175,2015,66
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Saint Mary's,Gia Schiavone,,,,28,27,82.0,14.0,22.0,11.0,3.0,0.0,0.0,6.0,0.0,0.0,13.0,5.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,25.0,91.0,6.0,1.0,0.268,0.305,33.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.973,0.0,0.0,2.0,2.0,14.0,33.0,"9,29",0.31,9.0,29.0,"11,43",0.26,11.0,43.0,"7,27",0.26,7.0,27.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"2,10","2,8","24,48",12,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,15.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3753506709941039,2016,66
mwc,Midwest Conference (MWC),2025-26,softball,Monmouth (IL),Savannah Powers,,,,26,24,78.0,9.0,23.0,14.0,6.0,1.0,0.0,4.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,31.0,83.0,3.0,1.0,0.295,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,26.0,"6,19",0.32,6.0,19.0,"14,35",0.4,14.0,35.0,"11,21",0.52,11.0,21.0,"4,7",0.57,4.0,7.0,0,0.0,0.0,0.0,"5,19","5,10","20,37",29,0.0,0.0,0.0,3,0.0,0.0,0.0,5.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3729257944953326,2017,66
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Saint Mary's,Laura Heim,,,,25,25,69.0,12.0,17.0,12.0,2.0,1.0,1.0,4.0,0.0,4.0,13.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.321,24.0,80.0,2.0,1.0,0.246,0.348,22.0,54.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,0.894,0.0,0.0,3.0,3.0,21.0,18.0,"2,12",0.17,2.0,12.0,"14,37",0.38,14.0,37.0,"11,19",0.58,11.0,19.0,"0,2",0.0,0.0,2.0,0,0.0,0.0,0.0,"2,10","3,5","26,43",11,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3710912715283019,2018,66
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,softball,Bluffton,K. Michael,,,,33,33,86.0,7.0,22.0,15.0,6.0,0.0,1.0,7.0,0.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,31.0,96.0,0.0,0.0,0.256,0.36,42.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.957,0.0,0.0,3.0,3.0,24.0,22.0,"10,30",0.33,10.0,30.0,"17,54",0.31,17.0,54.0,"10,35",0.29,10.0,35.0,"1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,"3,15","2,9","32,59",39,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3689147876292356,2019,66
arc,American Rivers Conference (ARC),2025-26,softball,Coe,Hadyn Shoots,,,,37,37,107.0,14.0,27.0,21.0,4.0,2.0,0.0,14.0,0.0,2.0,28.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.344,35.0,126.0,0.0,0.0,0.252,0.327,31.0,55.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,90.0,0.956,0.0,0.0,0.0,1.0,16.0,39.0,"9,39",0.23,9.0,39.0,"19,69",0.28,19.0,69.0,"13,47",0.28,13.0,47.0,"3,15",0.2,3.0,15.0,0.0,0.0,0.0,0.0,"6,21","7,11","29,76",49,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3687189357258629,2020,66
nac,North Atlantic Conference (NAC),2025-26,softball,Husson ,Rice Lydia,,,,32,29,76.0,11.0,24.0,12.0,4.0,1.0,0.0,6.0,0.0,3.0,12.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.384,30.0,87.0,7.0,0.714,0.316,0.395,24.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.932,0.0,0.0,3.0,5.0,20.0,19.0,"9,26",0.35,9.0,26.0,"12,36",0.33,12.0,36.0,"10,26",0.38,10.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,25","2,5","18,39",13,0.0,0.0,0.0,1,0.0,0.0,0.0,4.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3656528548416667,2021,66
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Williams,K. Glickman,,,,27,23,55.0,8.0,11.0,11.0,0.0,0.0,2.0,4.0,0.0,2.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.279,17.0,62.0,1.0,1.0,0.2,0.309,208.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,216.0,0.995,0.0,0.0,1.0,2.0,10.0,24.0,"6,22",0.27,6.0,22.0,"8,30",0.27,8.0,30.0,"7,20",0.35,7.0,20.0,"0,3",0.0,0.0,3.0,0,0.0,0.0,0.0,"2,7","2,4","14,34",17,0.0,0.0,0.0,3,0.0,0.0,0.0,3.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3655975203408605,2022,66
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Albright,A. Langlois,,,,38,37,113.0,22.0,34.0,6.0,4.0,1.0,0.0,15.0,0.0,1.0,21.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,40.0,131.0,2.0,1.0,0.301,0.354,45.0,32.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0,0.819,0.0,0.0,8.0,2.0,31.0,21.0,"6,29",0.21,6.0,29.0,"13,47",0.28,13.0,47.0,"8,28",0.29,8.0,28.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"17,42","2,6","28,55","0,1",0.0,0.0,1.0,"0,1",0.0,0.0,1.0,4.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3655035283558464,2023,66
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Randolph-Macon College,Jacy Ramos,,,,44,36,79.0,18.0,16.0,11.0,3.0,1.0,0.0,10.0,0.0,2.0,11.0,1.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.295,21.0,96.0,6.0,1.0,0.203,0.266,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.979,0.0,0.0,5.0,3.0,23.0,29.0,"5,27",0.19,5.0,27.0,"8,37",0.22,8.0,37.0,"6,25",0.24,6.0,25.0,"2,11",0.18,2.0,11.0,0,0.0,0.0,0.0,"6,22","6,6","22,44",29,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3651955820834913,2024,66
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,softball,Webster,Cheyenne Dickens,,,,29,28,83.0,14.0,24.0,11.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.366,34.0,93.0,3.0,1.0,0.289,0.41,29.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.882,0.0,0.0,6.0,1.0,18.0,25.0,"10,27",0.37,10.0,27.0,"14,46",0.3,14.0,46.0,"7,27",0.26,7.0,27.0,"0,3",0.0,0.0,3.0,0.0,0.0,0.0,0.0,"5,22","6,8","29,49",49,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,15.0,0.0,21.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.1,19.0,15.0,9.0,6.0,5.0,2.0,1.0,7.88,58.0,74.0,7.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.362,18.0,15.0,0.0,"2,5","5,14","1,4",0.0,"7,11",0.3651139011412769,2025,66
pac,Presidents Athletic Conference (PAC),2025-26,softball,Saint Vincent,Shayna Perig,,,,33,28,76.0,16.0,21.0,10.0,3.0,0.0,0.0,6.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.337,24.0,85.0,2.0,1.0,0.276,0.316,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.947,0.0,0.0,4.0,1.0,16.0,33.0,"5,18",0.28,5.0,18.0,"15,47",0.32,15.0,47.0,"10,28",0.36,10.0,28.0,"4,7",0.57,4.0,7.0,0,0.0,0.0,0.0,"1,13","7,10","31,54",28,0.0,0.0,0.0,5,0.0,0.0,0.0,7.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3606243206765265,2026,66
