conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,rank,rating,global_rank
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Charlie Killian,,0,5,1,1,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,35,79,37
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Antti Autere,,0,6,25,5,0,,0,0,0,0,0,0,0,0,0,15,30:00,0,0,0,0,0,0,15,0,0,0,,0.0,40,10,30,31,0,45,6,6,0,0.0,0,0,,,,,,,,,,,,,,,,,,,36,79,38
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Dom Metro,,0,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,37,79,39
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Jack Costanzo,,0,8,24,1,0,,1,0,0,1,0,0,1,0,0,14,36:00,0,0,1,0,0,0,13,188,106,294,0.639,0.56,27,10,17,5,0,44,24,18,6,0.14,0,0,,,,,,,,,,,,,,,,,,,38,79,40
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Sebastian Speck,,0,9,25,0,0,,0,0,0,3,0,0,1,5,0,9,18:00,0,0,0,0,0,0,9,180,165,345,0.522,0.92,33,7,26,6,0,74,24,16,8,0.11,0,0,,,,,,,,,,,,,,,,,,,39,78,41
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Noah Gibbs,,0,10,26,0,0,,0,1,0,3,1,1,2,0,0,3,06:00,0,0,0,0,0,0,3,1,3,4,0.25,3.0,33,6,27,8,0,68,24,12,12,0.18,0,0,,,,,,,,,,,,,,,,,,,40,78,42
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Chase LeClerc,,0,11,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,41,78,43
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Michael Casey,,rw,12,26,24,0,,0,3,0,1,2,2,0,2,0,5,10:00,0,0,0,0,0,0,5,290,194,484,0.599,0.67,18,10,8,4,0,53,17,10,7,0.13,0,0,,,,,,,,,,,,,,,,,,,42,77,44
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Lou Kamienski,,0,13,26,0,0,,1,0,0,2,1,0,2,2,0,3,06:00,0,0,0,0,0,0,3,35,33,68,0.515,0.94,28,6,22,12,0,93,28,16,12,0.13,0,1,,,,,,,,,,,,,,,,,,,43,77,45
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Ryan Vaites,,0,14,3,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,4,1,3,1,0,6,1,0,1,0.17,0,0,,,,,,,,,,,,,,,,,,,44,77,46
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Kyle Furey,,d,15,26,26,0,,0,1,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,0,1,1,0.0,0.0,36,12,24,21,0,58,20,17,3,0.05,0,0,,,,,,,,,,,,,,,,,,,45,77,47
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Anthony Cafarelli,,0,16,21,2,0,,0,1,0,2,0,0,2,2,0,4,08:00,0,0,0,0,0,0,4,3,1,4,0.75,0.33,22,7,15,5,0,61,15,3,12,0.2,0,0,,,,,,,,,,,,,,,,,,,46,76,48
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Ben Jenkinson,,0,17,26,1,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,180,156,336,0.536,0.87,22,4,18,14,0,34,9,5,4,0.12,0,0,,,,,,,,,,,,,,,,,,,47,76,49
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Cade Baker,,0,18,11,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,6,6,12,0.5,1.0,10,5,5,0,0,18,3,3,0,0.0,0,0,,,,,,,,,,,,,,,,,,,48,76,50
