conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Concordia Chicago,"Hoffman, Marcin",0,,10,97,41,0.192,635.0,93.0,215.0,26.0,0.0,86.0,0.0,8.0,52.0,291.0,0.0,0.0,668.0,31.0,198.0,35.0,2.0,32.0,3.0,242.0,0.0,2.22,0.27,2.04,0.36,0.08,2.49,2.0026861437779737,204,73
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Roanoke College,"Mendoza, Colin",0,,13,113,52,0.283,325.0,57.0,149.0,21.0,1.0,72.0,0.0,25.0,74.0,337.0,0.0,0.0,5.0,1.0,38.0,113.0,3.0,81.0,32.0,246.5,1.0,1.32,0.19,0.34,1.0,0.22,2.18,1.9985762459697003,205,73
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph College,"Woods, Elijah",0,,10,95,35,0.072,682.0,171.0,220.0,11.0,3.0,80.0,0.0,14.0,46.0,329.0,0.0,0.0,477.0,19.0,185.0,33.0,2.0,24.0,9.0,255.0,0.0,2.32,0.12,1.95,0.35,0.15,2.68,1.991849697564676,206,73
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Schmidt, Hunter",0,,30,30,16,0.463,67.0,5.0,36.0,0.0,0.0,9.0,0.0,6.0,10.0,86.0,0.0,0.0,0.0,0.0,11.0,28.0,1.0,25.0,3.0,57.5,0.0,1.2,0.0,0.37,0.93,0.2,1.92,1.9794240701573704,207,73
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Bethany,Riley Burdett,0,,13,74,28,0.09,442.0,125.0,165.0,2.0,7.0,61.0,0.0,22.0,62.0,216.0,0.0,0.0,354.0,21.0,110.0,14.0,3.0,14.0,0.0,194.0,0.0,2.23,0.03,1.49,0.19,0.3,2.62,1.9771363822516852,208,73
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Buckwalter, Paten",0,,11,79,37,0.359,320.0,40.0,155.0,21.0,2.0,72.0,0.0,13.0,42.0,287.0,0.0,0.0,5.0,0.0,52.0,37.0,4.0,27.0,10.0,191.5,0.0,1.96,0.27,0.66,0.47,0.16,2.42,1.97455214090358,209,73
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Cairn University,"Ruiz Esparza, Noah",0,,5,69,47,0.12,324.0,75.0,114.0,15.0,3.0,60.0,0.0,24.0,57.0,224.0,0.0,0.0,69.0,9.0,116.0,25.0,0.0,23.0,2.0,151.5,0.0,1.65,0.22,1.68,0.36,0.35,2.2,1.974425386480595,210,73
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Valley Forge,Charles Hoover,0,,9,3,3,0.364,11.0,3.0,7.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,2.0,10.5,0.0,2.33,4.0,1.33,1.67,0.0,3.5,1.9715019435507963,211,73
e8,Empire 8 (E8),2025-26,mvb,Poly,"Slater, Joshua",0,,4,97,36,0.213,155.0,14.0,47.0,868.0,21.0,1963.0,0.0,15.0,21.0,345.0,0.0,0.0,10.0,0.0,153.0,21.0,2.0,19.0,2.0,73.5,2.0,0.48,8.95,1.58,0.22,0.15,0.76,1.964260341587087,212,73
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,MSOE,"Kozak, Quinn",0,,16,11,5,0.063,64.0,15.0,19.0,1.0,0.0,11.0,0.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,15.0,6.0,1.0,5.0,1.0,23.5,0.0,1.73,0.09,1.36,0.55,0.09,2.14,1.9619468650169305,213,73
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph College,"Smith, Shamel",0,,12,94,48,0.172,528.0,116.0,207.0,5.0,1.0,33.0,0.0,9.0,25.0,105.0,0.0,0.0,5.0,2.0,62.0,53.0,2.0,48.0,5.0,245.0,1.0,2.2,0.05,0.66,0.56,0.1,2.61,1.9565646866683737,214,73
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Ramapo,"Hidalgo, Justin",0,,20,7,0,0.306,36.0,5.0,16.0,0.0,1.0,6.0,0.0,3.0,7.0,18.0,0.0,0.0,22.0,2.0,7.0,0.0,0.0,0.0,0.0,19.0,0.0,2.29,0.0,1.0,0.0,0.43,2.71,1.945430248100753,215,73
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Hiram,"Dwyer, Liam",0,,15,14,4,0.353,51.0,7.0,25.0,2.0,0.0,10.0,0.0,0.0,2.0,51.0,0.0,0.0,1.0,0.0,10.0,10.0,0.0,8.0,2.0,31.0,0.0,1.79,0.14,0.71,0.71,0.0,2.21,1.942663519103769,216,73
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Arcadia,"Elicio, Tucker",0,,16,99,69,0.27,470.0,60.0,187.0,26.0,3.0,93.0,0.0,21.0,46.0,344.0,0.0,0.0,368.0,43.0,91.0,45.0,4.0,39.0,6.0,233.5,0.0,1.89,0.26,0.92,0.45,0.21,2.36,1.9423619565679977,217,73
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Edgewood,"Voigt, Owen",0,,23,52,24,0.289,166.0,30.0,78.0,4.0,0.0,24.0,0.0,13.0,39.0,166.0,0.0,0.0,12.0,2.0,30.0,35.0,2.0,31.0,4.0,110.5,0.0,1.5,0.08,0.58,0.67,0.25,2.13,1.9348131463039888,218,73
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"Kane, Ethan",0,,23,14,5,0.367,49.0,10.0,28.0,0.0,0.0,3.0,0.0,1.0,3.0,33.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,8.0,0.0,33.0,0.0,2.0,0.0,0.14,0.57,0.07,2.36,1.9327701983845504,219,73
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Grove City,"Fair, Craig",0,,1,102,65,0.074,148.0,24.0,35.0,848.0,22.0,1958.0,0.0,19.0,49.0,383.0,0.0,0.0,4.0,0.0,135.0,45.0,5.0,36.0,9.0,81.0,3.0,0.34,8.31,1.32,0.44,0.19,0.79,1.9303729685901976,220,72
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Wilson College,"Sharma, Satvik",0,,7,96,44,0.104,192.0,25.0,45.0,752.0,27.0,2113.0,0.0,30.0,49.0,415.0,0.0,0.0,15.0,4.0,145.0,18.0,6.0,17.0,1.0,84.5,3.0,0.47,7.83,1.51,0.19,0.31,0.88,1.9277205399280573,221,72
skyline_conference,Skyline Conference,2025-26,mvb,Sarah Lawrence,"Xie, Alex",0,,10,81,61,0.114,114.0,17.0,30.0,677.0,35.0,1695.0,0.0,23.0,40.0,323.0,0.0,0.0,3.0,1.0,129.0,15.0,10.0,13.0,2.0,61.5,3.0,0.37,8.36,1.59,0.19,0.28,0.76,1.9205270654414257,222,72
e8,Empire 8 (E8),2025-26,mvb,Nazareth,"Bodensteiner, Andrew",0,,14,84,29,0.371,286.0,34.0,140.0,5.0,1.0,15.0,0.0,20.0,50.0,217.0,0.0,0.0,5.0,0.0,20.0,53.0,7.0,43.0,10.0,191.5,0.0,1.67,0.06,0.24,0.63,0.24,2.28,1.913079166883252,223,72
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Huyke, Sebastian",0,,17,82,32,0.183,109.0,19.0,39.0,666.0,7.0,1482.0,0.0,11.0,38.0,370.0,0.0,0.0,2.0,2.0,182.0,24.0,4.0,23.0,1.0,62.5,0.0,0.48,8.12,2.22,0.29,0.13,0.76,1.912799808201512,224,72
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Misericordia,"Clendening, Benjamin",0,,6,114,64,0.449,234.0,18.0,123.0,14.0,1.0,50.0,0.0,13.0,35.0,183.0,0.0,0.0,1.0,0.0,28.0,138.0,3.0,127.0,11.0,210.5,1.0,1.08,0.12,0.25,1.21,0.11,1.85,1.8873486193804228,225,72
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Hood,"Seely, Sean",0,,16,94,47,0.079,620.0,164.0,213.0,19.0,8.0,104.0,0.0,29.0,65.0,302.0,0.0,0.0,462.0,37.0,139.0,16.0,3.0,14.0,2.0,251.0,2.0,2.27,0.2,1.48,0.17,0.31,2.67,1.8869299508885704,226,72
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Edgewood,"Hartjes, Owen",0,,18,66,30,0.29,290.0,43.0,127.0,2.0,0.0,29.0,0.0,3.0,11.0,79.0,0.0,0.0,3.0,0.0,26.0,43.0,2.0,31.0,12.0,157.5,1.0,1.92,0.03,0.39,0.65,0.05,2.39,1.8783962669401335,227,72
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"Thomas, Jacob",0,,15,83,31,0.363,267.0,26.0,123.0,1.0,1.0,23.0,0.0,0.0,6.0,38.0,0.0,0.0,8.0,1.0,20.0,89.0,10.0,86.0,3.0,169.0,1.0,1.48,0.01,0.24,1.07,0.0,2.04,1.8679383465268136,228,72
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Eastern Mennonite University,"Donnelly, Pierce",0,,19,11,3,0.138,65.0,13.0,22.0,1.0,0.0,4.0,0.0,1.0,6.0,29.0,0.0,0.0,23.0,4.0,2.0,5.0,1.0,3.0,2.0,27.0,0.0,2.0,0.09,0.18,0.45,0.09,2.45,1.8679321998716916,229,72
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Virginia Wesleyan,"Lee-Roosevelt Taylor, Terrell",0,,23,82,42,0.365,208.0,27.0,103.0,3.0,1.0,31.0,0.0,18.0,51.0,210.0,0.0,0.0,3.0,1.0,42.0,72.0,6.0,54.0,18.0,166.0,0.0,1.26,0.04,0.51,0.88,0.22,2.02,1.8600058030245197,230,72
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Staron, Gabriel",0,,10,23,7,-0.008,122.0,39.0,38.0,3.0,0.0,13.0,0.0,8.0,17.0,74.0,0.0,0.0,115.0,3.0,28.0,5.0,1.0,3.0,2.0,49.5,0.0,1.65,0.13,1.22,0.22,0.35,2.15,1.8450510849355803,231,72
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Levandoske, Joshua",0,,13,60,24,0.33,291.0,21.0,117.0,15.0,5.0,48.0,0.0,5.0,15.0,181.0,0.0,0.0,228.0,14.0,81.0,21.0,1.0,16.0,5.0,135.0,0.0,1.95,0.25,1.35,0.35,0.08,2.25,1.8254646860898585,232,72
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,St. Norbert,"Bettag, Grant",0,,4,10,5,0.563,16.0,0.0,9.0,1.0,0.0,2.0,0.0,5.0,4.0,27.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,5.0,0.0,16.5,0.0,0.9,0.1,0.8,0.5,0.5,1.65,1.8126762957247116,233,72
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Rutgers-Newark,"Herrington, Benjamin",0,,1,29,4,0.162,117.0,30.0,49.0,2.0,0.0,13.0,0.0,7.0,28.0,61.0,0.0,0.0,127.0,6.0,30.0,12.0,3.0,12.0,0.0,62.0,0.0,1.69,0.07,1.03,0.41,0.24,2.14,1.810030011470484,234,72
skyline_conference,Skyline Conference,2025-26,mvb,St. Joseph's-Brooklyn,"Guarraci, Gianfranco",0,,9,76,24,0.071,127.0,11.0,20.0,565.0,19.0,1681.0,0.0,28.0,51.0,259.0,0.0,0.0,10.0,4.0,122.0,15.0,5.0,14.0,1.0,56.0,1.0,0.26,7.43,1.61,0.2,0.37,0.74,1.7997388429953771,235,72
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Illinois Tech,"Johnson, Elijah",0,,2,93,34,0.143,126.0,15.0,33.0,635.0,10.0,1525.0,0.0,32.0,39.0,327.0,0.0,0.0,3.0,1.0,184.0,17.0,1.0,15.0,2.0,74.5,2.0,0.35,6.83,1.98,0.18,0.34,0.8,1.788263562290777,236,72
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Illinois Tech,"Dowling, Maximo",0,,20,84,36,0.117,522.0,117.0,178.0,13.0,7.0,78.0,0.0,14.0,53.0,226.0,0.0,0.0,316.0,16.0,114.0,30.0,1.0,24.0,6.0,210.0,1.0,2.12,0.15,1.36,0.36,0.17,2.5,1.7881695067417172,237,71
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Grove City,"Gianneski, Max",0,,10,92,43,0.182,537.0,113.0,211.0,12.0,2.0,76.0,0.0,6.0,33.0,199.0,0.0,0.0,186.0,21.0,132.0,30.0,3.0,22.0,8.0,236.0,1.0,2.29,0.13,1.43,0.33,0.07,2.57,1.776413170881012,238,71
pac,Presidents Athletic Conference (PAC),2025-26,mvb,Grove City,"Norris, Quintin",0,,15,89,55,0.198,465.0,68.0,160.0,16.0,2.0,82.0,0.0,5.0,7.0,137.0,0.0,0.0,366.0,18.0,136.0,50.0,7.0,47.0,3.0,191.5,2.0,1.8,0.18,1.53,0.56,0.06,2.15,1.7763297065342771,239,71
e8,Empire 8 (E8),2025-26,mvb,Nazareth,"Murphy, Ryan",0,,11,87,27,0.349,278.0,34.0,131.0,3.0,0.0,29.0,0.0,22.0,49.0,240.0,0.0,0.0,0.0,0.0,31.0,57.0,8.0,50.0,7.0,185.0,0.0,1.51,0.03,0.36,0.66,0.25,2.13,1.771735197875303,240,71
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Dominican,"Esparza, Kendall",0,,14,41,13,0.314,175.0,27.0,82.0,4.0,1.0,28.0,0.0,9.0,23.0,119.0,0.0,0.0,122.0,5.0,45.0,6.0,0.0,4.0,2.0,95.0,1.0,2.0,0.1,1.1,0.15,0.22,2.32,1.7707459779891523,241,71
e8,Empire 8 (E8),2025-26,mvb,Nazareth,"Burda, AJ",0,,5,99,31,0.244,201.0,33.0,82.0,712.0,10.0,1722.0,0.0,17.0,72.0,392.0,0.0,0.0,22.0,2.0,151.0,22.0,1.0,21.0,1.0,110.5,0.0,0.83,7.19,1.53,0.22,0.17,1.12,1.7687722223842353,242,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Messiah,"Snyder, Todd",0,,1,100,59,0.378,294.0,41.0,152.0,6.0,2.0,24.0,0.0,22.0,96.0,346.0,0.0,0.0,4.0,0.0,35.0,78.0,9.0,60.0,18.0,222.0,0.0,1.52,0.06,0.35,0.78,0.22,2.22,1.7568694850280366,243,71
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Benedictine,"Lindsay, Jaron",0,,10,5,1,0.175,40.0,6.0,13.0,1.0,0.0,2.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,15.5,0.0,2.6,0.2,0.6,0.8,0.0,3.1,1.7522165558607128,244,71
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Roanoke College,"Bowie, Davion",0,,9,11,0,-0.15,40.0,17.0,11.0,3.0,0.0,6.0,0.0,8.0,7.0,26.0,0.0,0.0,13.0,2.0,5.0,1.0,0.0,1.0,0.0,19.5,0.0,1.0,0.27,0.45,0.09,0.73,1.77,1.7494681318120686,245,71
skyline_conference,Skyline Conference,2025-26,mvb,Purchase,"Ruiz, Hector",0,,3,104,49,0.237,511.0,78.0,199.0,23.0,1.0,93.0,0.0,24.0,32.0,320.0,0.0,0.0,409.0,22.0,200.0,19.0,4.0,15.0,4.0,234.5,0.0,1.91,0.22,1.92,0.18,0.23,2.25,1.7487714242847685,246,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Schmitt, Esteban",0,,22,50,20,0.396,134.0,17.0,70.0,10.0,0.0,23.0,0.0,5.0,16.0,95.0,0.0,0.0,3.0,0.0,17.0,43.0,4.0,39.0,4.0,98.5,1.0,1.4,0.2,0.34,0.86,0.1,1.97,1.7444343827743127,247,71
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Neumann,"Burns, Veryl",0,,31,87,43,0.263,377.0,58.0,157.0,10.0,5.0,72.0,0.0,6.0,44.0,134.0,0.0,0.0,15.0,0.0,56.0,57.0,14.0,27.0,30.0,206.5,0.0,1.8,0.11,0.64,0.66,0.07,2.37,1.7339899577555586,248,71
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Sims, Caden",0,,8,18,5,0.114,35.0,8.0,12.0,3.0,0.0,8.0,0.0,13.0,21.0,74.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,6.0,1.0,29.0,0.0,0.67,0.17,0.22,0.39,0.72,1.61,1.7213045711071724,249,71
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,Rutgers-Newark,"Spring, Sean",0,,6,30,6,0.233,129.0,30.0,60.0,4.0,0.0,12.0,0.0,7.0,32.0,92.0,0.0,0.0,163.0,8.0,26.0,5.0,2.0,4.0,1.0,70.0,0.0,2.0,0.13,0.87,0.17,0.23,2.33,1.718551712175759,250,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Arcadia,"Carr, Mike",0,,7,59,29,0.189,238.0,56.0,101.0,6.0,2.0,20.0,0.0,11.0,57.0,146.0,0.0,0.0,117.0,5.0,37.0,35.0,1.0,29.0,6.0,132.5,0.0,1.71,0.1,0.63,0.59,0.19,2.25,1.717703192269433,251,71
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"Meier, Lucas",0,,13,40,7,0.281,203.0,30.0,87.0,3.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,50.0,5.0,18.0,17.0,1.0,16.0,1.0,96.0,0.0,2.18,0.08,0.45,0.43,0.0,2.4,1.7064770102784466,252,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Bone, Phillip",0,,6,42,17,0.187,193.0,36.0,72.0,9.0,3.0,42.0,0.0,10.0,26.0,132.0,0.0,0.0,210.0,14.0,87.0,7.0,4.0,6.0,1.0,86.0,0.0,1.71,0.21,2.07,0.17,0.24,2.05,1.7059519340188296,253,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Heydorn, Bennett",0,,25,41,11,0.201,169.0,40.0,74.0,4.0,1.0,16.0,0.0,13.0,12.0,49.0,0.0,0.0,29.0,0.0,17.0,9.0,4.0,7.0,2.0,92.5,0.0,1.8,0.1,0.41,0.22,0.32,2.26,1.703517860601638,254,71
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevens,"Li, Greg",0,,15,64,25,0.397,184.0,22.0,95.0,14.0,1.0,47.0,0.0,10.0,25.0,224.0,0.0,0.0,4.0,0.0,32.0,43.0,4.0,35.0,8.0,130.5,1.0,1.48,0.22,0.5,0.67,0.16,2.04,1.7009121212795644,255,70
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Dominican,"Cossyleon, Nathaniel",0,,4,49,15,0.227,211.0,40.0,88.0,3.0,1.0,28.0,0.0,15.0,48.0,142.0,0.0,0.0,1.0,0.0,51.0,11.0,0.0,11.0,0.0,108.5,1.0,1.8,0.06,1.04,0.22,0.31,2.21,1.686282111463247,256,70
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Virginia Wesleyan,"Campbell, Carlyle",0,,16,82,40,0.297,239.0,43.0,114.0,2.0,2.0,26.0,0.0,11.0,48.0,289.0,0.0,0.0,4.0,1.0,35.0,74.0,6.0,64.0,10.0,167.0,0.0,1.39,0.02,0.43,0.9,0.13,2.04,1.665675121306559,257,70
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Randolph-Macon College,"Gibson, Seneca",0,,23,13,4,0.373,51.0,4.0,23.0,0.0,0.0,1.0,0.0,2.0,12.0,25.0,0.0,0.0,39.0,1.0,10.0,5.0,0.0,4.0,1.0,28.0,0.0,1.77,0.0,0.77,0.38,0.15,2.15,1.6636055503237324,258,70
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Marian,"Dreifuerst,Isaac",0,,11,87,26,0.161,528.0,98.0,183.0,7.0,1.0,18.0,0.0,12.0,16.0,47.0,0.0,0.0,133.0,6.0,56.0,33.0,5.0,30.0,3.0,213.0,0.0,2.1,0.08,0.64,0.38,0.14,2.45,1.6600079845597644,259,70
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Rockford,"Albers, Josh",0,,2,90,34,0.149,336.0,72.0,122.0,355.0,17.0,991.0,0.0,14.0,33.0,225.0,0.0,0.0,5.0,0.0,115.0,23.0,1.0,15.0,8.0,151.5,3.0,1.36,3.94,1.28,0.26,0.16,1.68,1.6541743169492564,260,70
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"McKee, Martin",0,,14,27,5,0.25,80.0,14.0,34.0,1.0,0.0,6.0,0.0,5.0,7.0,44.0,0.0,0.0,2.0,0.0,5.0,21.0,1.0,17.0,4.0,51.5,0.0,1.26,0.04,0.19,0.78,0.19,1.91,1.6438251669411137,261,70
e8,Empire 8 (E8),2025-26,mvb,Nazareth,"Weaver, Josh",0,,12,75,25,0.189,397.0,91.0,166.0,5.0,0.0,39.0,0.0,12.0,29.0,202.0,0.0,0.0,88.0,5.0,77.0,16.0,3.0,16.0,0.0,186.0,0.0,2.21,0.07,1.03,0.21,0.16,2.48,1.6426071679210648,262,70
njac,New Jersey Athletic Conference (NJAC),2025-26,mvb,NJCU,"McSorley, Matthew",0,,14,25,4,0.342,79.0,8.0,35.0,1.0,1.0,13.0,0.0,6.0,7.0,58.0,0.0,0.0,3.0,0.0,19.0,12.0,2.0,8.0,4.0,49.0,0.0,1.4,0.04,0.76,0.48,0.24,1.96,1.6383343018570629,263,70
e8,Empire 8 (E8),2025-26,mvb,Russell Sage,"Guetti, Anthony",0,,6,106,40,0.133,113.0,21.0,36.0,771.0,16.0,2030.0,0.0,39.0,104.0,424.0,0.0,0.0,8.0,1.0,108.0,32.0,6.0,28.0,4.0,93.0,5.0,0.34,7.27,1.02,0.3,0.37,0.88,1.6355183771795645,264,70
e8,Empire 8 (E8),2025-26,mvb,St. John Fisher,"Ingerick, Evan",0,,19,59,18,0.295,44.0,2.0,15.0,389.0,6.0,676.0,0.0,13.0,26.0,177.0,0.0,0.0,6.0,0.0,102.0,23.0,4.0,18.0,5.0,42.0,0.0,0.25,6.59,1.73,0.39,0.22,0.71,1.6259200284915138,265,70
skyline_conference,Skyline Conference,2025-26,mvb,Purchase,"Mercado, Ayden",0,,11,111,53,0.168,155.0,27.0,53.0,871.0,40.0,2056.0,0.0,19.0,37.0,375.0,0.0,0.0,33.0,5.0,146.0,31.0,18.0,27.0,4.0,89.5,0.0,0.48,7.85,1.32,0.28,0.17,0.81,1.6228426638454072,266,70
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Lynchburg,"Varley, Miller",0,,9,72,35,0.154,91.0,15.0,29.0,523.0,16.0,1424.0,0.0,10.0,25.0,300.0,0.0,0.0,6.0,1.0,76.0,33.0,1.0,31.0,2.0,56.5,1.0,0.4,7.26,1.06,0.46,0.14,0.78,1.6119953951752468,267,70
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Aurora,"Rodarte, Gunner",0,,27,12,4,0.125,48.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,2.0,2.0,5.0,12.0,0.0,12.0,0.0,22.0,0.0,1.33,0.0,0.42,1.0,0.0,1.83,1.5921863440068464,268,70
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Stevenson,"Roth,Connor",0,,16,48,27,0.097,31.0,6.0,9.0,439.0,14.0,1076.0,0.0,13.0,30.0,168.0,0.0,0.0,2.0,2.0,44.0,7.0,0.0,6.0,1.0,26.0,0.0,0.19,9.15,0.92,0.15,0.27,0.54,1.5821743477583676,269,70
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,mvb,Neumann,"John, Victor",0,,7,92,41,0.19,389.0,66.0,140.0,7.0,9.0,64.0,0.0,24.0,34.0,316.0,0.0,0.0,6.0,1.0,60.0,48.0,11.0,33.0,15.0,195.5,1.0,1.52,0.08,0.65,0.52,0.26,2.13,1.5819976946331002,270,70
e8,Empire 8 (E8),2025-26,mvb,Elmira,"Cohen, Max",0,,1,76,32,0.112,98.0,20.0,31.0,674.0,19.0,1620.0,0.0,11.0,27.0,262.0,0.0,0.0,14.0,1.0,135.0,9.0,1.0,7.0,2.0,47.5,1.0,0.41,8.87,1.78,0.12,0.14,0.63,1.5810742289686333,271,70
e8,Empire 8 (E8),2025-26,mvb,Poly,"Hollingsworth, Corey",0,,17,84,26,0.131,459.0,104.0,164.0,12.0,2.0,65.0,0.0,21.0,55.0,257.0,0.0,0.0,249.0,8.0,136.0,16.0,1.0,13.0,3.0,194.5,0.0,1.95,0.14,1.62,0.19,0.25,2.32,1.5615277985434846,272,70
e8,Empire 8 (E8),2025-26,mvb,St. John Fisher,"Perez, Guillermo",0,,20,25,15,0.268,56.0,13.0,28.0,5.0,0.0,7.0,0.0,5.0,10.0,56.0,0.0,0.0,7.0,0.0,14.0,18.0,1.0,10.0,8.0,46.0,0.0,1.12,0.2,0.56,0.72,0.2,1.84,1.560051605203138,273,69
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mvb,Dominican,"Morrow, Owen",0,,3,69,22,0.304,79.0,4.0,28.0,573.0,22.0,1365.0,0.0,10.0,13.0,253.0,0.0,0.0,6.0,0.0,122.0,9.0,1.0,8.0,1.0,43.0,2.0,0.41,8.3,1.77,0.13,0.14,0.62,1.557058796589568,274,69
e8,Empire 8 (E8),2025-26,mvb,St. John Fisher,"Shutt, Sam",0,,16,8,5,0.647,17.0,1.0,12.0,3.0,0.0,3.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,0.0,16.0,0.0,1.5,0.38,0.38,0.75,0.13,2.0,1.5503468142916623,275,69
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvb,Averett University,"Oakley, Finn",0,,4,68,40,0.069,433.0,116.0,146.0,7.0,4.0,60.0,0.0,16.0,47.0,201.0,0.0,0.0,319.0,42.0,62.0,12.0,3.0,8.0,4.0,170.0,0.0,2.15,0.1,0.91,0.18,0.24,2.5,1.549797722395483,276,69
mac,Middle Atlantic Conferences (MAC),2025-26,mvb,Widener,"Rivera, Izaiah",0,,2,31,4,0.239,92.0,20.0,42.0,0.0,0.0,9.0,0.0,14.0,34.0,107.0,0.0,0.0,2.0,2.0,24.0,7.0,1.0,6.0,1.0,60.0,1.0,1.35,0.0,0.77,0.23,0.45,1.94,1.544872637369762,277,69
skyline_conference,Skyline Conference,2025-26,mvb,Mount Saint Vincent,"Ibitayo, Olatomiwa",0,,4,87,101,0.118,542.0,127.0,191.0,4.0,2.0,42.0,0.0,10.0,29.0,112.0,0.0,0.0,22.0,3.0,66.0,32.0,5.0,26.0,6.0,220.0,0.0,2.2,0.05,0.76,0.37,0.11,2.53,1.5430318140185868,278,69
