conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
arc,American Rivers Conference (ARC),2025-26,wbball,Univ. of Dubuque,"Green,Avery",0,G,5,24,23,58,165,13,70,41,28,157,1,36,87,747,11,60,71,56,0,60,1,0,0.35,0.19,0.68,6.54,2.96,3.63,1.5,0.04,2.5,4.183303287964769,31,77,1196
arc,American Rivers Conference (ARC),2025-26,wbball,Univ. of Dubuque,"Brumley,Grace",0,G,3,24,6,75,225,30,93,55,36,216,6,13,21,539,16,79,95,43,0,50,1,0,0.33,0.32,0.65,9.0,3.96,0.88,0.54,0.25,2.0833333333333335,4.1676547532396375,32,76,1258
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Street,Elle",0,G,40,26,21,45,139,9,39,62,47,146,10,53,76,718,25,64,89,45,0,54,1,0,0.32,0.23,0.76,5.62,3.42,2.92,2.04,0.38,2.076923076923077,4.098827068629172,33,76,1252
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Paup,Doryn",0,F,24,26,25,72,151,0,1,24,16,160,13,20,35,496,17,121,138,37,0,42,0,0,0.48,0.0,0.67,6.15,5.31,1.35,0.77,0.5,1.6153846153846154,4.091275265659746,34,76,1235
arc,American Rivers Conference (ARC),2025-26,wbball,Central,"Backer,Maddie",0,G,10,26,9,72,164,24,78,45,36,204,4,18,30,645,17,81,98,28,0,51,0,0,0.44,0.31,0.8,7.85,3.77,1.15,0.69,0.15,1.9615384615384615,3.881056461228761,35,75,1311
arc,American Rivers Conference (ARC),2025-26,wbball,Nebraska Wesleyan,"Demke,Maddie",0,G,1,25,11,50,121,13,48,43,32,145,0,54,60,722,16,56,72,70,1,50,0,0,0.41,0.27,0.74,5.8,2.88,2.4,2.16,0.0,2.0,3.7358573307574527,36,75,1346
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Thomas,Lexi",0,G,2,27,27,74,209,55,155,14,12,215,12,11,30,698,18,74,92,43,0,49,0,0,0.35,0.35,0.86,7.96,3.41,1.11,0.41,0.44,1.8148148148148149,3.732757508249727,37,75,1361
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Jacks,Karsen",0,G,12,5,5,13,30,3,7,31,23,52,0,11,16,139,7,17,24,7,0,15,0,0,0.43,0.43,0.74,10.4,4.8,3.2,2.2,0.0,3.0,3.566971331081386,38,74,1222
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Knight,Kelly",0,G,13,26,26,56,162,44,125,10,8,164,1,21,52,749,9,86,95,43,0,36,1,0,0.35,0.35,0.8,6.31,3.65,2.0,0.81,0.04,1.3846153846153846,3.5241905960298303,39,74,1409
arc,American Rivers Conference (ARC),2025-26,wbball,Central,"Reding,Bailey",0,F,45,24,3,55,126,4,11,50,43,157,2,7,35,417,17,75,92,28,0,28,0,0,0.44,0.36,0.86,6.54,3.83,1.46,0.29,0.08,1.1666666666666667,3.436867860834447,40,74,1414
