conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Evans,Sarah Kate",0,G,25,4,0,1,4,0,3,0,0,2,0,1,0,21,0,1,1,1,0,0,0,0,0.25,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,-1.2806303985483156,72,55,3391
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Tobin,Annabelle",0,G,11,24,0,23,70,13,42,4,4,63,3,4,7,266,16,22,38,13,0,12,0,0,0.33,0.31,1.0,2.63,1.58,0.29,0.17,0.13,0.5,-1.5250762446967379,73,54,3488
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Glover,Camille",0,G,21,12,0,1,1,1,1,0,0,3,0,0,0,17,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,-1.5392208171218091,74,54,3542
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"McDermott,Kamaria",0,F,34,7,0,1,2,0,0,0,0,2,2,0,1,20,1,7,8,0,0,1,0,0,0.5,0.0,0.0,0.29,1.14,0.14,0.0,0.29,0.14285714285714285,-1.5494661179250016,75,54,3643
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Pflum,Rachel",0,F,35,4,1,0,3,0,2,0,0,0,0,1,0,16,2,1,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,-1.603940304490771,76,53,3688
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Dixon,Ava",0,C,40,10,0,4,5,0,0,0,0,8,0,0,1,17,4,2,6,2,0,2,0,0,0.8,0.0,0.0,0.8,0.6,0.1,0.0,0.0,0.2,-1.640571170950562,77,53,3588
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Ramirez,Isabella",0,0,10,24,0,26,55,4,14,9,6,62,1,7,12,164,2,11,13,25,0,25,0,0,0.47,0.29,0.67,2.58,0.54,0.5,0.29,0.04,1.0416666666666667,-1.6916986214804304,78,53,3584
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Ghorley,Addison",0,0,24,22,0,13,47,6,30,20,15,47,2,17,12,185,4,24,28,9,0,15,0,0,0.28,0.2,0.75,2.14,1.27,0.55,0.77,0.09,0.6818181818181818,-1.700071606174966,79,53,3625
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Mehary,Ivie",0,C,31,23,0,15,27,0,0,6,5,35,3,2,4,118,14,22,36,27,0,16,0,0,0.56,0.0,0.83,1.52,1.57,0.17,0.09,0.13,0.6956521739130435,-1.7127289297230768,80,52,3664
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Hafley,Ashlyn",0,G,15,28,8,22,64,19,58,2,0,63,5,15,19,537,3,21,24,48,0,29,0,0,0.34,0.33,0.0,2.25,0.86,0.68,0.54,0.18,1.0357142857142858,-1.7498879480851517,81,52,3690
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Cavender,Callie",0,G,4,6,0,4,12,0,6,5,2,10,0,1,0,23,3,0,3,1,0,6,0,0,0.33,0.0,0.4,1.67,0.5,0.0,0.17,0.0,1.0,-1.7544296681879676,82,52,3771
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Tovar,Layla",0,G,21,22,8,11,42,2,17,16,12,36,3,16,25,335,9,27,36,36,0,24,0,0,0.26,0.12,0.75,1.64,1.64,1.14,0.73,0.14,1.0909090909090908,-1.798001148917579,83,51,3709
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Martin,Jailyn",0,G,2,27,1,13,46,0,1,23,8,34,1,30,15,256,23,32,55,40,1,19,1,0,0.28,0.0,0.35,1.26,2.04,0.56,1.11,0.04,0.7037037037037037,-1.8392058635613684,84,51,3776
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Griffith,Audrey",0,G,25,23,4,23,97,13,63,4,1,60,4,8,13,313,5,20,25,21,0,20,0,0,0.24,0.21,0.25,2.61,1.09,0.57,0.35,0.17,0.8695652173913043,-1.8409240632759176,85,51,3789
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Porter,Elliott",0,F,7,20,0,14,35,1,7,4,2,31,2,2,5,171,10,23,33,12,0,7,0,0,0.4,0.14,0.5,1.55,1.65,0.25,0.1,0.1,0.35,-1.889955344663348,86,51,3872
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Curry,Kaylana",0,0,4,7,0,4,14,0,7,10,2,10,0,4,0,53,2,3,5,14,0,5,0,0,0.29,0.0,0.2,1.43,0.71,0.0,0.57,0.0,0.7142857142857143,-1.908986032887886,87,50,3946
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Caceres,Jivana",0,G,1,17,0,9,26,5,18,14,13,36,0,7,11,107,1,9,10,4,0,12,0,0,0.35,0.28,0.93,2.12,0.59,0.65,0.41,0.0,0.7058823529411765,-1.9484667635651562,88,50,3869
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Richardson,Mya",0,G,11,23,0,20,75,14,59,10,7,61,0,2,21,261,2,7,9,23,0,17,0,0,0.27,0.24,0.7,2.65,0.39,0.91,0.09,0.0,0.7391304347826086,-1.9816460371961278,89,50,3879
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Mueller,Maddie",0,G,21,27,3,23,96,16,78,4,4,66,0,12,17,221,3,8,11,13,0,13,0,0,0.24,0.21,1.0,2.44,0.41,0.63,0.44,0.0,0.48148148148148145,-1.9915960164014892,90,49,3930
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Gingrey,Dana",0,G,20,27,0,17,63,9,34,17,12,55,1,8,15,209,3,9,12,3,0,9,0,0,0.27,0.26,0.71,2.04,0.44,0.56,0.3,0.04,0.3333333333333333,-2.0952903511136296,91,49,4067
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Aiello,Gabrielle",0,0,11,24,1,18,49,5,26,7,2,43,0,9,12,219,8,12,20,31,0,17,1,0,0.37,0.19,0.29,1.79,0.83,0.5,0.38,0.0,0.7083333333333334,-2.1031698026126797,92,49,4036
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Halligan,Adley",0,G,22,14,0,10,29,7,21,2,0,27,0,4,3,101,1,14,15,12,0,7,0,0,0.34,0.33,0.0,1.93,1.07,0.21,0.29,0.0,0.5,-2.1299771373447705,93,49,4086
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Hernandez,Sienna",0,F,35,5,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.172784377561445,94,48,4261
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Stratton,Kai",0,G,54,20,0,14,41,8,23,1,1,37,0,9,5,126,2,5,7,18,0,7,0,0,0.34,0.35,1.0,1.85,0.35,0.25,0.45,0.0,0.35,-2.1768649610093225,95,48,4143
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Moffite,Zyon",0,G,13,7,0,3,11,2,9,5,1,9,0,1,0,22,0,3,3,4,0,6,0,0,0.27,0.22,0.2,1.29,0.43,0.0,0.14,0.0,0.8571428571428571,-2.267747865770047,96,48,4270
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Menchaca,Kaydence",0,G,1,7,0,2,10,0,4,7,3,7,0,1,1,37,0,1,1,5,0,2,0,0,0.2,0.0,0.43,1.0,0.14,0.14,0.14,0.0,0.2857142857142857,-2.275146178760375,97,48,4294
saa,Southern Athletic Association (SAA),2025-26,wbball,Centre,"Smith,Emery",0,G,5,13,0,5,11,4,9,0,0,14,0,2,2,89,1,6,7,1,0,1,0,0,0.45,0.44,0.0,1.08,0.54,0.15,0.15,0.0,0.07692307692307693,-2.2838381461759916,98,47,4257
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Shaffer,Aliyah",0,F,30,25,0,16,67,5,28,18,12,49,1,9,7,228,14,38,52,40,0,29,0,0,0.24,0.18,0.67,1.96,2.08,0.28,0.36,0.04,1.16,-2.3786742143328286,99,47,4271
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Huffman,Avery",0,0,13,24,0,12,41,9,32,2,2,35,0,4,11,168,5,13,18,17,0,12,0,0,0.29,0.28,1.0,1.46,0.75,0.46,0.17,0.0,0.5,-2.526572941703558,100,47,4434
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Lopez,Cylee",0,G,5,20,0,9,32,5,25,8,6,29,0,5,13,164,2,10,12,13,0,15,0,0,0.28,0.2,0.75,1.45,0.6,0.65,0.25,0.0,0.75,-2.6002288495634667,101,46,4485
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"King,Kiayalee",0,G,4,8,0,1,6,0,3,14,8,10,0,1,3,27,2,1,3,4,0,6,0,0,0.17,0.0,0.57,1.25,0.38,0.38,0.13,0.0,0.75,-2.622582224263543,102,46,4573
saa,Southern Athletic Association (SAA),2025-26,wbball,Centre,"Harper,Charley",0,G,10,18,0,5,19,3,13,10,8,21,1,4,5,104,5,10,15,8,0,7,0,0,0.26,0.23,0.8,1.17,0.83,0.28,0.22,0.06,0.3888888888888889,-2.6844831205422754,103,46,4626
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"LoPresti,Gaby",0,G,32,14,0,3,9,0,1,9,2,8,0,5,2,65,8,12,20,3,0,5,0,0,0.33,0.0,0.22,0.57,1.43,0.14,0.36,0.0,0.35714285714285715,-2.697528621156015,104,46,4629
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Carlin,Gabby",0,G,12,19,0,3,9,0,0,2,1,7,1,9,12,145,2,7,9,9,0,8,0,0,0.33,0.0,0.5,0.37,0.47,0.63,0.47,0.05,0.42105263157894735,-2.7223510311501795,105,45,4664
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Rogers,Genny",0,F,33,11,0,4,10,0,0,6,4,12,0,2,1,39,2,7,9,4,0,8,0,0,0.4,0.0,0.67,1.09,0.82,0.09,0.18,0.0,0.7272727272727273,-2.737519953790926,106,45,4648
