conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Schweitzer, Abigail",0,,7,72,8,0.11,562.0,120.0,182.0,3.0,0.0,37.0,0.0,1.0,4.0,12.0,0.0,0.0,200.0,19.0,43.0,18.0,7.0,18.0,0.0,192.0,0.0,2.53,0.04,0.6,0.25,0.01,2.67,1.6147354067983812,47,71,1065
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Emerson,"Schiappa, Sophia",0,,23,101,32,0.127,259.0,36.0,69.0,338.0,13.0,1039.0,0.0,66.0,32.0,405.0,0.0,0.0,0.0,0.0,136.0,10.0,1.0,10.0,0.0,140.0,5.0,0.68,3.35,1.35,0.1,0.65,1.39,1.6137661642818244,48,71,1102
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,WPI,"VanDamme, Zeala",0,,10,92,49,0.264,337.0,52.0,141.0,5.0,1.0,29.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,10.0,79.0,10.0,62.0,17.0,190.0,0.0,1.53,0.05,0.11,0.86,0.01,2.07,1.5721776879566849,49,70,1082
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Ibarra, Sofia",0,,10,35,0,0.185,168.0,30.0,61.0,0.0,1.0,9.0,0.0,2.0,7.0,20.0,0.0,0.0,17.0,3.0,14.0,19.0,0.0,15.0,4.0,74.5,0.0,1.74,0.0,0.4,0.54,0.06,2.13,1.4471207368544927,50,70,1166
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Oakes, Miranda",0,,1,84,47,0.282,245.0,36.0,105.0,2.0,5.0,36.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,11.0,84.0,3.0,73.0,11.0,153.5,4.0,1.25,0.02,0.13,1.0,0.01,1.83,1.44426346439653,51,70,1162
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,WPI,"Kelnik, Anastasia",0,,11,92,30,0.131,595.0,113.0,191.0,3.0,4.0,36.0,0.0,0.0,1.0,4.0,0.0,0.0,86.0,16.0,46.0,47.0,1.0,41.0,6.0,217.5,0.0,2.08,0.03,0.5,0.51,0.0,2.36,1.4338551762709764,52,70,1176
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wellesley,Natalie Dabrowski,0,,6,85,47,0.237,363.0,60.0,146.0,2.0,0.0,26.0,0.0,1.0,3.0,19.0,0.0,0.0,4.0,1.0,17.0,53.0,12.0,44.0,9.0,178.0,0.0,1.72,0.02,0.2,0.62,0.01,2.09,1.269760385727742,53,69,1261
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Bronson, Cecelia",0,,17,20,9,0.25,52.0,5.0,18.0,2.0,3.0,21.0,0.0,8.0,11.0,69.0,0.0,0.0,3.0,0.0,3.0,12.0,2.0,12.0,0.0,32.0,0.0,0.9,0.1,0.15,0.6,0.4,1.6,1.2362626295618742,54,69,1322
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"McRoy, Abby",0,,4,6,0,0.438,16.0,1.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,4.0,13.0,0.0,1.33,0.0,0.33,1.0,0.0,2.17,1.2040651202634483,55,69,1394
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wheaton,"Mazzanti, Mary Caroline",0,,17,103,41,0.199,604.0,100.0,220.0,5.0,3.0,59.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,1.0,37.0,36.0,7.0,35.0,1.0,238.5,0.0,2.14,0.05,0.36,0.35,0.0,2.32,1.1856589734024863,56,68,1318
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Springfield,"Bonato, Alexa",0,,8,80,28,0.085,448.0,105.0,143.0,7.0,5.0,37.0,0.0,16.0,30.0,136.0,0.0,0.0,136.0,13.0,83.0,25.0,4.0,23.0,2.0,172.5,0.0,1.79,0.09,1.04,0.31,0.2,2.16,1.1271346283506505,57,68,1402
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Schulz, Uma",0,,11,66,15,0.328,229.0,25.0,100.0,2.0,2.0,31.0,0.0,1.0,6.0,35.0,0.0,0.0,2.0,0.0,34.0,39.0,3.0,33.0,6.0,123.5,1.0,1.52,0.03,0.52,0.59,0.02,1.87,1.0899992002246857,58,68,1376
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wellesley,Logan Wilson,0,,3,89,54,0.221,271.0,38.0,98.0,6.0,3.0,44.0,0.0,25.0,32.0,258.0,0.0,0.0,5.0,1.0,56.0,54.0,6.0,50.0,4.0,152.0,0.0,1.1,0.07,0.63,0.61,0.28,1.71,1.0721602505753283,59,68,1447
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Spadorcia, Francesca",0,,11,89,42,0.271,280.0,47.0,123.0,9.0,10.0,83.0,0.0,3.0,5.0,17.0,0.0,0.0,14.0,2.0,37.0,59.0,6.0,40.0,19.0,165.0,1.0,1.38,0.1,0.42,0.66,0.03,1.85,1.0134986986169314,60,67,1443
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Clark,Harper Chinn,0,,5,83,42,-0.003,586.0,128.0,126.0,13.0,4.0,81.0,0.0,28.0,40.0,263.0,0.0,0.0,423.0,51.0,188.0,16.0,3.0,14.0,2.0,163.0,4.0,1.52,0.16,2.27,0.19,0.34,1.96,0.9749034963079561,61,67,1552
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Ahokovi, Ava",0,,14,84,54,0.391,64.0,1.0,26.0,543.0,10.0,1504.0,0.0,19.0,17.0,308.0,0.0,0.0,1.0,0.0,173.0,5.0,2.0,5.0,0.0,47.5,4.0,0.31,6.46,2.06,0.06,0.23,0.57,0.9266588148849262,62,67,1470
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Feuer, Anna",0,,4,97,54,0.209,235.0,32.0,81.0,2.0,1.0,32.0,0.0,4.0,13.0,31.0,0.0,0.0,6.0,2.0,29.0,99.0,14.0,72.0,27.0,148.0,2.0,0.84,0.02,0.3,1.02,0.04,1.53,0.9255511512116754,63,66,1519
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Salve Regina,"Daskalos, Lydia",0,,12,76,35,0.151,251.0,40.0,78.0,16.0,5.0,101.0,0.0,19.0,29.0,256.0,0.0,0.0,20.0,0.0,60.0,41.0,9.0,29.0,12.0,123.5,2.0,1.03,0.21,0.79,0.54,0.25,1.63,0.8332838626364797,64,66,1625
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,"Elferdink, Dylan",0,,20,28,3,0.139,144.0,30.0,50.0,1.0,0.0,9.0,0.0,1.0,2.0,7.0,0.0,0.0,39.0,4.0,9.0,7.0,1.0,5.0,2.0,55.5,1.0,1.79,0.04,0.32,0.25,0.04,1.98,0.7934692780541021,65,66,1598
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,WPI,"Colantuoni, Julia",0,,2,35,6,0.126,191.0,37.0,61.0,1.0,1.0,13.0,0.0,1.0,3.0,13.0,0.0,0.0,97.0,18.0,22.0,9.0,1.0,7.0,2.0,67.5,0.0,1.74,0.03,0.63,0.26,0.03,1.93,0.7324231524237341,66,66,1655
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Coast Guard,Abby Schweitzer,0,,7,3,0,0.143,21.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,8.5,0.0,2.67,0.0,0.0,0.33,0.0,2.83,0.7184425751964694,67,65,1878
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Emerson,"Rivera, Lorena",0,,9,25,5,0.3,50.0,9.0,24.0,0.0,0.0,4.0,0.0,5.0,4.0,20.0,0.0,0.0,1.0,0.0,4.0,15.0,2.0,13.0,2.0,37.5,1.0,0.96,0.0,0.16,0.6,0.2,1.5,0.7166956130912816,68,65,1693
