conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Occidental,Tirzah Rivera,,,,11,8,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,16.0,3.0,431:00,64.0,0.0,1.0,20.0,22.0,3.0,18.0,8.0,10.0,0.909,,,,,,,,,,,,,,,0.3577361937003199,1408,70
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,York,Maddie Ross,,,,22,16,0.0,5.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,17.0,11.0,860:00,94.0,0.0,1.0,25.0,32.0,10.0,16.0,2.0,14.0,0.781,,,,,,,,,,,,,,,0.3574545630581403,1409,70
skyline_conference,Skyline Conference,2025-26,wlax,St. Joseph's-Long Island,Kayla Sodano,,,,11,2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,125:00,10.0,0.0,1.0,10.0,11.0,2.0,15.0,9.0,6.0,0.909,,,,,,,,,,,,,,,0.3554111900959225,1410,70
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wlax,Conn. College,Greta Panke,,,,15,15,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,23.0,7.0,900:00,0.0,0.0,1.0,20.0,34.0,6.0,17.0,7.0,10.0,0.588,,,,,,,,,,,,,,,0.3464751075754875,1411,70
saa,Southern Athletic Association (SAA),2025-26,wlax,Hendrix,Kasha Graham,,,,15,12,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,24.0,15.0,708:00,48.0,0.0,1.0,18.0,27.0,9.0,14.0,4.0,10.0,0.667,,,,,,,,,,,,,,,0.3455324636324254,1412,70
aec,Atlantic East Conference (AEC),2025-26,wlax,Immaculata,Addison Yackel,,,,17,17,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,29.0,42.0,26.0,1007:00,58.0,0.0,1.0,11.0,15.0,2.0,7.0,2.0,5.0,0.733,,,,,,,,,,,,,,,0.3445198379034551,1413,70
landmark_conference,Landmark Conference,2025-26,wlax,Drew,Emma Gallaro,,,,10,10,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,13.0,6.0,623:00,82.0,0.0,1.0,31.0,42.0,8.0,17.0,2.0,15.0,0.738,,,,,,,,,,,,,,,0.3383665569754386,1414,70
ncac,North Coast Athletic Conference (NCAC),2025-26,wlax,Ohio Wesleyan,Emma Reynolds,,,,17,0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,12.0,9.0,32:00,41.0,0.0,1.0,32.0,50.0,11.0,15.0,0.0,15.0,0.64,,,,,,,,,,,,,,,0.3350391542121091,1415,70
centennial_conference,Centennial Conference,2025-26,wlax,Franklin & Marshall,Adde Hollander,,,,21,0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,00:00,0.0,0.0,1.0,22.0,27.0,6.0,18.0,4.0,14.0,0.815,,,,,,,,,,,,,,,0.3340161861837589,1416,70
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Avery Hart,,,,14,14,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,17.0,16.0,831:00,28.0,0.0,1.0,9.0,14.0,2.0,9.0,1.0,8.0,0.643,,,,,,,,,,,,,,,0.3335853665023047,1417,69
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Heather Stoner,,,,10,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,1.0,471:00,28.0,0.0,1.0,13.0,14.0,1.0,17.0,9.0,8.0,0.929,,,,,,,,,,,,,,,0.3316725009581808,1418,69
odac,Old Dominion Athletic Conference (ODAC),2025-26,wlax,Virginia Wesleyan,Gabriella Watton,,,,16,8,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,29.0,2.0,529:00,45.0,0.0,1.0,18.0,22.0,7.0,21.0,11.0,10.0,0.818,,,,,,,,,,,,,,,0.3314802530734353,1419,69
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Caroline Welch,,,,20,6,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,4.0,16.0,406:00,54.0,0.0,1.0,11.0,13.0,1.0,7.0,1.0,6.0,0.846,,,,,,,,,,,,,,,0.3302122518775716,1420,69
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Marian,Emma Church,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,13.0,25.0,20.0,1022:00,28.0,0.0,1.0,5.0,7.0,0.0,8.0,5.0,3.0,0.714,,,,,,,,,,,,,,,0.3295281196909652,1421,69
lec,Little East Conference (LEC),2025-26,wlax,Plymouth State,Claire Joyce,,,,15,6,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,4.0,433:00,227.0,0.0,1.0,14.0,20.0,8.0,17.0,8.0,9.0,0.7,,,,,,,,,,,,,,,0.3256342978459814,1422,69
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Erika Henry,,,,15,12,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,26.0,10.0,688:00,8.0,0.0,1.0,22.0,25.0,5.0,19.0,7.0,12.0,0.88,,,,,,,,,,,,,,,0.3240538067727965,1423,69
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Abigail Wilson,,,,13,0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,7.0,3.0,54:00,26.0,0.0,1.0,11.0,14.0,5.0,14.0,7.0,7.0,0.786,,,,,,,,,,,,,,,0.3217783744506451,1424,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,UW-River Falls,Elizabeth Clough,,,,16,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,11.0,4.0,41:00,135.0,0.0,1.0,17.0,25.0,4.0,17.0,5.0,12.0,0.68,,,,,,,,,,,,,,,0.3201677168476748,1425,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,Saint Benedict,Kamryn Peterson,,,,17,7,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,14.0,8.0,483:00,219.0,0.0,1.0,21.0,33.0,4.0,15.0,5.0,10.0,0.636,,,,,,,,,,,,,,,0.3194822836860873,1426,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,Saint Benedict,Emma Osland,,,,16,9,0.0,4.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,7.0,4.0,568:00,206.0,0.0,1.0,19.0,24.0,8.0,13.0,3.0,10.0,0.792,,,,,,,,,,,,,,,0.3169400344925384,1427,69
saa,Southern Athletic Association (SAA),2025-26,wlax,Oglethorpe,Amber Fuentes,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,8.0,19.0,17.0,963:00,59.0,0.0,1.0,4.0,6.0,1.0,7.0,6.0,1.0,0.667,,,,,,,,,,,,,,,0.316232013003892,1428,69
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Chatham,Sarah Holt,,,,18,18,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,23.0,15.0,1033:00,235.0,0.0,1.0,16.0,23.0,3.0,15.0,3.0,12.0,0.696,,,,,,,,,,,,,,,0.3124024393539131,1429,69
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Marietta,Renee Mulvaney,,,,9,9,0.0,5.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,18.0,5.0,559:00,52.0,0.0,1.0,14.0,22.0,7.0,17.0,9.0,8.0,0.636,,,,,,,,,,,,,,,0.3084990070980893,1430,69
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wlax,Adrian,Mey Sun,,,,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,12.0,37.0,1043:00,157.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,0.75,,,,,,,,,,,,,,,0.3083257489346331,1431,69
skyline_conference,Skyline Conference,2025-26,wlax,Manhattanville,Kathleen O'Mara,,,,5,4,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,13.0,7.0,242:00,18.0,0.0,1.0,25.0,31.0,3.0,18.0,4.0,14.0,0.806,,,,,,,,,,,,,,,0.3072647518844025,1432,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,Colorado College,Riley Sterling,,,,22,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,17.0,4.0,54:00,11.0,0.0,1.0,25.0,33.0,7.0,16.0,4.0,12.0,0.758,,,,,,,,,,,,,,,0.3069173220220052,1433,69
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Chatham,Isabella Davanti,,,,18,13,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,18.0,3.0,714:00,374.0,0.0,1.0,16.0,20.0,2.0,17.0,12.0,5.0,0.8,,,,,,,,,,,,,,,0.3068136864783782,1434,69
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Claremont-Mudd-Scripps,Julia Ryan,,,,17,17,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,325.0,22.0,9.0,940:00,103.0,0.0,1.0,17.0,21.0,6.0,16.0,5.0,11.0,0.81,,,,,,,,,,,,,,,0.2994027855093576,1435,69
landmark_conference,Landmark Conference,2025-26,wlax,Susquehanna,Sophie Cole,,,,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,4.0,00:00,0.0,0.0,1.0,13.0,24.0,0.0,12.0,10.0,2.0,0.542,,,,,,,,,,,,,,,0.2976647483483001,1436,69
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Ainsley McGinn,,,,19,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,13.0,19.0,17.0,1106:00,15.0,0.0,1.0,7.0,9.0,0.0,6.0,2.0,4.0,0.778,,,,,,,,,,,,,,,0.2975150371799159,1437,69
saa,Southern Athletic Association (SAA),2025-26,wlax,Sewanee,Alex Kelly,,,,17,17,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,110.0,12.0,4.0,799:00,77.0,0.0,1.0,24.0,31.0,3.0,17.0,2.0,15.0,0.774,,,,,,,,,,,,,,,0.297169778822847,1438,69
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wlax,Adrian,Maggie Bean,,,,17,12,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,1.0,692:00,132.0,0.0,1.0,22.0,32.0,4.0,17.0,5.0,12.0,0.688,,,,,,,,,,,,,,,0.2965287481181262,1439,69
saa,Southern Athletic Association (SAA),2025-26,wlax,Oglethorpe,Jersey Cuni,,,,17,15,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,23.0,8.0,840:00,0.0,0.0,1.0,29.0,35.0,6.0,18.0,4.0,14.0,0.829,,,,,,,,,,,,,,,0.2940500155587459,1440,69
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,wlax,Wilson College,Alyvia Henneman,,,,15,14,0.0,7.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,23.0,3.0,842:00,75.0,0.0,1.0,28.0,50.0,16.0,22.0,3.0,19.0,0.56,,,,,,,,,,,,,,,0.2939401112169289,1441,69
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Claremont-Mudd-Scripps,Taylor Daetz,,,,18,17,0.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,16.0,12.0,998:00,139.0,0.0,1.0,13.0,18.0,5.0,13.0,4.0,9.0,0.722,,,,,,,,,,,,,,,0.2932115292884205,1442,69
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wlax,Tufts,Kathryn Fernandopulle,,,,16,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,2.0,22.0,946:00,53.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,0.2903990870762614,1443,69
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wlax,Smith,Emma Butterick,,,,18,16,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,1.0,949:00,152.0,0.0,1.0,14.0,23.0,6.0,19.0,13.0,6.0,0.609,,,,,,,,,,,,,,,0.2852276883714147,1444,69
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Bethany,Janez Matthews,,,,17,17,0.0,6.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,31.0,17.0,1005:00,0.0,0.0,1.0,36.0,43.0,9.0,17.0,0.0,17.0,0.837,,,,,,,,,,,,,,,0.2845410099494375,1445,69
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Brevard,Grace Blanton,,,,15,15,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,19.0,17.0,900:00,0.0,0.0,1.0,7.0,7.0,4.0,8.0,4.0,4.0,1.0,,,,,,,,,,,,,,,0.2843956803310056,1446,69
skyline_conference,Skyline Conference,2025-26,wlax,Farmingdale State,Jordyn Neu,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.0,4.0,1080:00,0.0,0.0,1.0,15.0,23.0,1.0,13.0,5.0,8.0,0.652,,,,,,,,,,,,,,,0.2788243553867057,1447,69
landmark_conference,Landmark Conference,2025-26,wlax,Lycoming,Emily Reese,,,,16,16,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,21.0,6.0,955:00,36.0,0.0,1.0,20.0,22.0,2.0,16.0,6.0,10.0,0.909,,,,,,,,,,,,,,,0.278794766700621,1448,69
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Saint Vincent,Valeria Hurtado,,,,15,15,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,35.0,20.0,904:00,19.0,0.0,1.0,22.0,31.0,7.0,13.0,2.0,11.0,0.71,,,,,,,,,,,,,,,0.2781543222691567,1449,69
lec,Little East Conference (LEC),2025-26,wlax,Rhode Island College,Maggie Schwab,,,,12,12,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,57.0,31.0,18.0,725:00,39.0,0.0,1.0,18.0,26.0,3.0,13.0,3.0,10.0,0.692,,,,,,,,,,,,,,,0.2757495808527276,1450,69
ll,Liberty League (LL),2025-26,wlax,Skidmore,Lily Hudner,,,,15,0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,16.0,0.0,31:00,14.0,0.0,1.0,38.0,46.0,12.0,20.0,4.0,16.0,0.826,,,,,,,,,,,,,,,0.2747492011514362,1451,69
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wlax,Williams,Juliet Kilborn,,,,16,15,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84.0,5.0,1.0,856:00,103.0,0.0,1.0,19.0,23.0,4.0,16.0,7.0,9.0,0.826,,,,,,,,,,,,,,,0.2743742641868328,1452,69
centennial_conference,Centennial Conference,2025-26,wlax,Franklin & Marshall,Annie Marshall,,,,17,0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,1.0,00:00,0.0,0.0,1.0,13.0,15.0,2.0,17.0,5.0,12.0,0.867,,,,,,,,,,,,,,,0.2739743768028589,1453,69
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Kean,Drew Coyle,,,,14,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,27.0,37.0,840:00,55.0,0.0,1.0,5.0,11.0,3.0,3.0,1.0,2.0,0.455,,,,,,,,,,,,,,,0.2689820726807398,1454,69
landmark_conference,Landmark Conference,2025-26,wlax,Scranton,Karina Roettger,,,,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,16.0,32.0,1257:00,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.2631368405845661,1455,69
ll,Liberty League (LL),2025-26,wlax,Bard,Morgan Ruhle,,,,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,13.0,28.0,30.0,1033:00,64.0,0.0,1.0,8.0,9.0,0.0,3.0,0.0,3.0,0.889,,,,,,,,,,,,,,,0.2624116348032707,1456,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,Saint Benedict,Ella Steinke,,,,17,16,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,49.0,15.0,13.0,857:00,119.0,0.0,1.0,12.0,20.0,2.0,10.0,5.0,5.0,0.6,,,,,,,,,,,,,,,0.2614658414924696,1457,69
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Amanda Barrett,,,,19,8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,16.0,12.0,482:00,16.0,0.0,1.0,9.0,10.0,0.0,13.0,5.0,8.0,0.9,,,,,,,,,,,,,,,0.2607141833146515,1458,69
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wlax,Clark,Mary Greene,,,,17,17,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,18.0,29.0,1017:00,52.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,0.5,,,,,,,,,,,,,,,0.2602132319110888,1459,69
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wlax,Wheaton,Emma-Jane Parsons,,,,17,3,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,19.0,3.0,178:00,59.0,0.0,1.0,23.0,41.0,15.0,18.0,4.0,14.0,0.561,,,,,,,,,,,,,,,0.2601851321239793,1460,69
mac,Middle Atlantic Conferences (MAC),2025-26,wlax,Stevens,Lauren Sullivan,,,,22,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,71.0,9.0,31.0,1324:00,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,0.2592448587027851,1461,69
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Ohio Northern,Alise Callahan,,,,18,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,18.0,9.0,958:00,107.0,0.0,1.0,23.0,25.0,2.0,14.0,3.0,11.0,0.92,,,,,,,,,,,,,,,0.2587641166748574,1462,69
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Marian,Makenzie Gaulke,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,3.0,1022:00,28.0,0.0,1.0,16.0,18.0,0.0,16.0,4.0,12.0,0.889,,,,,,,,,,,,,,,0.2570448084200157,1463,69
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wlax,Colorado College,Ella Roe,,,,20,1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,12.0,4.0,60:00,0.0,0.0,1.0,18.0,21.0,2.0,14.0,6.0,8.0,0.857,,,,,,,,,,,,,,,0.2567792452385639,1464,69
