conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,global_rank,rating
e8,Empire 8 (E8),2025-26,wbb,Brockport,"Jean-Baptiste,Stephanie",0,G,1,25,24,179,399,32,119,107,85,475,11,58,47,777,61,86,147,22,0,56,0,0,0.45,0.27,0.79,19.0,5.88,1.88,2.32,0.44,2.24,11.06285924056983,32,95
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wbb,Illinois Wesleyan,"Bardic,Ava",0,G,22,27,27,186,404,52,161,115,96,520,13,69,71,919,24,64,88,59,0,64,0,0,0.46,0.32,0.83,19.26,3.26,2.63,2.56,0.48,2.3703703703703702,10.993529014299684,33,95
skyline_conference,Skyline Conference,2025-26,wbb,Old Westbury,"Greene,Endya",0,G,32,13,13,96,299,24,102,70,42,258,7,43,23,446,15,66,81,28,0,48,0,0,0.32,0.24,0.6,19.85,6.23,1.77,3.31,0.54,3.692307692307693,10.977815575537557,34,94
ccc,Conference of New England (CCC),2025-26,wbb,Endicott College,"Shinney,Emma",0,G,05,26,26,150,338,13,54,126,68,381,11,67,155,927,29,156,185,59,1,89,0,0,0.44,0.24,0.54,14.65,7.12,5.96,2.58,0.42,3.423076923076923,10.905303081201795,35,94
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,wbb,Concordia,"Metcalf,Maya",0,F,15,27,27,168,361,26,81,88,76,438,44,19,62,826,54,167,221,42,0,41,0,0,0.47,0.32,0.86,16.22,8.19,2.3,0.7,1.63,1.5185185185185186,10.896540717215291,36,94
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wbb,Aurora,"Manzanarez,Krystyna",0,G,11,27,27,171,407,53,166,102,76,471,11,108,79,834,37,72,109,62,1,68,0,0,0.42,0.32,0.75,17.44,4.04,2.93,4.0,0.41,2.5185185185185186,10.868654859890356,37,94
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbb,Virginia Wesleyan,"Long,Brianna",0,F,30,26,26,162,271,0,2,180,118,442,12,48,12,831,132,196,328,76,0,79,2,0,0.6,0.0,0.66,17.0,12.62,0.46,1.85,0.46,3.0384615384615383,10.815645498899096,38,94
saa,Southern Athletic Association (SAA),2025-26,wbb,Millsaps,"Warren,Elyse",0,C,23,27,27,147,274,0,1,202,108,402,12,32,9,808,164,302,466,73,0,63,1,0,0.54,0.0,0.53,14.89,17.26,0.33,1.19,0.44,2.3333333333333335,10.799676370196956,39,94
pac,Presidents Athletic Conference (PAC),2025-26,wbb,Allegheny,"Antonacci,Isabella",0,G,23,26,26,160,376,47,134,94,78,445,1,26,143,912,25,113,138,37,0,71,0,0,0.43,0.35,0.83,17.12,5.31,5.5,1.0,0.04,2.730769230769231,10.764827633104444,40,94
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wbb,Albion,"Trewhella,Meghan",0,G,5,27,27,195,391,12,36,173,139,541,3,39,41,911,66,79,145,46,0,60,0,0,0.5,0.33,0.8,20.04,5.37,1.52,1.44,0.11,2.2222222222222223,10.743480087787315,41,94
aec,Atlantic East Conference (AEC),2025-26,wbb,Neumann,"DuPont,Emily",0,F,14,23,23,130,310,15,68,116,86,361,43,52,59,732,29,141,170,51,0,61,2,0,0.42,0.22,0.74,15.7,7.39,2.57,2.26,1.87,2.652173913043478,10.716060527101376,42,94
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,wbb,Carleton,"Huss,Addy",0,G,21,25,25,157,350,23,83,129,99,436,15,53,87,917,26,173,199,76,1,104,2,0,0.45,0.28,0.77,17.44,7.96,3.48,2.12,0.6,4.16,10.715515436757372,43,94
