conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Lu, Luna",,0,7,24,14,0,,0,0,0,1,1,1,1,3,0,7,14:00,0,0,0,0,0,0,7,12,56,68,0.176,4.67,21,12,9,18,,,,,,,,,,,,,,,,,,0,93,17,5,12,0.13,0,0,,26,80,942
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Merrill, Emma",,0,8,24,12,0,,0,0,0,1,0,0,1,2,0,3,06:00,0,0,0,0,0,0,3,1,0,1,1.0,100.0,7,9,-2,19,,,,,,,,,,,,,,,,,,0,34,6,4,2,0.06,0,0,,27,79,943
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Frankenfeld, Charlee",,0,9,7,2,0,,0,0,0,0,0,0,1,0,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.0,100.0,9,7,2,5,,,,,,,,,,,,,,,,,,0,10,4,3,1,0.1,0,0,,28,79,944
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Kent, Elizabeth",,0,10,18,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,6,6,0,3,,,,,,,,,,,,,,,,,,0,3,2,2,0,0.0,0,0,,29,78,945
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Mele, Bella",,0,11,24,7,0,,0,0,0,0,0,0,1,1,0,18,36:00,0,0,0,0,0,0,18,0,0,0,,0.0,22,14,8,12,,,,,,,,,,,,,,,,,,0,60,12,8,4,0.07,0,0,,30,78,946
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Sullivan, Kate",,0,12,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,,31,78,947
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"LaPrade, Kendrick",,0,13,19,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,4,2,2,0,,,,,,,,,,,,,,,,,,0,9,4,3,1,0.11,0,0,,32,77,948
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"DiMagno, Elena",,0,14,24,7,0,,0,0,1,0,1,0,0,1,0,5,10:00,0,0,0,0,0,0,5,2,6,8,0.25,3.0,9,9,0,3,,,,,,,,,,,,,,,,,,0,46,5,3,2,0.04,0,0,,33,77,949
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Britt, Meghan",,0,15,24,14,0,,0,0,0,1,0,1,1,2,0,3,06:00,0,0,0,0,0,0,3,8,7,15,0.533,0.88,26,11,15,11,,,,,,,,,,,,,,,,,,0,72,22,12,10,0.14,0,0,,34,77,950
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Sun, Anyi",,0,16,24,8,0,,0,0,0,1,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,9,11,20,0.45,1.22,10,4,6,5,,,,,,,,,,,,,,,,,,0,51,8,4,4,0.08,0,0,,35,76,951
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Albright, Sage",,0,17,17,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,2,2,0,0,,,,,,,,,,,,,,,,,,0,3,0,0,0,0.0,0,0,,36,76,952
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Palmer, Bea",,0,18,24,3,0,,0,0,0,0,1,0,1,0,0,2,04:00,0,0,0,0,0,0,2,35,39,74,0.473,1.11,12,6,6,7,,,,,,,,,,,,,,,,,,0,35,6,2,4,0.11,0,0,,37,76,953
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Ainley, Abigail",,0,19,24,6,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,120,165,285,0.421,1.38,11,7,4,13,,,,,,,,,,,,,,,,,,0,27,8,8,0,0.0,0,0,,38,75,954
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Brush, Channing",,0,20,24,10,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,1,1,0.0,0.0,9,10,-1,9,,,,,,,,,,,,,,,,,,0,15,1,1,0,0.0,0,0,,39,75,955
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Cataldo, Molly",,0,21,23,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,1,1,2,0.5,1.0,8,7,1,3,,,,,,,,,,,,,,,,,,0,26,4,1,3,0.12,0,0,,40,75,956
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Imposimato, Ava",,0,22,23,6,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,101,145,246,0.411,1.44,6,9,-3,1,,,,,,,,,,,,,,,,,,0,42,3,2,1,0.02,0,0,,41,74,957
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Barrett, Daphne",,0,23,5,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,0,1,-1,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,,42,74,958
