conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Weed, Addison",0,,6,20,14,0,0,12,22,8,4,2,0,0,1.1,0.6,0.4,0.1,0.2,10,0,0,0,0,0,1,0.05,8,0,0,0,0.4,0.0,0.0,0.0,0,,903:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.1734650613740993,23,83,923
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Lampert, Sophie",0,,23,19,19,0,0,22,43,10,2,4,0,0,2.26,1.16,0.53,0.211,0.105,18,0,0,0,1,0,1,0.053,9,0,3,0,0.47,0.16,0.0,0.0,0,,1343:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.1468503075202565,24,82,1006
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Önnerheim, Julia",0,,20,19,19,0,0,12,26,9,1,4,0,0,1.37,0.63,0.47,0.211,0.053,8,0,1,0,1,1,1,0.053,9,0,0,0,0.47,0.0,0.0,0.0,0,,1656:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.9915181352974534,25,82,1042
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Dahlquist, Ellen",0,,3,19,19,0,0,14,21,8,4,2,0,0,1.11,0.74,0.42,0.105,0.211,12,0,0,0,0,0,0,0.0,14,0,1,0,0.74,0.05,0.0,0.0,0,,1585:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.9884214124562174,26,81,988
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Björkegren, Hannah",0,,19,19,16,0,0,19,38,9,1,4,0,0,2.0,1.0,0.47,0.211,0.053,15,0,0,0,1,2,0,0.0,13,0,1,0,0.68,0.05,0.0,0.0,0,,1427:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.9533766534863872,27,81,1062
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Hillegrass, Ruby",0,,18,-5,-6,0,0,-6,-16,-9,-5,-2,0,0,3.2,1.2,1.8,0.4,1.0,-4,0,0,0,-3,1,0,0.0,-13,0,0,0,2.6,0.0,0.0,0.0,0,,-371:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.942804833711038,28,81,933
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Olinski, Peyton",0,,21,16,9,0,0,12,19,8,2,3,0,0,1.19,0.75,0.5,0.188,0.125,9,0,0,0,1,2,0,0.0,6,0,0,0,0.38,0.0,0.0,0.0,0,,779:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.786020905690279,29,80,1084
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Dominguez, Payton",0,,10,18,15,0,0,14,22,7,5,1,0,0,1.22,0.78,0.39,0.056,0.278,13,1,0,0,0,1,0,0.0,15,0,1,0,0.83,0.06,0.0,0.0,0,,881:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.782924182849043,30,80,1033
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Wheaton,"Lindquist, Lily",0,,8,19,19,0,0,17,28,8,0,4,0,0,1.47,0.89,0.42,0.211,0.0,13,0,0,0,3,0,3,0.158,13,0,0,0,0.68,0.0,0.0,0.0,0,,1428:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.545478917113274,31,80,1195
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Fusco, Bella",0,,14,18,18,0,0,17,30,7,3,2,0,0,1.67,0.94,0.39,0.111,0.167,15,0,0,0,0,1,1,0.056,21,0,1,0,1.17,0.06,0.0,0.0,0,,1379:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.483621327429312,32,79,1173
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carroll,"Ingalsbee, Brielle",0,,22,14,14,0,0,8,31,7,3,2,0,0,2.21,0.57,0.5,0.143,0.214,6,0,0,0,0,0,1,0.071,3,0,0,0,0.21,0.0,0.0,0.0,0,,906:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.4630019423976517,33,79,1167
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Barutcu, Melis",0,,3,17,15,0,0,13,19,8,0,4,2,2,1.12,0.76,0.47,0.235,0.0,9,0,0,0,2,2,2,0.118,13,0,0,0,0.76,0.0,0.0,0.0,0,,1337:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.427957183427821,34,79,1233
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Hockerman, Eve",0,,4,18,6,0,0,13,20,8,0,4,0,0,1.11,0.72,0.44,0.222,0.0,9,0,0,0,1,1,0,0.0,19,0,0,0,1.06,0.0,0.0,0.0,0,,872:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.427957183427821,35,79,1232
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Cassel, Malie",0,,6,18,17,0,0,13,21,8,0,4,0,0,1.17,0.72,0.44,0.222,0.0,9,0,0,0,4,1,3,0.167,10,0,0,0,0.56,0.0,0.0,0.0,0,,1155:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.427957183427821,36,78,1230
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Gorder, Ashley",0,,33,17,16,0,0,6,10,7,3,2,0,0,0.59,0.35,0.41,0.118,0.176,4,0,0,0,1,1,0,0.0,11,0,0,0,0.65,0.0,0.0,0.0,0,,1384:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.4042410755549253,37,78,1187
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carroll,"Patrickus, Ellie",0,,5,14,14,0,0,12,20,7,3,2,0,0,1.43,0.86,0.5,0.143,0.214,10,0,0,0,0,0,0,0.0,6,0,1,0,0.43,0.07,0.0,0.0,0,,1047:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.336719160322496,38,78,1207
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Kunzer, Emily",0,,8,19,2,0,0,9,15,8,0,4,0,0,0.79,0.47,0.42,0.211,0.0,5,0,0,0,1,0,1,0.053,6,0,0,0,0.32,0.0,0.0,0.0,0,,460:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.3104354497423687,39,77,1286
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Augustana,"Mowry, Alyssa",0,,6,18,17,0,0,16,21,8,0,4,0,0,1.17,0.89,0.44,0.222,0.0,12,0,0,0,2,1,1,0.056,6,0,1,0,0.33,0.06,0.0,0.0,0,,1206:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.2722939679313026,40,77,1309
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Conlon, Courtney",0,,12,21,21,0,0,14,25,7,1,3,0,0,1.19,0.67,0.33,0.143,0.048,11,0,0,0,1,1,2,0.095,14,0,0,0,0.67,0.0,0.0,0.0,0,,1469:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.2518403872420096,41,77,1277
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Haun, Taylor",0,,22,18,16,0,0,5,14,6,4,1,0,0,0.78,0.28,0.33,0.056,0.222,4,0,0,0,0,0,1,0.056,18,0,1,0,1.0,0.06,0.0,0.0,0,,1232:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.9255588967657788,42,77,1351
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Lie, Stine",0,,10,19,18,0,0,12,25,5,3,1,1,1,1.32,0.63,0.26,0.053,0.158,11,0,0,0,0,1,0,0.0,6,0,0,0,0.32,0.0,0.0,0.0,0,,1442:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.7820850611849337,43,76,1447
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Muscarello, Ellie",0,,11,21,20,0,0,8,15,5,3,1,0,0,0.71,0.38,0.24,0.048,0.143,7,0,0,0,0,0,0,0.0,7,0,0,0,0.33,0.0,0.0,0.0,0,,1311:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.6645633274994809,44,76,1514
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Jaimes, Victoria",0,,26,22,6,0,0,13,25,6,0,3,0,0,1.14,0.59,0.27,0.136,0.0,10,0,0,0,0,1,2,0.091,5,0,0,0,0.23,0.0,0.0,0.0,0,,927:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.6295185685296507,45,76,1610
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Wheaton,"Crowder, Grace",0,,22,15,13,0,0,7,13,6,2,2,0,0,0.87,0.47,0.4,0.133,0.133,5,1,0,0,0,2,0,0.0,8,0,1,0,0.53,0.07,0.0,0.0,0,,702:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.5968756079246846,46,75,1591
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carroll,"Seuser, Harlie",0,,4,15,14,0,0,8,13,6,2,2,0,0,0.87,0.53,0.4,0.133,0.133,6,1,0,0,0,0,1,0.067,22,0,2,0,1.47,0.13,0.0,0.0,0,,943:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.38245152558544,47,75,1703
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Smith, Alanna",0,,21,13,1,0,0,4,4,6,0,3,0,0,0.31,0.31,0.46,0.231,0.0,1,0,0,0,1,2,0,0.0,2,0,0,0,0.15,0.0,0.0,0.0,0,,254:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.3650946677373823,48,75,1766
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Schafman, Hailie",0,,5,12,3,0,0,7,11,5,1,2,0,0,0.92,0.58,0.42,0.167,0.083,5,0,0,0,1,1,1,0.083,5,0,0,0,0.42,0.0,0.0,0.0,0,,471:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.2477387383942968,49,75,1796
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Bogaczewicz, Martyna",0,,2,13,0,0,0,2,2,5,1,2,0,0,0.15,0.15,0.38,0.154,0.077,0,0,0,0,0,0,0,0.0,2,0,0,0,0.15,0.0,0.0,0.0,0,,108:00,0,0.0,0.0,,,,,,,,,,,,,,,,,1.100836571287481,50,74,1954
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Wheaton,"Setran, Emily",0,,27,19,19,0,0,5,16,4,2,1,0,0,0.84,0.26,0.21,0.053,0.105,4,0,0,0,1,0,0,0.0,9,0,0,0,0.47,0.0,0.0,0.0,0,,1326:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.9834806419443962,51,74,1988
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carroll,"Gonzalez, Naomy",0,,25,14,0,0,0,5,9,5,1,2,0,0,0.64,0.36,0.36,0.143,0.071,3,0,0,0,0,0,1,0.071,3,0,1,0,0.21,0.07,0.0,0.0,0,,472:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.9451733557909625,52,74,2091
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Anderson, Reese",0,,10,16,0,0,0,5,8,5,1,2,0,0,0.5,0.31,0.31,0.125,0.063,3,0,0,0,1,0,1,0.063,4,0,1,0,0.25,0.06,0.0,0.0,0,,309:00,0,0.0,0.0,,,,,,,,,,,,,,,,,0.9451733557909625,53,74,2089
