season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,goal_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Schaly, Payton",Payton,Schaly,0,548,"Schaly, Payton","Schaly,Payton",SchalyPaytonPSU,21,13,20,,Plymouth State,PSU,1069-6813,0,,0,1,0,1,1,0,2,0,0,7,14:00,0,0,0,0,0,0,7,6,7,13,.462,1.17,24,24,0,7,,0,82,23,11,12,0.15,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.999739347673061,21,94
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"D'Ancona, Frank",Frank,D'Ancona,0,511,"D'Ancona, Frank","D'Ancona,Frank",D'AnconaFrankNOR,29,11,10,,Norwich,NOR,0,0,,1,0,0,3,0,1,1,1,0,5,10:00,0,0,0,0,0,0,5,299,231,530,.564,0.77,21,11,10,17,,0,88,24,16,8,0.09,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.953646084576789,22,94
2025-26,mhockey,Little East Conference (LEC),lec,Babson,"Schmitt, Egan",Egan,Schmitt,0,45,"Schmitt, Egan","Schmitt,Egan",SchmittEganBC,27,24,15,,Babson,BC,1133-1834,0,,0,0,0,1,0,0,2,2,0,5,10:00,0,0,0,0,0,0,5,257,235,492,.522,0.91,31,12,18,9,,0,65,24,16,8,0.12,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.953646084576789,23,93
2025-26,mhockey,Little East Conference (LEC),lec,Keene State,"Hansen, Thor",Thor,Hansen,0,330,"Hansen, Thor","Hansen,Thor",HansenThorKSC,24,8,18,,Keene State,KSC,1068-4243,0,,0,1,0,2,0,0,2,1,1,10,28:00,0,1,0,0,0,0,9,225,226,451,.499,1.00,21,27,-6,10,,0,91,23,13,10,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.813487968895098,24,93
2025-26,mhockey,Little East Conference (LEC),lec,UMass Boston,"Repmann, Chris",Chris,Repmann,0,401,"Repmann, Chris","Repmann,Chris",RepmannChrisUMB,27,1,6,,UMass Boston,UMB,1071-4734,0,,0,1,0,1,1,0,1,1,1,15,41:00,0,0,1,0,0,1,13,5,5,10,.500,1.00,23,9,14,3,,0,67,22,10,12,0.18,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.673329853213406,25,93
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Hilmersson, Kim",Kim,Hilmersson,0,548,"Hilmersson, Kim","Hilmersson,Kim",HilmerssonKimPSU,27,18,23,,Plymouth State,PSU,1069-7475,0,,0,0,0,3,0,0,3,1,0,20,48:00,0,1,0,0,0,0,19,20,17,37,.541,0.85,26,16,10,8,,0,73,23,15,8,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.6272365901171355,26,93
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Elliott, Colin",Colin,Elliott,0,511,"Elliott, Colin","Elliott,Colin",ElliottColinNOR,28,11,91,,Norwich,NOR,0,0,,0,0,0,2,0,0,5,2,0,2,04:00,0,0,0,0,0,0,2,26,19,45,.578,0.73,17,10,7,8,,0,74,22,12,10,0.14,0,0,False,,,,,,,,,,,,,,,,,,,,,,5.487078474435444,27,93
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"Kinaschuk, Kayde",Kayde,Kinaschuk,0,662,"Kinaschuk, Kayde","Kinaschuk,Kayde",KinaschukKaydeUSM,24,5,29,,Southern Maine,USM,1073-4938,0,,0,1,0,0,0,0,2,1,1,3,06:00,0,0,0,0,0,0,3,1,2,3,.333,2.00,22,15,7,2,,0,74,20,9,11,0.15,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.927385174905116,28,93
2025-26,mhockey,Little East Conference (LEC),lec,New England College,Gunnar Sibley,Gunnar,Sibley,0,467,Gunnar Sibley,"SIBLEY,GUNNAR",SIBLEYGUNNARNEW ENGL,25,12,12,,New England College,NEW ENGL,0,0,,0,0,0,1,0,2,2,1,3,5,10:00,0,0,0,0,0,0,5,249,232,481,.518,0.93,17,17,0,14,,0,65,20,11,9,0.14,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.741133796127154,29,93
2025-26,mhockey,Little East Conference (LEC),lec,Keene State,"Chrisafideis, Marcus",Marcus,Chrisafideis,0,330,"Chrisafideis, Marcus","Chrisafideis,Marcus",ChrisafideisMarcusKSC,25,9,17,,Keene State,KSC,1068-4242,0,,0,0,0,0,1,0,2,1,0,10,20:00,0,0,0,0,0,0,10,7,9,16,.438,1.29,22,24,-2,23,,0,100,20,12,8,0.08,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.648008106738173,30,92
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Hale, Matt",Matt,Hale,0,548,"Hale, Matt","Hale,Matt",HaleMattPSU,26,4,19,,Plymouth State,PSU,1069-7234,0,,0,0,0,0,0,0,3,1,0,8,24:00,0,0,0,0,0,0,7,56,44,100,.560,0.79,24,17,7,9,,0,68,20,13,7,0.10,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.554882417349192,31,92
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Shedd, Tucker",Tucker,Shedd,0,548,"Shedd, Tucker","Shedd,Tucker",SheddTuckerPSU,27,0,27,,Plymouth State,PSU,1069-7477,0,,0,0,0,0,0,0,4,0,0,0,00:00,0,0,0,0,0,0,0,1,0,1,1.000,100,29,26,3,49,,0,64,20,13,7,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.554882417349192,32,92
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"Simopoulos, Gavin",Gavin,Simopoulos,0,662,"Simopoulos, Gavin","Simopoulos,Gavin",SimopoulosGavinUSM,26,6,21,,Southern Maine,USM,1073-5110,0,,0,0,0,1,1,0,0,0,1,6,12:00,0,0,0,0,0,0,6,24,23,47,.511,0.96,25,28,-3,3,,0,71,19,10,9,0.13,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.4147243016674995,33,92
2025-26,mhockey,Little East Conference (LEC),lec,VTSU Castleton,"Reid, Cam",Cam,Reid,0,123,"Reid, Cam","Reid,Cam",ReidCamCAS,25,12,8,,VTSU Castleton,CAS,0,0,,0,0,0,0,0,0,4,1,1,6,12:00,0,0,0,0,0,0,6,1,0,1,1.000,100,23,17,6,21,,0,81,19,12,7,0.09,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.228472922889537,34,92
2025-26,mhockey,Little East Conference (LEC),lec,VTSU Castleton,"Coyle, David",David,Coyle,0,123,"Coyle, David","Coyle,David",CoyleDavidCAS,26,18,21,,VTSU Castleton,CAS,0,0,,0,1,0,1,2,0,2,0,0,3,06:00,0,0,0,0,0,0,3,73,55,128,.570,0.75,29,26,3,13,,0,87,19,13,6,0.07,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.135347233500557,35,92
2025-26,mhockey,Little East Conference (LEC),lec,VTSU Castleton,"Dapprich, Logan",Logan,Dapprich,0,123,"Dapprich, Logan","Dapprich,Logan",DapprichLoganCAS,26,11,7,,VTSU Castleton,CAS,0,0,,0,1,0,1,2,0,4,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,NaN,0,31,25,6,19,,0,67,19,13,6,0.09,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.135347233500557,36,92
2025-26,mhockey,Little East Conference (LEC),lec,Keene State,"Carney, Chase",Chase,Carney,0,330,"Carney, Chase","Carney,Chase",CarneyChaseKSC,25,8,11,,Keene State,KSC,1068-4237,0,,0,0,0,1,2,0,3,1,1,4,19:00,0,0,1,0,0,1,2,270,212,482,.560,0.79,20,15,5,17,,0,80,18,9,9,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.088314807207846,37,91
2025-26,mhockey,Little East Conference (LEC),lec,Babson,"Driscoll, Ian",Ian,Driscoll,0,45,"Driscoll, Ian","Driscoll,Ian",DriscollIanBC,27,2,19,,Babson,BC,1133-1827,0,,1,1,0,2,1,0,2,1,0,8,16:00,0,0,0,0,0,0,8,195,186,381,.512,0.95,18,9,9,6,,0,72,18,9,9,0.13,0,0,False,,,,,,,,,,,,,,,,,,,,,,4.088314807207846,38,91
2025-26,mhockey,Little East Conference (LEC),lec,Babson,"Andriole, Charlie",Charlie,Andriole,0,45,"Andriole, Charlie","Andriole,Charlie",AndrioleCharlieBC,27,24,10,,Babson,BC,1133-1823,0,,0,0,0,1,0,0,3,1,0,8,16:00,0,0,0,0,0,0,8,1,1,2,.500,1.00,37,7,30,27,,0,84,18,10,8,0.10,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.9951891178188648,39,91
2025-26,mhockey,Little East Conference (LEC),lec,Plymouth State,"Doyle, Brendan",Brendan,Doyle,0,548,"Doyle, Brendan","Doyle,Brendan",DoyleBrendanPSU,27,1,14,,Plymouth State,PSU,1069-7232,0,,0,0,0,0,1,0,0,3,0,5,10:00,0,0,0,0,0,0,5,3,4,7,.429,1.33,23,15,8,3,,0,73,18,10,8,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.9951891178188648,40,91
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"Hagan, John",John,Hagan,0,662,"Hagan, John","Hagan,John",HaganJohnUSM,26,16,4,,Southern Maine,USM,1073-4753,0,,0,1,1,0,0,0,1,2,0,10,20:00,0,0,0,0,0,0,10,8,29,37,.216,3.63,24,20,4,18,,0,48,18,10,8,0.17,0,1,False,,,,,,,,,,,,,,,,,,,,,,3.9951891178188648,41,91
2025-26,mhockey,Little East Conference (LEC),lec,Babson,"Kennedy, Brendan",Brendan,Kennedy,0,45,"Kennedy, Brendan","Kennedy,Brendan",KennedyBrendanBC,27,0,26,,Babson,BC,1133-1830,0,,0,0,0,1,0,0,1,3,0,2,04:00,0,0,0,0,0,0,2,1,1,2,.500,1.00,19,12,7,2,,0,74,18,10,8,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.9951891178188648,42,91
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"Donovan, Conor",Conor,Donovan,0,662,"Donovan, Conor","Donovan,Conor",DonovanConorUSM,24,15,23,,Southern Maine,USM,1073-4760,0,,0,0,0,1,1,0,2,1,0,10,20:00,0,0,0,0,0,0,10,225,259,484,.465,1.15,26,18,8,25,,0,32,18,12,6,0.19,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.8089377390409025,43,90
2025-26,mhockey,Little East Conference (LEC),lec,Babson,"Murphy, Ryan",Ryan,Murphy,0,45,"Murphy, Ryan","Murphy,Ryan",MurphyRyanBC,27,2,21,,Babson,BC,1133-1832,0,,0,0,0,1,1,0,1,1,0,3,06:00,0,0,0,0,0,0,3,20,17,37,.541,0.85,14,12,2,5,,0,51,18,13,5,0.10,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.7158120496519214,44,90
2025-26,mhockey,Little East Conference (LEC),lec,VTSU Castleton,"Bellomo, Marcus",Marcus,Bellomo,0,123,"Bellomo, Marcus","Bellomo,Marcus",BellomoMarcusCAS,25,2,22,,VTSU Castleton,CAS,0,0,,0,0,0,2,1,0,2,2,0,4,08:00,0,0,0,0,0,0,4,78,46,124,.629,0.59,16,15,1,9,,0,60,17,9,8,0.13,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.6687796233592103,45,90
2025-26,mhockey,Little East Conference (LEC),lec,Western Connecticut,"McNulty, Scott",Scott,McNulty,0,770,"McNulty, Scott","McNulty,Scott",McNultyScottWES,21,9,22,,Western Connecticut,WES,1074-3033,0,,0,0,0,1,0,0,5,0,0,3,06:00,0,0,0,0,0,0,3,6,14,20,.300,2.33,10,22,-12,3,,0,65,16,6,10,0.15,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.528621507677519,46,90
2025-26,mhockey,Little East Conference (LEC),lec,Norwich,"Benjamin, Niko",Niko,Benjamin,0,511,"Benjamin, Niko","Benjamin,Niko",BenjaminNikoNOR,29,11,73,,Norwich,NOR,0,0,,0,1,0,1,0,0,1,2,0,5,10:00,0,0,0,0,0,0,5,46,49,95,.484,1.07,19,7,12,9,,0,30,17,11,6,0.20,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.482528244581248,47,90
2025-26,mhockey,Little East Conference (LEC),lec,VTSU Castleton,"Castino, Trevor",Trevor,Castino,0,123,"Castino, Trevor","Castino,Trevor",CastinoTrevorCAS,23,4,29,,VTSU Castleton,CAS,0,0,,0,1,0,2,1,1,1,2,0,3,06:00,0,0,0,0,0,0,3,188,164,352,.534,0.87,16,20,-4,18,,0,55,17,11,6,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.482528244581248,48,90
2025-26,mhockey,Little East Conference (LEC),lec,Southern Maine,"MacDuff, Ethan",Ethan,MacDuff,0,662,"MacDuff, Ethan","MacDuff,Ethan",MacDuffEthanUSM,26,10,77,,Southern Maine,USM,1073-4934,0,,0,0,0,0,0,0,2,0,0,6,12:00,0,0,0,0,0,0,6,142,136,278,.511,0.96,18,23,-5,9,,0,42,17,12,5,0.12,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.389402555192267,49,90
2025-26,mhockey,Little East Conference (LEC),lec,Keene State,"Unger, Peter",Peter,Unger,0,330,"Unger, Peter","Unger,Peter",UngerPeterKSC,22,8,7,,Keene State,KSC,1068-4233,0,,0,1,0,0,0,0,1,0,0,2,04:00,0,0,0,0,0,0,2,3,7,10,.300,2.33,22,19,3,3,,0,46,17,12,5,0.11,0,0,False,,,,,,,,,,,,,,,,,,,,,,3.389402555192267,50,89
