season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Howell, Maddy",Maddy,Howell,,78,"Howell, Maddy","HOWELL, MADDY",Brockport,Brock,652-7165,29,10,16,0,16,0,.239,113,19,46,0,0,5,0,0,0,0,0,0,2,1,7,23,7,18,5,60,0,1.59,0.00,0.24,0.79,0.00,2.07,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Jewett, Kaitlyn",Kaitlyn,Jewett,,78,"Jewett, Kaitlyn","JEWETT, KAITLYN",Brockport,Brock,652-7168,96,43,22,0,22,0,.203,118,7,31,697,23,1826,0,69,44,462,0,0,9,1,187,10,4,7,3,106.5,3,0.32,7.26,1.95,0.10,0.72,1.11,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Letterman, Grace",Grace,Letterman,,78,"Letterman, Grace","LETTERMAN, GRACE",Brockport,Brock,652-7543,7,0,1,0,1,0,-1.000,2,2,0,17,1,50,0,2,2,21,0,0,1,0,4,0,0,0,0,2,0,0.00,2.43,0.57,0.00,0.29,0.29,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Forand, Lauryn",Lauryn,Forand,,78,"Forand, Lauryn","FORAND, LAURYN",Brockport,Brock,652-7541,11,0,4,0,4,0,.000,5,0,0,41,2,139,0,2,4,34,0,0,1,0,15,0,0,0,0,2,0,0.00,3.73,1.36,0.00,0.18,0.18,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Ippoliti, Grace",Grace,Ippoliti,,78,"Ippoliti, Grace","IPPOLITI, GRACE",Brockport,Brock,652-7544,58,0,5,0,5,0,.091,11,1,2,8,2,36,0,4,7,150,0,0,195,20,114,0,0,0,0,6,0,0.03,0.14,1.97,0.00,0.07,0.10,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Cusmano, Ellie",Ellie,Cusmano,,78,"Cusmano, Ellie","CUSMANO, ELLIE",Brockport,Brock,652-7546,5,1,6,0,6,0,.154,26,7,11,0,0,0,0,1,1,12,0,0,13,1,5,1,0,0,1,13,0,2.20,0.00,1.00,0.20,0.20,2.60,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Dickerson-Holly, Kaylee",Kaylee,Dickerson-Holly,,78,"Dickerson-Holly, Kaylee","DICKERSON-HOLLY, KAYLEE",Brockport,Brock,652-7540,15,4,13,0,13,0,-.062,81,21,16,2,0,8,0,4,11,23,0,0,73,7,30,2,0,1,1,21,1,1.07,0.13,2.00,0.13,0.27,1.40,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Salazar, Regina",Regina,Salazar,,78,"Salazar, Regina","SALAZAR, REGINA",Brockport,Brock,652-7538,13,4,8,0,8,0,.024,41,5,6,0,0,6,0,0,0,0,0,0,2,0,3,6,1,5,1,9.5,0,0.46,0.00,0.23,0.46,0.00,0.73,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Emke, Lauren",Lauren,Emke,,78,"Emke, Lauren","EMKE, LAUREN",Brockport,Brock,652-7545,32,9,15,0,15,0,.279,104,16,45,1,1,14,0,5,2,50,0,0,1,0,7,18,2,15,3,60.5,0,1.41,0.03,0.22,0.56,0.16,1.89,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Butcher, Luba",Luba,Butcher,,78,"Butcher, Luba","BUTCHER, LUBA",Brockport,Brock,652-8034,93,29,21,0,21,0,.138,565,115,193,16,3,90,0,28,36,245,0,0,221,23,150,41,10,33,8,245.5,1,2.08,0.17,1.61,0.44,0.30,2.64,,,,,,
