season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,wlax,Empire 8 (E8),e8,Utica,Lindsay Pilla,Lindsay,Pilla,,733,Lindsay Pilla,"PILLA,LINDSAY",PILLALINDSAYUTICA,16,16,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,12,4,14,7,955:00,33,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Ella Jentsch,Ella,Jentsch,,733,Ella Jentsch,"JENTSCH,ELLA",JENTSCHELLAUTICA,15,11,,,Utica,UTICA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,9,5,6,10,632:00,11,0,1.000,,2,3,0,2,1,1,.667,0.13,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Morgan Bush,Morgan,Bush,,733,Morgan Bush,"BUSH,MORGAN",BUSHMORGANUTICA,0,0,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Olivia Muscatelli,Olivia,Muscatelli,,733,Olivia Muscatelli,"MUSCATELLI,OLIVIA",MUSCATELLIOLIVIAUTICA,5,0,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,00:00,0,0,1.000,,0,3,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Olivia Grant,Olivia,Grant,,733,Olivia Grant,"GRANT,OLIVIA",GRANTOLIVIAUTICA,12,5,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,5,4,317:00,56,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Alanna Fragapane,Alanna,Fragapane,,733,Alanna Fragapane,"FRAGAPANE,ALANNA",FRAGAPANEALANNAUTICA,7,0,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,04:00,22,0,1.000,,1,2,0,1,1,0,.500,0.14,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Karen Troche,Karen,Troche,,733,Karen Troche,"TROCHE,KAREN",TROCHEKARENUTICA,9,0,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,2,01:00,50,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Kendall Best,Kendall,Best,,733,Kendall Best,"BEST,KENDALL",BESTKENDALLUTICA,11,2,,,Utica,UTICA,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,10,15,3,159:00,55,0,1.000,,8,14,5,10,6,4,.571,0.91,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Courtney Fish,Courtney,Fish,,733,Courtney Fish,"FISH,COURTNEY",FISHCOURTNEYUTICA,15,5,,,Utica,UTICA,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,317:00,35,0,1.000,,19,24,6,13,1,12,.792,0.87,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Makayla Purdy,Makayla,Purdy,,733,Makayla Purdy,"PURDY,MAKAYLA",PURDYMAKAYLAUTICA,15,14,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,2,732:00,41,0,1.000,,0,1,0,0,0,0,.000,0.00,14,702:29,167,98,0,5,9,0,9,2,0,351,14.26,.370,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Vanessa Leon,Vanessa,Leon,,733,Vanessa Leon,"LEON,VANESSA",LEONVANESSAUTICA,15,15,,,Utica,UTICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,5,5,898:00,18,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,wlax,Empire 8 (E8),e8,Utica,Jordan Kowalski,Jordan,Kowalski,,733,Jordan Kowalski,"KOWALSKI,JORDAN",KOWALSKIJORDANUTICA,12,12,,,Utica,UTICA,0,0,3,0,0,0,1,11,1,4,0,0,0,0,4,0,0,1,1,0,0,0,0,0,15,10,16,5,718:00,71,0,1.000,,31,44,8,30,11,19,.705,2.50,,,,,,,,,,,,,,,,,,
