conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,"Hines, Kaitlyn",0,,25,15,8,0,0,5,14,7,3,2,0,0,.93,.33,.47,.133,.200,3,0,0,0,0,0,0,.000,14,1,2,0,.93,.13,.07,.00,0,,823:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,"Carlson, Estherline",0,,27,6,4,0,0,2,6,0,0,0,0,0,1.00,.33,.00,.000,.000,2,0,0,0,0,0,0,.000,8,0,0,0,1.33,.00,.00,.00,0,,331:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,"Leach, Kailey",0,,28,17,15,0,0,6,15,8,4,2,1,0,.88,.35,.47,.118,.235,4,0,0,0,2,0,0,.000,8,0,1,0,.47,.06,.00,.00,0,,760:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,"Cruz, Camelia",0,,29,17,14,0,0,11,17,6,2,2,0,0,1.00,.65,.35,.118,.118,9,0,0,0,1,2,0,.000,18,0,2,0,1.06,.12,.00,.00,0,,945:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,Cayla Moroni,0,,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,SUNY Delhi,Sophia Kim,0,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Emily Rock,0,,1,18,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1356:00,0,.00,.00,307,2,10,4,2,.782,2.80,161,45,1445:09,18,18,2.50,0.782,.111,8.94
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Laurel Fribley,0,,3,19,16,0,0,7,19,2,2,0,0,0,1.00,.37,.11,.000,.105,7,0,0,0,0,0,0,.000,4,0,1,0,.21,.05,.00,.00,0,,1025:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Adison Keefe,0,,4,18,1,0,0,3,6,2,0,1,0,0,.33,.17,.11,.056,.000,2,0,0,0,0,0,0,.000,4,0,0,0,.22,.00,.00,.00,0,,390:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Magnolia Robinson,0,,6,18,0,0,0,4,7,2,0,1,0,0,.39,.22,.11,.056,.000,3,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,449:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Izzy Byram,0,,7,19,19,0,0,2,4,1,1,0,0,0,.21,.11,.05,.000,.053,2,0,0,0,0,0,0,.000,2,0,0,0,.11,.00,.00,.00,0,,1341:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Briley Rutledge,0,,9,19,18,0,0,27,52,17,3,7,0,0,2.74,1.42,.89,.368,.158,20,1,0,0,2,2,1,.053,3,0,3,0,.16,.16,.00,.00,0,,1285:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Breonna Dufrense,0,,10,18,18,0,0,9,13,7,1,3,0,0,.72,.50,.39,.167,.056,6,0,0,0,0,1,0,.000,15,0,0,0,.83,.00,.00,.00,0,,1373:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Sara White,0,,11,15,1,0,0,2,3,0,0,0,0,0,.20,.13,.00,.000,.000,2,0,0,0,0,0,0,.000,5,0,2,0,.33,.13,.00,.00,0,,734:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Ally Southwick,0,,13,19,14,0,0,3,6,3,1,1,0,0,.32,.16,.16,.053,.053,2,0,0,0,1,0,0,.000,8,0,0,0,.42,.00,.00,.00,0,,911:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Yaribel Pena,0,,14,9,7,0,0,5,7,4,0,2,0,0,.78,.56,.44,.222,.000,3,0,0,0,0,0,0,.000,6,0,0,0,.67,.00,.00,.00,0,,528:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Wallingford Alexandra,0,,16,19,18,0,0,12,17,14,0,7,2,2,.89,.63,.74,.368,.000,5,0,0,0,3,2,2,.105,9,0,0,0,.47,.00,.00,.00,0,,1060:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Kendall Theriault,0,,17,14,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.07,.00,.00,.00,0,,297:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Jillian Pelletier,0,,18,19,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.11,.00,.00,.00,0,,1097:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Alyson Ellis,0,,19,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Bailea Haines,0,,22,16,0,0,0,7,11,3,1,1,0,0,.69,.44,.19,.063,.063,6,0,0,0,0,0,0,.000,4,0,0,0,.25,.00,.00,.00,0,,514:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Mya Edgecomb,0,,24,19,19,0,0,1,2,2,2,0,0,0,.11,.05,.11,.000,.105,1,0,0,0,0,0,0,.000,3,0,0,0,.16,.00,.00,.00,0,,1122:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Taylor Krawiecki,0,,25,19,1,0,0,3,8,5,1,2,0,0,.42,.16,.26,.105,.053,1,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,519:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Amber Fortin,0,,26,19,19,0,0,2,6,2,0,1,0,0,.32,.11,.11,.053,.000,1,0,0,0,0,1,1,.053,4,0,2,0,.21,.11,.00,.00,0,,1541:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Trinity Bean,0,,27,19,16,0,0,9,22,1,1,0,0,0,1.16,.47,.05,.000,.053,9,0,0,0,0,0,0,.000,8,0,0,0,.42,.00,.00,.00,0,,1200:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Katy McIntyre,0,,29,1,1,0,0,-1,0,0,0,0,0,0,.00,-1.00,.00,.000,.000,-1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,72:00,1,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Von oesen Jordan,0,,98,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Thomas,Anna Durost,0,,99,7,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,264:00,0,.00,.00,63,0,2,0,0,.514,5.80,18,17,264:51,1,7,2.43,0.514,.000,2.57
