season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Zduniak, Taylor",Taylor,Zduniak,,684,"Zduniak, Taylor","ZDUNIAK, TAYLOR",Suffolk University,SUF,0,7,0,7,0,7,0,,,,,,,0.14,0.00,1.43,0.00,0.00,0.14,1.000,1,0,1,0,0,3,0,0,2,19,0,0,26,7,10,0,0,0,0,1,0,1.0563455123747276,51,84
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Kuijt, Noëlle",Noëlle,Kuijt,,684,"Kuijt, Noëlle","KUIJT, NOëLLE",Suffolk University,SUF,0,1,0,9,0,9,0,,,,,,,0.00,0.00,0.00,1.00,0.00,0.50,.000,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0.5,0,1.0314043745150472,52,84
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Earl, Camille",Camille,Earl,,272,"Earl, Camille","EARL, CAMILLE",University of Hartford,Hart,6-3177,8,2,19,0,19,0,,,,,,,1.38,0.00,0.13,0.25,0.00,1.56,.258,31,3,11,0,1,5,0,0,0,0,0,0,0,0,1,2,0,1,1,12.5,0,1.0258419948109823,53,84
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Ross, Ellie",Ellie,Ross,,775,"Ross, Ellie","ROSS, ELLIE",Western New England University,WNE,1022-4775,11,5,17,0,17,0,,,,,,,0.64,4.00,0.91,0.36,0.09,0.91,.217,23,2,7,44,2,151,0,1,1,19,0,0,0,0,10,4,0,4,0,10,0,0.9132970042318913,54,83
2026-27,wvball,Conference of New England (CCC),ccc,Roger Williams University,"Wall, Joci",Joci,Wall,,583,"Wall, Joci","WALL, JOCI",Roger Williams University,RWU,697-9969,18,2,2,0,2,0,,,,,,,0.06,0.11,1.17,0.00,0.06,0.11,1.000,1,0,1,2,0,6,0,1,2,51,0,0,59,9,21,0,0,0,0,2,0,0.8843166762430466,55,83
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Pierre, Jhudny",Jhudny,Pierre,,484,"Pierre, Jhudny","PIERRE, JHUDNY",Nichols College,NC,695-4576,11,3,7,0,7,0,,,,,,,1.64,0.00,0.36,0.18,0.00,1.73,.093,75,11,18,0,0,3,0,0,0,0,0,0,4,0,4,2,0,2,0,19,0,0.8401031088460205,56,83
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Pratt, Ella",Ella,Pratt,,484,"Pratt, Ella","PRATT, ELLA",Nichols College,NC,695-5108,11,3,9,0,9,0,,,,,,,0.82,0.00,0.09,0.45,0.09,1.23,.143,35,4,9,0,1,9,0,1,7,19,0,0,1,0,1,5,2,3,2,13.5,0,0.7868860768624619,57,83
2026-27,wvball,Conference of New England (CCC),ccc,Roger Williams University,"Lombardo, Ava",Ava,Lombardo,,583,"Lombardo, Ava","LOMBARDO, AVA",Roger Williams University,RWU,697-9966,4,1,15,0,15,0,,,,,,,0.25,7.00,2.50,0.50,0.00,0.50,-.125,8,2,1,28,1,83,0,0,2,10,0,0,0,0,10,2,0,2,0,2.0,0,0.7641051680938283,58,82
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Bettencourt, Reece",Reece,Bettencourt,,684,"Bettencourt, Reece","BETTENCOURT, REECE",Suffolk University,SUF,0,3,0,18,0,18,0,,,,,,,0.67,0.00,0.00,0.67,0.00,1.17,.000,5,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,3.5,0,0.7607288300213831,59,82
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Tolhurst, Abby",Abby,Tolhurst,,684,"Tolhurst, Abby","TOLHURST,ABBY",Suffolk University,SUF,0,4,1,12,0,12,0,,,,,,,1.75,0.00,0.00,0.25,0.00,1.88,-.043,23,8,7,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,7.5,0,0.6590557893826117,60,82
