season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Goucher,Goucher College,Iseline Schenk,,,28150,586,ACTIVE,87.3,15.3,18,88.1715932656911,12,5,2,1.74244541523808,-32.4558641428702,Southeast - (W) DIII,clippd_scoreboard,746,73,0.688687391526092
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Meghan Mullen,,Second Year,4922,578,ACTIVE,87.48,15.48,21,86.9749846813647,13,1,1,1.8255356946059,-25.8055525317469,Southeast - (W) DIII,clippd_scoreboard,757,72,0.605842755506783
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Mary McGuire,,Fourth Year,21495,566,ACTIVE,87.6,15.6,20,87.3808166614104,12,0,0,1.89098156348769,-25.7174539231951,Southeast - (W) DIII,clippd_scoreboard,763,72,0.559003770247131
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Harper Capilli,,Third Year,4917,631,ACTIVE,88.21,16.21,14,88.0278709183982,9,0,0,1.41267871769847,-26.2623154405998,Southeast - (W) DIII,clippd_scoreboard,801,71,0.39317194508962
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Susquehanna,Susquehanna University,Mylee Lorigan,,Second Year,6828,611,ACTIVE,88.22,16.22,18,87.9017977485202,13,1,0,1.57113591321077,-28.3990910860521,Southeast - (W) DIII,clippd_scoreboard,803,71,0.3851118613976
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Susquehanna,Susquehanna University,Isabella Westerfield,,Third Year,36942,518,ACTIVE,88.89,16.89,18,88.5684644151869,13,0,0,2.31480707158306,-28.3990910860521,Southeast - (W) DIII,clippd_scoreboard,838,70,0.262726820881402
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Drew,Drew University,Isabella Borte,,Third Year,34453,759,ACTIVE,90.19,18.19,16,90.7687662653865,10,0,0,0.586067265082901,-27.6616889474532,Southeast - (W) DIII,clippd_scoreboard,904,68,0.0888960018948095
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Isabelle Seratch,,,24346,760,ACTIVE,92.08,20.08,13,91.3567744520199,9,1,1,0.575229170307555,-27.1311660908121,Southeast - (W) DIII,clippd_scoreboard,988,65,0.00171286550602189
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Drew,Drew University,Emily Rhode,,,17824,818,ACTIVE,92.08,20.08,12,92.7659346861426,7,0,0,0.334907292624685,-27.5306483975302,Southeast - (W) DIII,clippd_scoreboard,989,65,0.00170637565967484
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Scranton,University of Scranton,Lidia Marranca,,,27776,800,ACTIVE,92.33,20.33,15,94.4141103584445,13,4,0,0.395617634270315,-34.6871196411331,Southeast - (W) DIII,clippd_scoreboard,998,65,0.000584950411001043
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Elizabethtown,Elizabethtown College,Allyia Kennedy,,,38603,100000,ACTIVE,92.64,20.64,11,92.5562751907997,10,2,1,0.531064557547612,-34.0583809752217,Southeast - (W) DIII,clippd_scoreboard,1011,65,1.97541260924414
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Marywood,Marywood University,Megan Rickaby,,Second Year,9659,100000,ACTIVE,92.91,20.91,11,98.2803257019868,10,6,2,0.111715101845688,-40.6633709467647,Southeast - (W) DIII,clippd_scoreboard,1020,64,0.018312439466493
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Moravian,Moravian University,Ella Oswald,,Fourth Year,27505,100000,ACTIVE,93.45,21.45,11,93.7696973500241,8,1,0,0.654972839121877,-32.1125858929947,Southeast - (W) DIII,clippd_scoreboard,1041,64,0.0672288288914836
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Tyler Zierski,,,23934,804,ACTIVE,94.69,22.69,13,93.9721590674046,9,0,0,0.377575570861394,-27.1311660908121,Southeast - (W) DIII,clippd_scoreboard,1083,62,0.844007334380519
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Goucher,Goucher College,Keeli Satterfield,,,28155,851,ACTIVE,94.74,22.74,19,95.6678431826353,13,4,1,0.202682217418367,-32.3797561580914,Southeast - (W) DIII,clippd_scoreboard,1084,62,0.00196910919780308
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Scranton,University of Scranton,Cassandra Weir,,,27952,903,ACTIVE,96.59,24.59,17,98.4882122261256,15,5,1,0.0911478522196681,-35.3221461147091,Southeast - (W) DIII,clippd_scoreboard,1137,61,0.0574756465107306
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Scranton,University of Scranton,Mara Bilenski,,Third Year,37673,901,ACTIVE,97.57,25.57,14,99.3417654348837,12,1,0,0.0940131863842804,-35.5355408292343,Southeast - (W) DIII,clippd_scoreboard,1155,60,0.00710327363278992
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Scranton,University of Scranton,Emily Davis,,Third Year,38795,897,ACTIVE,97.83,25.83,12,100.419466239064,11,1,1,0.104461407273158,-36.3906310279152,Southeast - (W) DIII,clippd_scoreboard,1163,60,0.212247177625224
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Catholic (DC),Catholic University of America,Klaudia Ritter,,Second Year,4920,869,ACTIVE,98.08,26.08,12,97.5143888051638,8,0,0,0.149246496537917,-26.5944078286892,Southeast - (W) DIII,clippd_scoreboard,1169,60,0.0232792594440957
2025-26,wgolf,Women,Landmark Conference,landmark_conference,Juniata,Juniata College,Lily Stewart,,Fourth Year,21065,892,ACTIVE,98.26,26.26,15,98.4689966292431,9,0,0,0.110633394291688,-30.9640300355774,Southeast - (W) DIII,clippd_scoreboard,1176,60,14.387461400401
