season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Quijano, Bennett",Bennett,Quijano,,114,"Quijano, Bennett","QUIJANO,BENNETT",Calvin,CAL,1086-2534,2,2,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,77:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,225,58
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,"Ratell, Lucas",Lucas,Ratell,,21,"Ratell, Lucas","RATELL,LUCAS",Alma,Alma,1085-4321,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,226,58
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Reyes, Josh",Josh,Reyes,,286,"Reyes, Josh","REYES,JOSH",Hope,HOPE,0,2,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,227,58
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Richer, Luke",Luke,Richer,,4,"Richer, Luke","RICHER,LUKE",Adrian,ADRIAN,1083-14355,0,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,228,58
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,"Richmond, Geordie",Geordie,Richmond,,15,"Richmond, Geordie","RICHMOND,GEORDIE",Albion,AC,1084-3977,0,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,229,57
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Risley, Zach",Zach,Risley,,286,"Risley, Zach","RISLEY,ZACH",Hope,HOPE,0,2,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,28:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,230,57
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,"Rodriguez, Bryan",Bryan,Rodriguez,,30037,"Rodriguez, Bryan","RODRIGUEZ,BRYAN",Trine,TRINE,1091-5045,2,1,11,0,11,0,0,0,2,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.50,.00,.00,0,,124:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,231,57
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Roskowski, Kaden",Kaden,Roskowski,,114,"Roskowski, Kaden","ROSKOWSKI,KADEN",Calvin,CAL,1086-2865,2,0,23,0,23,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,46:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,232,57
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Russell, Alex",Alex,Russell,,4,"Russell, Alex","RUSSELL,ALEX",Adrian,ADRIAN,1083-14356,2,1,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,108:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,233,57
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,"Saad, Hadi",Hadi,Saad,,4,"Saad, Hadi","SAAD,HADI",Adrian,ADRIAN,1083-13574,-2,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,-26:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3501225219466497,234,56
