season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Novotny,Tommy",Tommy,Novotny,,805,"Novotny,Tommy","NOVOTNY,TOMMY",UW-Whitewater,UWW,1147-8113,1,0,5,5,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,.0,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,7,80,80,0,1,32,11.4,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Ramirez,Efrein",Efrein,Ramirez,,805,"Ramirez,Efrein","RAMIREZ,EFREIN",UW-Whitewater,UWW,1147-7602,1,1,6,6,0,0,DB,0,,,,,,,,0,1,4,5,5,1.0,.0,.0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Vasey,Tyler",Tyler,Vasey,,805,"Vasey,Tyler","VASEY,TYLER",UW-Whitewater,UWW,1147-7314,1,1,7,7,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,9,123,2,61,13.7,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,2,3,4,1,0,4,1.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Powers,Walker",Walker,Powers,,805,"Powers,Walker","POWERS,WALKER",UW-Whitewater,UWW,1147-7625,1,0,7,7W,0,0,DL,0,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Libby,Karsten",Karsten,Libby,,805,"Libby,Karsten","LIBBY,KARSTEN",UW-Whitewater,UWW,1147-7329,1,1,8,8,0,0,LB,0,,,,,,,,0,1,5,6,6,.0,.0,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Bielawski,Ben",Ben,Bielawski,,805,"Bielawski,Ben","BIELAWSKI,BEN",UW-Whitewater,UWW,1147-7333,1,1,9,9,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Timpel,Max",Max,Timpel,,805,"Timpel,Max","TIMPEL,MAX",UW-Whitewater,UWW,1147-7887,1,0,13,13,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Prio,Andrew",Andrew,Prio,,805,"Prio,Andrew","PRIO,ANDREW",UW-Whitewater,UWW,1147-7622,1,0,14,1P,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Chamberlain,Jace",Jace,Chamberlain,,805,"Chamberlain,Jace","CHAMBERLAIN,JACE",UW-Whitewater,UWW,1147-7892,1,0,14,14,0,0,DL,0,,,,,,,,0,0,2,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Fowler,Jayden",Jayden,Fowler,,805,"Fowler,Jayden","FOWLER,JAYDEN",UW-Whitewater,UWW,1147-7604,1,1,16,16,0,0,LB,0,,,,,,,,0,1,2,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Kunkel,Darin",Darin,Kunkel,,805,"Kunkel,Darin","KUNKEL,DARIN",UW-Whitewater,UWW,1147-7623,1,1,17,1K,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Whitewater,"Clausen,Carson",Carson,Clausen,,805,"Clausen,Carson","CLAUSEN,CARSON",UW-Whitewater,UWW,1147-7626,1,1,17,17,0,0,DL,0,,,,,,,,0,1,1,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
