season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Ward, Emma",Emma,Ward,,163,"Ward, Emma","WARD,EMMA",Conn. College,CONN,1125-2580,1,1,22,0,22,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,1.00,.00,.00,0,,57:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Grontzos, Juliana",Juliana,Grontzos,,163,"Grontzos, Juliana","GRONTZOS,JULIANA",Conn. College,CONN,1125-2789,1,1,23,0,23,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,81:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Barakat, Victoria",Victoria,Barakat,,163,"Barakat, Victoria","BARAKAT,VICTORIA",Conn. College,CONN,1125-2790,0,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Gardner, Juliet",Juliet,Gardner,,163,"Gardner, Juliet","GARDNER,JULIET",Conn. College,CONN,1125-3148,1,0,25,0,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,34:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Smith, Olivia",Olivia,Smith,,163,"Smith, Olivia","SMITH,OLIVIA",Conn. College,CONN,1125-2578,0,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"McCorry, Una",Una,McCorry,,163,"McCorry, Una","MCCORRY,UNA",Conn. College,CONN,1125-2574,1,1,27,0,27,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Lovell, Morgan",Morgan,Lovell,,163,"Lovell, Morgan","LOVELL,MORGAN",Conn. College,CONN,1125-3151,1,1,28,0,28,0,0,3,3,5,1,2,0,0,3.00,3.00,5.00,2.000,1.000,1,1,0,0,1,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,52:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Hickman, Eleanore",Eleanore,Hickman,,163,"Hickman, Eleanore","HICKMAN,ELEANORE",Conn. College,CONN,1125-2982,0,0,30,0,30,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Dygean, Gwyneth",Gwyneth,Dygean,,163,"Dygean, Gwyneth","DYGEAN,GWYNETH",Conn. College,CONN,1125-3147,0,0,33,0,33,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Iwakoshi, Colette",Colette,Iwakoshi,,163,"Iwakoshi, Colette","IWAKOSHI,COLETTE",Conn. College,CONN,1125-3150,0,0,36,0,36,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Head, Virginia",Virginia,Head,,163,"Head, Virginia","HEAD,VIRGINIA",Conn. College,CONN,1125-2793,0,0,77,0,77,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Amherst,"Bellermann, Corina",Corina,Bellermann,,24,"Bellermann, Corina","BELLERMANN,CORINA",Amherst,AMH,0,1,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,12:00,0,.00,.00,1,0,0,0,0,1.000,0.00,1,0,12:28,0,1,.00,1.000,.000,1.00,,,,,
2026-27,wsoc,New England Small College Athletic Conference (NESCAC),nescac,Amherst,"Davidson, Molly",Molly,Davidson,,24,"Davidson, Molly","DAVIDSON,MOLLY",Amherst,AMH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,78:00,0,.00,.00,20,0,1,0,0,.600,4.68,6,4,77:32,1,1,4.00,0.600,.000,6.00,,,,,
