season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Wolfe, Jackson",Jackson,Wolfe,,12973,"Wolfe, Jackson","WOLFE, JACKSON",Wilson College,Wilson,1246-967,80,38,10,0,10,0,,,,,,,2.95,0.10,1.85,0.74,0.36,3.78,.281,588,71,236,8,1,43,0,29,42,277,0,0,3,1,148,59,4,43,16,302.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Davis, Gaetano",Gaetano,Davis,,12973,"Davis, Gaetano","DAVIS, GAETANO",Wilson College,Wilson,1246-1071,69,0,17,0,17,0,,,,,,,0.03,0.00,0.19,0.00,0.16,0.19,.400,5,0,2,0,0,2,0,11,34,202,0,0,11,2,13,0,0,0,0,13,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Zorn, Scotty",Scotty,Zorn,,12973,"Zorn, Scotty","ZORN, SCOTTY",Wilson College,Wilson,1246-1031,74,20,1,0,1,0,,,,,,,1.47,0.11,1.07,0.16,0.11,1.68,.076,291,87,109,8,3,39,0,8,27,82,0,0,238,12,79,12,1,10,2,124,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Marston, Peter",Peter,Marston,,12973,"Marston, Peter","MARSTON, PETER",Wilson College,Wilson,1246-1073,26,3,14,0,14,0,,,,,,,0.65,2.12,0.92,0.46,0.46,1.42,.035,85,14,17,55,2,114,0,12,9,51,0,0,0,0,24,12,1,8,4,37,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Carter, Elijah",Elijah,Carter,,12973,"Carter, Elijah","CARTER, ELIJAH",Wilson College,Wilson,1246-1074,27,0,13,0,13,0,,,,,,,0.74,0.07,0.56,0.22,0.04,0.93,.130,54,13,20,2,4,19,0,1,8,22,0,0,5,0,15,6,0,4,2,25,1
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Reall Jr., Weston",Weston,Reall Jr.,,12973,"Reall Jr., Weston","REALL JR., WESTON",Wilson College,Wilson,1246-1075,39,2,5,0,5,0,,,,,,,0.41,0.03,0.90,0.05,0.15,0.59,.053,75,12,16,1,2,19,0,6,4,37,0,0,52,2,35,2,2,2,0,23,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Bernier, Max",Max,Bernier,,12973,"Bernier, Max","BERNIER, MAX",Wilson College,Wilson,1246-1070,14,0,15,0,15,0,,,,,,,1.43,0.07,0.14,0.36,0.00,1.71,.621,29,2,20,1,0,1,0,0,2,2,0,0,0,0,2,5,1,2,3,24,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Zfati, Elian",Elian,Zfati,,245,"Zfati, Elian","ZFATI, ELIAN",Gallaudet University,Gal,141-2277,79,1,5,0,5,0,,,,,,,0.03,0.53,3.08,0.00,0.00,0.03,-.194,31,8,2,42,1,183,0,0,3,10,0,0,463,30,243,0,0,0,0,2,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Lopez, Seth",Seth,Lopez,,245,"Lopez, Seth","LOPEZ, SETH",Gallaudet University,Gal,141-2276,10,2,8,0,8,0,,,,,,,0.00,0.00,0.70,0.00,0.10,0.10,.000,0,0,0,0,0,1,0,1,5,15,0,0,3,0,7,0,0,0,0,1,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Wascher, Tyler",Tyler,Wascher,,245,"Wascher, Tyler","WASCHER, TYLER",Gallaudet University,Gal,141-2114,97,48,10,0,10,0,,,,,,,1.69,0.05,0.39,0.62,0.25,2.32,.278,378,59,164,5,5,44,0,24,47,299,0,0,4,2,38,60,10,45,15,225.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Holcomb, Troy",Troy,Holcomb,,245,"Holcomb, Troy","HOLCOMB, TROY",Gallaudet University,Gal,141-1940,97,49,12,0,12,0,,,,,,,0.39,7.61,1.99,0.41,0.26,0.88,.095,199,19,38,738,33,2318,0,25,68,375,0,0,8,3,193,40,8,35,5,85.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Lee, Kodi",Kodi,Lee,,245,"Lee, Kodi","LEE, KODI",Gallaudet University,Gal,141-2229,88,49,15,0,15,0,,,,,,,1.94,0.22,1.95,0.22,0.22,2.28,.043,698,141,171,19,6,99,0,19,45,345,0,0,400,32,172,19,1,16,3,201,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"McBrine, Luke",Luke,McBrine,,245,"McBrine, Luke","MCBRINE, LUKE",Gallaudet University,Gal,141-2031,52,24,17,0,17,0,,,,,,,1.08,0.02,0.17,0.87,0.00,1.62,.272,136,19,56,1,0,10,0,0,6,16,0,0,3,1,9,45,7,34,11,84,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Furzland, Tyler",Tyler,Furzland,,245,"Furzland, Tyler","FURZLAND, TYLER",Gallaudet University,Gal,141-2275,45,0,4,0,4,0,,,,,,,0.00,0.16,0.09,0.00,0.20,0.20,-.500,2,1,0,7,2,20,0,9,21,163,0,0,0,0,4,0,0,0,0,9,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Baker, Austin",Austin,Baker,,245,"Baker, Austin","BAKER, AUSTIN",Gallaudet University,Gal,141-2093,44,7,25,0,25,0,,,,,,,0.41,0.02,0.25,0.50,0.00,0.72,.043,69,15,18,1,2,14,0,0,4,5,0,0,0,0,11,22,1,17,5,31.5,0
