season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Emma Terino,Emma,Terino,,656,Emma Terino,"TERINO,EMMA",TERINOEMMAMASS.-DA,9,9,,,UMass Dartmouth,MASS.-DA,1072-4446,0,2,0,0,0,1,9,0,4,1,0,0,0,5,1,0,0,0,0,0,0,0,0,11,114,25,4,540:00,0,0,1.000,,38,50,8,39,15,24,.760,4.33,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Jennifer Lins,Jennifer,Lins,,656,Jennifer Lins,"LINS,JENNIFER",LINSJENNIFERMASS.-DA,17,17,,,UMass Dartmouth,MASS.-DA,1072-3989,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,20,12,1017:00,32,0,1.000,,17,22,2,18,7,11,.773,1.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Gia McCasland,Gia,McCasland,,656,Gia McCasland,"MCCASLAND,GIA",MCCASLANDGIAMASS.-DA,2,2,,,UMass Dartmouth,MASS.-DA,1072-4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,UMass Dartmouth,Jillian Koval,Jillian,Koval,,656,Jillian Koval,"KOVAL,JILLIAN",KOVALJILLIANMASS.-DA,6,6,,,UMass Dartmouth,MASS.-DA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,357:00,32,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Emma-Claire Caskey,Emma-Claire,Caskey,,123,Emma-Claire Caskey,"CASKEY,EMMA-CLAIRE",CASKEYEMMA-CLAIRESPARTANS,16,11,,,VTSU Castleton,SPARTANS,1199-4978,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,0,9,9,617:00,97,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Stella Forte,Stella,Forte,,123,Stella Forte,"FORTE,STELLA",FORTESTELLASPARTANS,10,2,,,VTSU Castleton,SPARTANS,1199-4135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,6,4,177:00,90,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Hana Doria,Hana,Doria,,123,Hana Doria,"DORIA,HANA",DORIAHANASPARTANS,0,0,,,VTSU Castleton,SPARTANS,1199-5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Halle Christian,Halle,Christian,,123,Halle Christian,"CHRISTIAN,HALLE",CHRISTIANHALLESPARTANS,16,15,,,VTSU Castleton,SPARTANS,1199-5672,0,1,0,0,0,0,7,1,2,3,0,0,0,5,1,0,0,0,0,0,0,0,0,23,11,36,11,868:00,99,0,1.000,,18,21,1,12,0,12,.857,0.75,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Courtney Magee,Courtney,Magee,,123,Courtney Magee,"MAGEE,COURTNEY",MAGEECOURTNEYSPARTANS,15,15,,,VTSU Castleton,SPARTANS,1199-5469,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,0,12,39,887:00,51,0,1.000,,1,1,0,2,1,1,1.000,0.13,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Phoebe Loomis,Phoebe,Loomis,,123,Phoebe Loomis,"LOOMIS,PHOEBE",LOOMISPHOEBESPARTANS,16,16,,,VTSU Castleton,SPARTANS,1199-4333,0,6,0,0,0,1,29,2,9,1,0,0,0,18,9,0,0,0,0,0,0,0,0,48,54,53,30,934:00,108,0,1.000,,83,114,11,45,9,36,.728,2.81,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Renny Cota,Renny,Cota,,123,Renny Cota,"COTA,RENNY",COTARENNYSPARTANS,16,16,,,VTSU Castleton,SPARTANS,1199-4334,0,5,0,0,0,2,20,2,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,16,1,39,4,932:00,51,0,1.000,,59,89,19,39,7,32,.663,2.44,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Taylor Tallmadge,Taylor,Tallmadge,,123,Taylor Tallmadge,"TALLMADGE,TAYLOR",TALLMADGETAYLORSPARTANS,16,15,,,VTSU Castleton,SPARTANS,1199-5466,0,1,0,0,0,0,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,19,6,875:00,88,0,1.000,,21,24,2,26,14,12,.875,1.63,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Megan Culp,Megan,Culp,,123,Megan Culp,"CULP,MEGAN",CULPMEGANSPARTANS,14,14,,,VTSU Castleton,SPARTANS,1199-4215,0,10,0,0,0,1,16,0,3,1,0,0,0,11,7,0,0,0,0,0,0,0,0,70,44,48,33,770:00,124,0,1.000,,43,65,22,25,6,19,.662,1.79,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Taylor Gleeson,Taylor,Gleeson,,123,Taylor Gleeson,"GLEESON,TAYLOR",GLEESONTAYLORSPARTANS,16,12,,,VTSU Castleton,SPARTANS,1199-5602,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,7,20,4,641:00,56,0,1.000,,10,13,2,8,5,3,.769,0.50,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Eliza Mullen,Eliza,Mullen,,123,Eliza Mullen,"MULLEN,ELIZA",MULLENELIZASPARTANS,10,1,,,VTSU Castleton,SPARTANS,1199-5656,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,6,0,5,2,120:00,70,0,1.000,,1,4,2,0,0,0,.250,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Lanza Bellomo,Lanza,Bellomo,,123,Lanza Bellomo,"BELLOMO,LANZA",BELLOMOLANZASPARTANS,15,15,,,VTSU Castleton,SPARTANS,1199-5673,0,4,0,0,0,1,13,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,72,46,21,32,881:00,47,0,1.000,,28,40,8,25,8,17,.700,1.67,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Samantha White,Samantha,White,,123,Samantha White,"WHITE,SAMANTHA",WHITESAMANTHASPARTANS,8,8,,,VTSU Castleton,SPARTANS,1199-5674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,2,468:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,8,468:00,116,54,0,3,7,0,0,0,0,239,14.87,.318
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Eva Hofmeister,Eva,Hofmeister,,123,Eva Hofmeister,"HOFMEISTER,EVA",HOFMEISTEREVASPARTANS,16,15,,,VTSU Castleton,SPARTANS,1199-4981,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,17,1,14,11,876:00,130,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Jess Smithson,Jess,Smithson,,123,Jess Smithson,"SMITHSON,JESS",SMITHSONJESSSPARTANS,2,1,,,VTSU Castleton,SPARTANS,1199-4128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75:00,54,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Bella Gale,Bella,Gale,,123,Bella Gale,"GALE,BELLA",GALEBELLASPARTANS,15,13,,,VTSU Castleton,SPARTANS,1199-5464,0,1,0,0,0,1,5,4,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,26,0,26,8,830:00,91,0,1.000,,42,55,4,26,5,21,.764,1.73,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Maddy Corrigan,Maddy,Corrigan,,123,Maddy Corrigan,"CORRIGAN,MADDY",CORRIGANMADDYSPARTANS,16,8,,,VTSU Castleton,SPARTANS,1199-5465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,6,4,528:00,103,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Rainey Lay,Rainey,Lay,,123,Rainey Lay,"LAY,RAINEY",LAYRAINEYSPARTANS,3,1,,,VTSU Castleton,SPARTANS,1199-4214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,60:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Gracie Hurlbut,Gracie,Hurlbut,,123,Gracie Hurlbut,"HURLBUT,GRACIE",HURLBUTGRACIESPARTANS,12,12,,,VTSU Castleton,SPARTANS,1199-5604,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,16,0,8,2,719:00,16,0,1.000,,1,2,0,1,0,1,.500,0.08,,,,,8,480:00,102,54,0,4,5,0,0,0,0,221,12.75,.346
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Olivia Rutkowski,Olivia,Rutkowski,,123,Olivia Rutkowski,"RUTKOWSKI,OLIVIA",RUTKOWSKIOLIVIASPARTANS,12,2,,,VTSU Castleton,SPARTANS,1199-4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,159:00,126,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,VTSU Castleton,Morgan Arscott,Morgan,Arscott,,123,Morgan Arscott,"ARSCOTT,MORGAN",ARSCOTTMORGANSPARTANS,5,0,,,VTSU Castleton,SPARTANS,1199-5333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,3,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Western Connecticut,Jaden Kilmer,Jaden,Kilmer,,770,Jaden Kilmer,"KILMER,JADEN",KILMERJADENWCSUWL,1,0,,,Western Connecticut,WCSUWL,1074-2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,1,04:28,0,0,0,0,0,0,0,0,0,2,.00,.000
2026-27,wlax,Little East Conference (LEC),lec,Western Connecticut,Victoria Gracy,Victoria,Gracy,,770,Victoria Gracy,"GRACY,VICTORIA",GRACYVICTORIAWCSUWL,19,18,,,Western Connecticut,WCSUWL,1074-1892,0,2,0,0,0,3,19,3,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,19,3,21,6,1077:00,39,0,1.000,,82,106,8,73,26,47,.774,3.84,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Western Connecticut,Anneliese Reggio,Anneliese,Reggio,,770,Anneliese Reggio,"REGGIO,ANNELIESE",REGGIOANNELIESEWCSUWL,19,18,,,Western Connecticut,WCSUWL,1074-2551,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,32,1,14,20,1114:00,33,0,1.000,,2,2,0,2,0,2,1.000,0.11,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Western Connecticut,Gina Giambald,Gina,Giambald,,770,Gina Giambald,"GIAMBALD,GINA",GIAMBALDGINAWCSUWL,19,16,,,Western Connecticut,WCSUWL,1074-2351,0,3,0,0,0,0,11,0,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,21,0,19,6,1014:00,14,0,1.000,,26,39,7,31,18,13,.667,1.63,,,,,,,,,,,,,,,,,,
2026-27,wlax,Little East Conference (LEC),lec,Western Connecticut,Kyla Murnane,Kyla,Murnane,,770,Kyla Murnane,"MURNANE,KYLA",MURNANEKYLAWCSUWL,18,18,,,Western Connecticut,WCSUWL,1074-2797,0,3,0,0,0,1,8,1,4,1,0,0,0,8,2,0,0,0,0,0,0,0,0,45,5,23,20,1072:00,17,0,1.000,,32,39,8,30,15,15,.821,1.67,,,,,,,,,,,,,,,,,,
