season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,"Schemenauer,Derek",Derek,Schemenauer,,491,"Schemenauer,Derek","SCHEMENAUER,DEREK",N.C. Wesleyan,NCW,1181-3299,1,1,5,5,0,0,LB,0,,,,,,,,0,7,3,10,10,1.0,.0,.0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226813851672222,21,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"McIntyre,Sincere",Sincere,McIntyre,,263,"McIntyre,Sincere","MCINTYRE,SINCERE",Greensboro,GSO,1177-4616,1,1,0,A,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,46,2,27,23.0,1,32,0,32,32.0,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0921625765559813,22,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Belhaven,"Roberts,Xander",Xander,Roberts,,30197,"Roberts,Xander","ROBERTS,XANDER",Belhaven,BU,952-6092,1,1,10,10,0,0,DB,0,,,,,,,,0,5,0,5,5,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9565935697121857,23,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Huntingdon,Jamari Coleman,Jamari,Coleman,,1130,Jamari Coleman,"COLEMAN,JAMARI",Huntingdon,HUNTING,0,1,1,7,7,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,46,1,24,9.2,2,49,0,32,24.5,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.900749862249393,24,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"Torrence-Kelly,Camron",Camron,Torrence-Kelly,,263,"Torrence-Kelly,Camron","TORRENCE-KELLY,CAMRON",Greensboro,GSO,1177-4579,1,0,2,2,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,15,0,13,7.5,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,10,60,60,0,2,15,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8356305815310967,25,94
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,"Winston,Mathias",Mathias,Winston,,491,"Winston,Mathias","WINSTON,MATHIAS",N.C. Wesleyan,NCW,1181-3037,1,1,7,7,0,0,S,0,,,,,,,,0,3,4,7,7,1.5,.0,.0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83315025936762,26,93
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Belhaven,"Davis,John",John,Davis,,30197,"Davis,John","DAVIS,JOHN",Belhaven,BU,952-5757,1,0,1,1D,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,110,0,42,22.0,1,25,0,25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6124068396744864,27,93
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,"Jackson,Isaiah",Isaiah,Jackson,,491,"Jackson,Isaiah","JACKSON,ISAIAH",N.C. Wesleyan,NCW,1181-2732,1,0,19,19,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,94,1,53,31.3,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5778008549365423,28,93
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,N.C. Wesleyan,"Selvage,Braden",Braden,Selvage,,491,"Selvage,Braden","SELVAGE,BRADEN",N.C. Wesleyan,NCW,1181-3003,1,1,12,12,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0,0,3,3.0,3.0,0,0,53,2,240,0,27,18,165.8,8.89,13.33,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5761638445264596,29,93
2026-27,football,USA South Athletic Conference,usa_south_athletic_confe,Belhaven,"Craven,John Ross",John Ross,Craven,,30197,"Craven,John Ross","CRAVEN,JOHN ROSS",Belhaven,BU,952-5757,1,1,26,26,0,0,LB,0,,,,,,,,0,4,4,8,8,1.0,.0,.0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5282919907229506,30,93
