conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Panuco,Caitlyn",0,G,00,27,27,111,238,19,57,202,148,389,2,39,104,882,30,94,124,57,0,89,0,0,0.47,0.33,0.73,14.41,4.59,3.85,1.44,0.07
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Thomas,Raven",0,G,02,2,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Santos,Azaylee",0,G,03,25,24,38,130,18,69,49,33,127,3,39,48,742,16,41,57,36,1,52,1,0,0.29,0.26,0.67,5.08,2.28,1.92,1.56,0.12
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Clay,Madison",0,G,04,4,4,10,38,3,16,6,4,27,2,3,1,109,2,13,15,8,0,9,0,0,0.26,0.19,0.67,6.75,3.75,0.25,0.75,0.50
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Parsons,Caitlyn",0,F,10,27,26,120,266,2,11,115,60,302,31,37,26,792,86,177,263,72,0,49,1,0,0.45,0.18,0.52,11.19,9.74,0.96,1.37,1.15
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"McAfee,Taylor",0,G,11,27,22,61,190,14,71,51,38,174,4,34,39,692,20,76,96,42,0,97,0,0,0.32,0.20,0.75,6.44,3.56,1.44,1.26,0.15
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Ambriz,Amaris",0,G,13,23,1,48,136,33,94,28,16,145,0,15,16,441,11,29,40,39,0,49,0,0,0.35,0.35,0.57,6.30,1.74,0.70,0.65,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Leet,Anneliese",0,F,14,2,0,0,0,0,0,2,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Nicholson,Kaley",0,G,21,27,2,38,115,28,84,42,30,134,0,30,11,448,24,47,71,43,0,26,1,0,0.33,0.33,0.71,4.96,2.63,0.41,1.11,0.00
asc,American Southwest Conference (ASC),2025-26,wbball,Howard Payne,"Glasgow,Kinsey",0,G,23,13,0,12,42,5,23,7,6,35,0,5,4,119,6,8,14,8,0,1,0,0,0.29,0.22,0.86,2.69,1.08,0.31,0.38,0.00
