conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Grolnic, Noah",,0,28,18,2,0,,0,0,0,1,0,0,0,1,0,1,02:00,0,0,0,0,0,0,1,40,46,86,0.465,1.15,9,20,-11,4,0,28,7,5,2,0.07,0,0,,,,,,,,,,,,,,,,,,-0.003053851552933949,-0.1925514165887515,0.13867375718542782,-1.520481754483977,,,24,82
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Timmons, Alex",,0,1,15,14,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0.0,0,0,15.0,831:35,35.0,379.0,588105616,0.0,1.0,1.0,1.0,11.0,2.0,0.0,0.915,14.0,0.0,0.0,2.53,-0.809270661527505,-0.7702056663550061,-0.7227349933311125,0.018548923460069432,,,25,81
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Koziol, Josh",,0,30,7,4,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,7.0,257:44,17.0,146.0,0000,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.896,4.0,0.0,0.0,3.96,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,0.018548923460069432,,,26,81
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Stokes, Carsen",,0,35,10,7,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,10.0,417:38,24.0,195.0,0000,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.89,7.0,0.0,0.0,3.45,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,0.018548923460069432,,,27,80
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Augsburg,"Blair, Peyton",,0,14,7,2,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,1,1,2,0.5,1.0,4,11,-7,2,0,13,4,1,3,0.23,0,0,,,,,,,,,,,,,,,,,,-0.4061622565402195,0.09627570829437582,-0.7227349933311125,-0.9608342352315965,,,28,80
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Tavare, Christian",,0,2,8,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,21,31,52,0.404,1.48,1,3,-2,1,0,9,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,-0.26127483616612085,,,29,80
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Berezowski, Matt",,0,3,2,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,1,1,0,0,0,0,1,1,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.809270661527505,-0.7702056663550061,-0.7227349933311125,0.018548923460069432,,,30,79
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"French, Luke",,0,4,16,3,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,,0.0,8,10,-2,5,0,13,2,1,1,0.08,0,0,,,,,,,,,,,,,,,,,,-0.6749011931984098,-0.4813785414718788,-0.7227349933311125,-0.26127483616612085,,,31,79
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Beacom, Chase",,0,5,27,3,0,,0,0,0,0,0,0,1,0,0,7,14:00,0,0,0,0,0,0,7,0,0,0,,0.0,21,15,6,29,0,33,7,6,1,0.03,0,0,,,,,,,,,,,,,,,,,,-0.003053851552933949,-0.4813785414718788,0.3540259448145629,0.8580202023386403,,,32,79
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Brazil, Connor",,0,6,25,0,0,,0,0,0,0,1,0,0,0,0,5,18:00,0,1,0,0,0,0,4,12,6,18,0.667,0.5,15,9,6,6,0,42,15,12,3,0.07,0,0,,,,,,,,,,,,,,,,,,1.0719018950798276,0.09627570829437582,1.6461390705893733,0.8580202023386403,,,33,78
