conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Nardone,Hope",0,F,10,4,0,1,2,0,1,2,1,3,0,0,1,21,0,1,1,0,0,1,0,0,0.5,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.25,-0.9460944203472641,-1.1547872254837808,-0.794812270599655,-1.1889365553154039,1.0741220403193912,-1.2549783867120878,-0.6490070321776775,-1.2006182844445246,94,54
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Skylar Chui,0,0,25,17,10,16,41,1,10,16,8,41,8,15,5,226,10,29,39,35,0,14,2,0,0.39,0.1,0.5,2.41,2.29,0.29,0.88,0.47,0.8235294117647058,-0.5359915632415947,-0.16645635513136997,-0.7483244692323314,-0.3875176729478109,0.2651256430881336,0.5938354895891961,0.5255923362560845,-1.2011791075023512,95,54
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Lauren Cho,0,0,5,18,0,19,44,0,5,21,14,52,2,10,17,203,8,14,22,11,0,17,0,0,0.43,0.0,0.67,2.89,1.22,0.94,0.56,0.11,0.9444444444444444,-0.4174076045604373,-0.6848455861495463,0.007102302986674233,-0.2185575666936745,0.5593061511722272,-0.07846046542945256,-0.37410079701232896,-1.2288482864648436,96,54
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Middlebury,"Collins,Brooke",0,G,13,23,1,18,49,0,0,12,5,41,8,32,19,321,15,24,39,37,1,21,0,0,0.37,0.0,0.42,1.78,1.7,0.83,1.39,0.35,0.9130434782608695,-0.6916330090106138,-0.4522971460666261,-0.1207391507734652,-0.26243557313570054,0.1180353890460866,1.6653071679001672,0.2256946251666133,-1.2623738117760763,97,53
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Middlebury,"McDonald,Meghan",0,F,14,10,0,6,9,0,0,2,1,13,2,1,5,33,7,2,9,1,0,1,0,0,0.67,0.0,0.5,1.3,0.9,0.5,0.1,0.2,0.1,-0.8102169676917713,-0.8398778795381597,-0.5042635120538835,-1.3985384168576973,2.32438919967679,-1.0448859007687603,-0.14917751369522556,-1.3177018358783295,98,53
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Vlahakis,Pauline",0,F,24,3,0,1,5,0,1,0,0,2,0,0,0,5,1,2,3,0,0,2,0,0,0.2,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.6666666666666666,-0.9658584134607904,-0.791430287854218,-1.0853610291454263,-0.6067091621423663,-1.1322317703113114,-1.2549783867120878,-0.6490070321776775,-1.327034530170321,99,53
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Hagopian,Lusine",0,G,14,13,0,12,18,6,9,5,2,32,0,3,1,74,6,3,9,10,0,9,0,0,0.67,0.67,0.4,2.46,0.69,0.08,0.23,0.0,0.6923076923076923,-0.5236390675456408,-0.9416178220744373,-0.9923854264107796,-0.5708797841009485,2.32438919967679,-0.7717656690424342,-0.6490070321776775,-1.4913086720729831,100,53
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Stapleton,Siobhan",0,F,20,25,12,13,41,2,11,14,3,31,5,9,48,438,21,55,76,47,0,26,0,0,0.32,0.18,0.21,1.24,3.04,1.92,0.36,0.2,1.04,-0.8250399625269158,0.19690058249819284,1.1460534364860984,-0.08503341785932443,-0.24969024605903042,-0.49864543731610816,-0.14917751369522556,-1.52278279047526,101,53
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Von rumohr Ana,0,*,25,23,15,32,98,10,55,18,12,86,1,12,7,348,19,23,42,41,0,26,0,0,0.33,0.18,0.67,3.74,1.83,0.3,0.52,0.04,1.1304347826086956,-0.20741517772922105,-0.38931527687750184,-0.7367025188905006,0.04133524069371034,-0.17614511903800695,-0.16249745980678373,-0.5490411284811871,-1.5400882464595052,102,52
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Abby Walsh,0,0,33,20,0,19,55,3,18,4,3,44,1,8,9,232,26,35,61,23,0,13,0,0,0.35,0.17,0.75,2.2,3.05,0.45,0.4,0.05,0.65,-0.587872045164601,0.2017453416665869,-0.5623732637630378,-0.6299982578692876,-0.029054864995960376,-0.41460844293877697,-0.5240496525570646,-1.57853617794696,103,52
