season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Hailey Ryan,,,25084,100000,ACTIVE,83.0,11.0,10,80.9634991798832,5,0,0,6.04218696403912,-12.577254913107,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Annika Saida,,Fourth Year,26042,100000,ACTIVE,79.5,7.5,2,79.0028648252253,1,0,0,9.56119473408696,-20.3535010283819,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Maryanne Grace,,Fourth Year,26625,100000,ACTIVE,78.56,6.56,9,76.0963552261676,4,0,0,23.7675995785492,-11.3134408613475,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Sarah WIcks,,Third Year,32501,100000,ACTIVE,77.2,5.2,5,77.5877389084178,3,1,1,13.4570665049123,-18.5161048545196,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Madeline Cournoyer,,Fourth Year,32503,100000,ACTIVE,87.0,15.0,7,86.8743129992948,4,0,0,1.47470011094524,-23.2110496263876,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Karolyn Zeng,,Third Year,34524,100000,ACTIVE,83.67,11.67,6,80.9180885178639,3,0,0,8.65312669125171,-13.7697247396338,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Selam Olson,,,35748,100000,ACTIVE,91.33,19.33,6,88.0822343084255,4,0,0,1.08957988086463,-15.9750042349344,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,NULL,,Third Year,36020,100000,ACTIVE,78.67,6.67,6,76.1644187275103,3,0,0,21.3901267943299,-15.8319886308903,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Camille DeStefano,,Third Year,36023,100000,ACTIVE,82.17,10.17,6,80.1256349434803,3,0,0,7.96699011409412,-13.7648267294062,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Teegan Duffy,,Third Year,37224,100000,ACTIVE,81.62,9.62,8,79.1986747044714,4,0,0,9.80830183810069,-13.6909507309939,East - (W) DIII,clippd_scoreboard
