season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Bender, Adam",Adam,Bender,,1340,"Bender, Adam","BENDER, ADAM",St. Joseph's-Long Island,SJCLI,1327-2000,1,0,6,0,6,0,-.250,4,2,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1.0,0,1.00,0.00,2.00,0.00,0.00,1.00,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Palmer, Dylan",Dylan,Palmer,,1340,"Palmer, Dylan","PALMER, DYLAN",St. Joseph's-Long Island,SJCLI,1327-1996,14,0,5,0,5,0,.026,39,10,11,0,0,4,0,0,0,0,0,0,3,0,4,9,0,7,2,16,0,0.79,0.00,0.29,0.64,0.00,1.14,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Kerns, Declan",Declan,Kerns,,1340,"Kerns, Declan","KERNS, DECLAN",St. Joseph's-Long Island,SJCLI,1327-1993,83,54,13,0,13,0,.214,574,83,206,10,5,75,0,18,12,361,0,0,253,13,192,28,2,20,8,242,0,2.48,0.12,2.31,0.34,0.22,2.92,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Renniesen, Jesse",Jesse,Renniesen,,1340,"Renniesen, Jesse","RENNIESEN, JESSE",St. Joseph's-Long Island,SJCLI,1327-1998,9,0,22,0,22,0,.184,49,6,15,0,0,1,0,0,4,10,0,0,0,0,11,2,0,2,0,16,0,1.67,0.00,1.22,0.22,0.00,1.78,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Violi, Cole",Cole,Violi,,1340,"Violi, Cole","VIOLI, COLE",St. Joseph's-Long Island,SJCLI,1327-2160,35,0,8,0,8,0,.108,65,16,23,0,0,5,0,7,15,101,0,0,41,6,18,1,0,1,0,30.5,0,0.66,0.00,0.51,0.03,0.20,0.87,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Meyer, Chase",Chase,Meyer,,1340,"Meyer, Chase","MEYER, CHASE",St. Joseph's-Long Island,SJCLI,1327-2167,64,54,11,0,11,0,.312,157,25,74,7,1,22,0,0,4,13,0,0,4,0,23,43,1,38,5,98,0,1.16,0.11,0.36,0.67,0.00,1.53,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Frascogna, Bryan",Bryan,Frascogna,,1340,"Frascogna, Bryan","FRASCOGNA, BRYAN",St. Joseph's-Long Island,SJCLI,1327-2158,11,0,15,0,15,0,-.500,2,1,0,0,0,0,0,0,1,25,0,0,0,0,3,0,0,0,0,0,0,0.00,0.00,0.27,0.00,0.00,0.00,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Booth, Liam",Liam,Booth,,1340,"Booth, Liam","BOOTH, LIAM",St. Joseph's-Long Island,SJCLI,1327-2159,73,0,21,0,21,0,.000,2,0,0,3,0,20,0,3,10,238,0,0,9,1,28,1,0,1,0,3.5,1,0.00,0.04,0.38,0.01,0.04,0.05,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Aylward, Mason",Mason,Aylward,,1340,"Aylward, Mason","AYLWARD, MASON",St. Joseph's-Long Island,SJCLI,1327-2165,9,0,25,0,25,0,-.286,7,2,0,87,3,226,0,3,3,31,0,0,0,0,9,3,0,1,2,5,0,0.00,9.67,1.00,0.33,0.33,0.56,,,,,,
2026-27,mvball,Skyline Conference,skyline_conference,St. Joseph's-Long Island,"Fig, Logan",Logan,Fig,,1340,"Fig, Logan","FIG, LOGAN",St. Joseph's-Long Island,SJCLI,1327-2164,9,0,26,0,26,0,.192,26,4,9,2,1,7,0,2,2,30,0,0,18,3,16,0,1,0,0,11,0,1.00,0.22,1.78,0.00,0.22,1.22,,,,,,
