season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fumble_stats_number,fumble_stats_number_lost,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Midwest Conference (MWC),mwc,Illinois Col.,"Arroyo,Keyan",Keyan,Arroyo,,297,"Arroyo,Keyan","ARROYO,KEYAN",Illinois Col.,ILC,1096-4436,1,0,28,28,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,4,4,1.0,.0,.0,1,0,24,1,1,0,24,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3807693154653666,21,94
2026-27,football,Midwest Conference (MWC),mwc,Grinnell,"Marionneaux,Hays",Hays,Marionneaux,,264,"Marionneaux,Hays","MARIONNEAUX,HAYS",Grinnell,GRN,1095-7389,1,1,8,8,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,4,4,1.0,.0,.0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2458007688338597,22,94
2026-27,football,Midwest Conference (MWC),mwc,Lawrence,"Bloomquist,Andrew",Andrew,Bloomquist,,348,"Bloomquist,Andrew","BLOOMQUIST,ANDREW",Lawrence,LAW,0,1,0,34,34,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8516167101720615,23,94
2026-27,football,Midwest Conference (MWC),mwc,Beloit,"Champagne,Aden",Aden,Champagne,,53,"Champagne,Aden","CHAMPAGNE,ADEN",Beloit,BEL,1093-1749,1,0,96,96,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,1.0,.0,.0,1,0,5,1,1,0,5,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8516167101720615,24,94
2026-27,football,Midwest Conference (MWC),mwc,University of Chicago,"Katsogridakis,Yiannis",Yiannis,Katsogridakis,,137,"Katsogridakis,Yiannis","KATSOGRIDAKIS,YIANNIS",University of Chicago,UC,1202-2198,1,0,93,93,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,3,1,1,0,3,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8516167101720615,25,94
2026-27,football,Midwest Conference (MWC),mwc,Knox,"King,Jason",Jason,King,,337,"King,Jason","KING,JASON",Knox,KNO,1097-3362,1,1,90,90,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,5,5,1.5,.0,.0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7640156043015405,26,94
2026-27,football,Midwest Conference (MWC),mwc,Monmouth (IL),"Raabe,Adrien",Adrien,Raabe,,438,"Raabe,Adrien","RAABE,ADRIEN",Monmouth (IL),Mon,1100-5198,1,1,24,24,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,6,11,11,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7318368417926475,27,94
2026-27,football,Midwest Conference (MWC),mwc,University of Chicago,"Hayes,Hayden",Hayden,Hayes,,137,"Hayes,Hayden","HAYES,HAYDEN",University of Chicago,UC,1202-2633,1,1,2,2X,0,QB,0,0,,,,,,,,,,,,,,,,,,,,17,10,59,49,2,17,.6,10.0,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,39,6,84,1,296,0,23,15,187.7,12.87,19.73,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2.683110201926886,28,94
2026-27,football,Midwest Conference (MWC),mwc,Luther,"Liljedahl,Brett",Brett,Liljedahl,,372,"Liljedahl,Brett","LILJEDAHL,BRETT",Luther,LUT,1046-7654,1,1,14,14,0,QB,0,0,,,,,,,,,,,,,,,,,,,,2,8,8,0,0,7,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,58,4,145,0,16,11,227.4,9.06,13.18,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67435282147359,29,93
2026-27,football,Midwest Conference (MWC),mwc,Lake Forest,"Brayboy,Zachariah",Zachariah,Brayboy,,344,"Brayboy,Zachariah","BRAYBOY,ZACHARIAH",Lake Forest,LFC,1098-2650,1,0,4,4B,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5870404075254085,30,93
