season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,global_rank,rating
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Marietta,"Call, Madelyn",Madelyn,Call,,385,"Call, Madelyn","CALL,MADELYN",Marietta,MAR,1278-3795,3,3,26,0,26,0,0,1,4,1,1,0,0,0,1.33,.33,.33,.000,.333,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,187:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.546443743960976,23,93
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Mount Union,"Chenos, Rachel",Rachel,Chenos,,452,"Chenos, Rachel","CHENOS,RACHEL",Mount Union,UMU,1279-5163,2,2,1,0,1,0,0,1,1,1,1,0,0,0,.50,.50,.50,.000,.500,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.546443743960976,24,93
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Mount Union,"Dinwiddie, Ella",Ella,Dinwiddie,,452,"Dinwiddie, Ella","DINWIDDIE,ELLA",Mount Union,UMU,1279-5168,2,2,10,0,10,0,0,1,4,1,1,0,0,0,2.00,.50,.50,.000,.500,1,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,153:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.546443743960976,25,93
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Capital,"Childers, Payton",Payton,Childers,,117,"Childers, Payton","CHILDERS,PAYTON",Capital,CAP,1275-3458,2,1,17,0,17,0,0,0,2,1,1,0,0,0,1.00,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,88:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.087300532086922,26,93
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"King, Gracie",Gracie,King,,1461,"King, Gracie","KING,GRACIE",Wilmington,WIL,1286-3440,2,2,7,0,7,0,0,0,2,1,1,0,0,0,1.00,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,172:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.087300532086922,27,93
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Mia Fourtounis,Mia,Fourtounis,,46,Mia Fourtounis,"FOURTOUNIS,MIA",Baldwin Wallace,BW,1273-4195,3,3,9,0,9,0,0,0,1,1,1,0,0,0,.33,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,225:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.087300532086922,28,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Ohio Northern,"Moore, Ayva",Ayva,Moore,,517,"Moore, Ayva","MOORE,AYVA",Ohio Northern,ONU,0,2,2,35,0,35,0,0,0,1,1,1,0,0,0,.50,.00,.50,.000,.500,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,133:00,0,.00,.00,,,,,,,,,,,,,,,,,,4.087300532086922,29,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Ohio Northern,"Sakach, Blake",Blake,Sakach,,517,"Sakach, Blake","SAKACH,BLAKE",Ohio Northern,ONU,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,8,1,0,0,1,1.000,0.00,1,0,90:00,1,1,.00,1.000,1.000,1.00,1.5407265138211033,30,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Storck, Emma",Emma,Storck,,1461,"Storck, Emma","STORCK,EMMA",Wilmington,WIL,1286-3389,2,2,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,13,1,0,1,2,1.000,0.00,8,0,180:00,2,2,.00,1.000,1.000,4.00,1.5407265138211033,31,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Otterbein,"Crupper, Riley",Riley,Crupper,,531,"Crupper, Riley","CRUPPER,RILEY",Otterbein,OTT,1285-5120,2,0,9,0,9,0,0,5,5,0,0,0,0,0,2.50,2.50,.00,.000,.000,5,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,,1.2787560599960237,32,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Little, MJ",MJ,Little,,1461,"Little, MJ","LITTLE,MJ",Wilmington,WIL,1286-3384,2,1,4,0,4,0,0,5,9,0,0,0,0,0,4.50,2.50,.00,.000,.000,5,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,125:00,0,.00,.00,,,,,,,,,,,,,,,,,,1.2787560599960237,33,92
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Mount Union,"Washburn, Rachel",Rachel,Washburn,,452,"Washburn, Rachel","WASHBURN,RACHEL",Mount Union,UMU,1279-5600,2,2,7,0,7,0,0,4,7,0,0,0,0,0,3.50,2.00,.00,.000,.000,4,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,135:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.8196128481219693,34,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Mackenzie Butcher,Mackenzie,Butcher,,46,Mackenzie Butcher,"BUTCHER,MACKENZIE",Baldwin Wallace,BW,1273-5077,2,2,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,24,0,1,1,0,.917,0.50,11,1,180:00,2,2,.50,0.917,.000,5.50,0.7905414836481395,35,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Addison Francis,Addison,Francis,,46,Addison Francis,"FRANCIS,ADDISON",Baldwin Wallace,BW,1273-4781,3,3,4,0,4,0,0,3,4,0,0,0,0,0,1.33,1.00,.00,.000,.000,3,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,153:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.3604696362479147,36,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Otterbein,"Curran, Ainsley",Ainsley,Curran,,531,"Curran, Ainsley","CURRAN,AINSLEY",Otterbein,OTT,1285-4796,2,2,3,0,3,0,0,3,5,0,0,0,0,0,2.50,1.50,.00,.000,.000,3,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.3604696362479147,37,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Heidelberg,"Jacobs, Ella",Ella,Jacobs,,278,"Jacobs, Ella","JACOBS,ELLA",Heidelberg,HEI,1276-3181,2,2,8,0,8,0,0,3,5,0,0,0,0,0,2.50,1.50,.00,.000,.000,3,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,131:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.3604696362479147,38,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Minteer, Avery",Avery,Minteer,,1461,"Minteer, Avery","MINTEER,AVERY",Wilmington,WIL,1286-3681,2,2,22,0,22,0,0,3,3,0,0,0,0,0,1.50,1.50,.00,.000,.000,3,0,0,0,0,0,0,.000,1,0,1,0,.50,.50,.00,.00,0,,92:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.3604696362479147,39,91
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Wilmington,"Roye, Olivia",Olivia,Roye,,1461,"Roye, Olivia","ROYE,OLIVIA",Wilmington,WIL,1286-3677,2,2,8,0,8,0,0,3,4,0,0,0,0,0,2.00,1.50,.00,.000,.000,3,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,154:00,0,.00,.00,,,,,,,,,,,,,,,,,,0.3604696362479147,40,90
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Baldwin Wallace,Kelly Carver,Kelly,Carver,,46,Kelly Carver,"CARVER,KELLY",Baldwin Wallace,BW,1273-4192,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,11,0,0,1,0,.857,1.00,6,1,90:00,1,1,1.00,0.857,.000,6.00,0.15650208328253012,41,90
2026-27,wsoc,Ohio Athletic Conference (OAC),oac,Marietta,"Heighberger, Katie",Katie,Heighberger,,385,"Heighberger, Katie","HEIGHBERGER,KATIE",Marietta,MAR,1278-4004,3,2,14,0,14,0,0,2,2,0,0,0,0,0,.67,.67,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,146:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.09867357562613954,42,90
