season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"Smith, Caroline",Caroline,Smith,,1062,"Smith, Caroline","SMITH,CAROLINE",East Texas Baptist,ETB,636-5212,2,0,7,0,7,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,41:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,51,85
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Tatum Barnett,Tatum,Barnett,,271,Tatum Barnett,"BARNETT,TATUM",Hardin-Simmons,HSU,637-3700,2,2,10,0,10,0,0,1,5,0,0,0,0,0,2.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,169:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,52,85
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Taylor Koch,Taylor,Koch,,271,Taylor Koch,"KOCH,TAYLOR",Hardin-Simmons,HSU,637-3475,2,2,11,0,11,0,0,1,1,0,0,0,0,0,.50,.50,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,74:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-0.5743883561315404,53,84
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Abbey Dugan,Abbey,Dugan,,271,Abbey Dugan,"DUGAN,ABBEY",Hardin-Simmons,HSU,637-3701,0,0,12,0,12,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,54,84
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Abi Beasley,Abi,Beasley,,2741,Abi Beasley,"BEASLEY,ABI",Howard Payne,HPU,639-3686,1,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,08:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,55,84
2026-27,wsoc,American Southwest Conference (ASC),asc,East Texas Baptist,"Alarcon-Vo, Isabella",Isabella,Alarcon-Vo,,1062,"Alarcon-Vo, Isabella","ALARCON-VO,ISABELLA",East Texas Baptist,ETB,636-5506,0,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,56,84
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Andie Hafner,Andie,Hafner,,271,Andie Hafner,"HAFNER,ANDIE",Hardin-Simmons,HSU,637-4014,2,1,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,82:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,57,83
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Aras King,Aras,King,,271,Aras King,"KING,ARAS",Hardin-Simmons,HSU,637-3209,2,2,34,0,34,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,136:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,58,83
2026-27,wsoc,American Southwest Conference (ASC),asc,Howard Payne,Ashlyn Lorenz,Ashlyn,Lorenz,,2741,Ashlyn Lorenz,"LORENZ,ASHLYN",Howard Payne,HPU,639-3220,3,3,17,0,17,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,150:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,59,83
2026-27,wsoc,American Southwest Conference (ASC),asc,McMurry,Audrey Pool,Audrey,Pool,,8530,Audrey Pool,"POOL,AUDREY",McMurry,MCM,643-5696,1,1,17,0,17,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,60,83
2026-27,wsoc,American Southwest Conference (ASC),asc,Hardin-Simmons,Bailee O'Barr,Bailee,O'Barr,,271,Bailee O'Barr,"O'BARR,BAILEE",Hardin-Simmons,HSU,637-4009,0,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,61,82
2026-27,wsoc,American Southwest Conference (ASC),asc,Schreiner,"Bara, Ava",Ava,Bara,,1355,"Bara, Ava","BARA,AVA",Schreiner,SCH,0,1,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,08:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,62,82
2026-27,wsoc,American Southwest Conference (ASC),asc,Schreiner,"Barton, Taylor",Taylor,Barton,,1355,"Barton, Taylor","BARTON,TAYLOR",Schreiner,SCH,0,1,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,13:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,63,82
2026-27,wsoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Bienvenu, Elise",Elise,Bienvenu,,1203,"Bienvenu, Elise","BIENVENU,ELISE",Mary Hardin-Baylor,UMHB,641-6488,0,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,64,82
2026-27,wsoc,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Boettiger, Samantha",Samantha,Boettiger,,1203,"Boettiger, Samantha","BOETTIGER,SAMANTHA",Mary Hardin-Baylor,UMHB,641-6133,0,0,31,0,31,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,65,81
2026-27,wsoc,American Southwest Conference (ASC),asc,Schreiner,"Boff, Ainsley",Ainsley,Boff,,1355,"Boff, Ainsley","BOFF,AINSLEY",Schreiner,SCH,0,1,1,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,40:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,66,81
2026-27,wsoc,American Southwest Conference (ASC),asc,Schreiner,"Borchers, Adyson",Adyson,Borchers,,1355,"Borchers, Adyson","BORCHERS,ADYSON",Schreiner,SCH,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,67,81
2026-27,wsoc,American Southwest Conference (ASC),asc,Schreiner,"Bowers, Landry",Landry,Bowers,,1355,"Bowers, Landry","BOWERS,LANDRY",Schreiner,SCH,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.1005422271920793,68,81
