season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Dayton Mucha,,Second Year,5230,788,ACTIVE,78.83,6.83,12,77.644672354749,4,0,0,11.1723674999391,-8.51197390502494,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Jason Howe,,Fourth Year,17036,863,ACTIVE,79.25,7.25,16,78.4957208456415,6,0,0,9.73166522758688,-10.139419676958,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Steven Noack,,Fourth Year,31701,1049,ACTIVE,79.64,7.64,22,79.2311407271532,8,0,0,7.33980807353254,-9.56717950618697,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,William Jeonsson,,Second Year,4652,1126,ACTIVE,78.92,6.92,12,79.001475073348,5,0,0,6.20427874512636,-10.2529037545056,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Noble Burns,,Third Year,4647,1245,ACTIVE,81.21,9.21,14,80.7740220826484,5,0,0,4.67937781294131,-9.31208857730007,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Teddy Sotsky,,,10197,100000,ACTIVE,80.0,8.0,11,78.5958316510212,4,0,0,8.04360202909731,-8.87397260073452,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Connor Gherghel,,,10643,100000,ACTIVE,75.67,3.67,3,74.9403093104436,1,0,0,18.5085884373987,-9.10947853880541,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Logan Johnson,,Fourth Year,11873,100000,ACTIVE,77.5,5.5,2,77.9497596897655,1,0,0,8.72220671313376,-9.40402477484653,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Alec Ortiz,,,11929,100000,ACTIVE,81.67,9.67,6,80.8561644860991,2,0,0,4.4852229425266,-9.14997903572512,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Andrew Garger,,,12045,100000,ACTIVE,83.0,11.0,9,82.1517713924985,3,0,0,3.7615935073698,-9.07220076724531,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Barret Wisener,,Fourth Year,15140,100000,ACTIVE,78.33,6.33,3,79.5300339939333,1,0,0,5.87557362197616,-8.9043131744447,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Santiago Cuevas,,Fourth Year,17667,100000,ACTIVE,86.67,14.67,3,85.6705692314457,1,0,0,1.26575639429133,-7.23089492371817,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Davin Karst,,Third Year,18322,100000,ACTIVE,84.0,12.0,2,85.1714344829335,1,0,0,1.4339796792516,-13.5755101726543,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Cam Simons,,,18823,100000,ACTIVE,76.78,4.78,9,74.7750124389512,4,0,0,21.3637032169381,-8.69374533152623,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Logan Cameron,,Fourth Year,20647,100000,ACTIVE,82.17,10.17,6,80.7831120710574,2,0,0,4.62365929025698,-8.13403605388611,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Maxwell McDonald,,Fourth Year,24313,100000,ACTIVE,80.0,8.0,3,79.6791257497748,1,0,0,5.66060487078579,-9.85062775888281,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,JK Walters,,,24674,100000,ACTIVE,83.0,11.0,3,82.2736426437769,1,0,0,2.95914841966486,-9.10947853880541,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,William Cooper,,,26072,100000,ACTIVE,76.12,4.12,8,74.5406490681677,3,0,0,20.7241850824303,-8.85797073965283,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Andrew Mainka,,Fourth Year,26140,100000,ACTIVE,81.5,9.5,8,80.4657598207911,3,0,0,4.96569965263783,-8.63679430876166,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Alex Place,,Third Year,32192,100000,ACTIVE,77.83,5.83,6,77.9336349460228,2,0,0,9.30214948326601,-8.06760404908143,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Evan Avret,,First Year,36002,100000,ACTIVE,82.0,10.0,3,81.2736426437769,1,0,0,3.79962178260104,-9.10947853880541,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,John Circeo,,Third Year,37622,100000,ACTIVE,75.4,3.4,5,74.3282704726791,2,0,0,15.1713883862865,-7.61747433235288,Region IV - (M) DIII,clippd_scoreboard
