season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Gabriella Kraus-Rivera,Gabriella,Kraus-Rivera,,722,Gabriella Kraus-Rivera,"KRAUS-RIVERA,GABRIELLA",KRAUS-RIVERAGABRIELLACOAST GU,17,17,,,Coast Guard,COAST GU,1135-2714,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,12,1,6,18,1020:00,0,0,1.000,,0,0,0,1,1,0,.000,0.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Riley Demory,Riley,Demory,,722,Riley Demory,"DEMORY,RILEY",DEMORYRILEYCOAST GU,7,0,,,Coast Guard,COAST GU,1135-3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Ella Campbell,Ella,Campbell,,722,Ella Campbell,"CAMPBELL,ELLA",CAMPBELLELLACOAST GU,17,16,,,Coast Guard,COAST GU,1135-3239,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,25,59,10,30,960:00,0,0,1.000,,1,1,0,1,0,1,1.000,0.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Nicole Flocco,Nicole,Flocco,,722,Nicole Flocco,"FLOCCO,NICOLE",FLOCCONICOLECOAST GU,7,1,,,Coast Guard,COAST GU,1135-3240,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,60:00,0,0,1.000,,3,4,1,3,0,3,.750,0.43,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Isabella Judge,Isabella,Judge,,722,Isabella Judge,"JUDGE,ISABELLA",JUDGEISABELLACOAST GU,17,15,,,Coast Guard,COAST GU,1135-2713,0,5,0,0,0,1,8,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,23,3,27,9,900:00,0,0,1.000,,32,50,12,42,20,22,.640,2.47,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Sarah Loehrke,Sarah,Loehrke,,722,Sarah Loehrke,"LOEHRKE,SARAH",LOEHRKESARAHCOAST GU,4,0,,,Coast Guard,COAST GU,1135-3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00,0,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Tylr Neely,Tylr,Neely,,722,Tylr Neely,"NEELY,TYLR",NEELYTYLRCOAST GU,5,5,,,Coast Guard,COAST GU,1135-3027,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,15,3,4,300:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Kennedy Low,Kennedy,Low,,722,Kennedy Low,"LOW,KENNEDY",LOWKENNEDYCOAST GU,6,0,,,Coast Guard,COAST GU,1135-3437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Lauren Henry,Lauren,Henry,,722,Lauren Henry,"HENRY,LAUREN",HENRYLAURENCOAST GU,17,17,,,Coast Guard,COAST GU,1135-2712,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,31,22,7,32,1020:00,0,0,1.000,,1,2,1,1,1,0,.500,0.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Nora Kearney,Nora,Kearney,,722,Nora Kearney,"KEARNEY,NORA",KEARNEYNORACOAST GU,0,0,,,Coast Guard,COAST GU,1135-3438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
