season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Jake Cammarata,,Fourth Year,19681,685,ACTIVE,77.5,5.5,20,76.9783454256803,10,0,0,12.8755633228105,-11.369472240996,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Ryan Ashby,,Second Year,5726,698,ACTIVE,77.59,5.59,17,76.8272900860305,8,0,0,12.6903488801553,-10.5607866072751,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Drew Brasky,,,25154,718,ACTIVE,77.65,5.65,20,76.6798100044279,9,0,0,12.2994916666719,-9.50177071041447,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Finn Carteaux,,Second Year,7476,739,ACTIVE,78.08,6.08,24,77.403418742587,10,0,0,11.9932292057618,-11.0808189652081,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wittenberg,Wittenberg University,Caleb Domitrovich,,Fourth Year,15996,760,ACTIVE,78.13,6.13,15,77.1443605419585,6,0,0,11.6465560784091,-8.93495462563458,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Joseph Brasky,,Third Year,31176,772,ACTIVE,78.12,6.12,24,77.4797743457587,10,0,0,11.4352492857715,-9.71469938205239,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Callahan Lawler,,Third Year,32967,798,ACTIVE,78.86,6.86,21,78.1721084020838,10,1,1,11.0604288201774,-10.7802771891982,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Andrew Carey,,Fourth Year,12423,807,ACTIVE,78.1,6.1,20,77.5783454256803,10,1,0,10.8385495343403,-11.369472240996,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Nate Tripp,,Second Year,5718,836,ACTIVE,78.29,6.29,21,77.6006798306552,10,0,0,10.255044941413,-10.7802771891982,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Luke Royer,,Second Year,7351,858,ACTIVE,76.08,4.08,12,76.7034684046447,6,0,0,9.88795727185233,-10.0197782819798,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Liam McAllister,,,14623,862,ACTIVE,78.67,6.67,24,77.7976999738948,10,0,0,9.74698089536854,-10.488553954721,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Charlie Seaburg,,Second Year,7486,872,ACTIVE,78.67,6.67,24,77.9867520759203,10,0,0,9.55416084228801,-11.0808189652081,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Nunth Khamkhokgruad,,Third Year,32555,889,ACTIVE,78.18,6.18,17,78.024165772745,9,0,0,9.37546614783552,-11.9112554149772,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Arnav Choudhary,,Second Year,4510,895,ACTIVE,78.44,6.44,16,77.9415730804672,8,1,0,9.29885846119397,-11.3553426785579,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Max Shulman,,Third Year,32551,905,ACTIVE,78.73,6.73,15,78.4766786706959,8,0,0,9.12370474214578,-11.8006523189249,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Musa Shariff,,Second Year,4513,931,ACTIVE,79.27,7.27,15,78.5404719439306,8,0,0,8.7275326368806,-11.6064330526727,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Mason Pierle,,Third Year,35357,960,ACTIVE,79.17,7.17,24,78.4867520759203,10,0,0,8.38146327747217,-11.0808189652081,Region V - (M) DIII,clippd_scoreboard
