season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Hancock, Anita",Anita,Hancock,,1062,"Hancock, Anita","HANCOCK, ANITA",East Texas Baptist,ETBU,636-4224,116,106,18,0,18,0,.316,506,65,225,8,3,67,0,0,0,1,0,0,12,1,34,131,10,96,35,308,4,1.94,0.07,0.29,1.13,0.00,2.66,3.7815852184777374,11,96
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Hornsby, Lara",Lara,Hornsby,,1062,"Hornsby, Lara","HORNSBY, LARA",East Texas Baptist,ETBU,636-5300,116,7,6,0,6,0,.254,804,141,345,12,8,103,0,23,24,358,0,0,304,23,125,27,2,22,5,384,1,2.97,0.10,1.08,0.23,0.20,3.31,3.750004973805114,12,96
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Bennett, Tara",Tara,Bennett,,2741,"Bennett, Tara","BENNETT, TARA",Howard Payne,HPU,0,82,69,2,0,2,0,.143,705,103,204,30,6,166,0,21,17,245,0,0,422,28,188,16,2,11,5,235.5,0,2.49,0.37,2.29,0.20,0.26,2.87,3.6154937427082565,13,95
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"O'Shaughnessy, Molly",Molly,O'Shaughnessy,,271,"O'Shaughnessy, Molly","O'SHAUGHNESSY, MOLLY",Hardin-Simmons,HSU,637-3736,14,1,2,0,2,0,.257,74,7,26,5,0,11,0,6,1,44,0,0,35,1,16,6,0,6,0,35,0,1.86,0.36,1.14,0.43,0.43,2.50,3.6148961545427922,14,94
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Weddel, Makenzie",Makenzie,Weddel,,1203,"Weddel, Makenzie","WEDDEL, MAKENZIE",Mary Hardin-Baylor,UMHB,641-6443,13,4,17,0,17,0,.225,102,13,36,1,0,4,0,1,1,11,0,0,21,1,20,3,0,3,0,38.5,0,2.77,0.08,1.54,0.23,0.08,2.96,3.1377972572905986,15,94
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Hurd, Dravyn",Dravyn,Hurd,,1203,"Hurd, Dravyn","HURD, DRAVYN",Mary Hardin-Baylor,UMHB,641-3733,94,50,6,0,6,0,.335,511,48,219,11,1,57,0,3,0,6,0,0,10,0,42,59,7,34,25,264,0,2.33,0.12,0.45,0.63,0.03,2.81,3.0952411675615705,16,93
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Tumlinson, Avery",Avery,Tumlinson,,271,"Tumlinson, Avery","TUMLINSON, AVERY",Hardin-Simmons,HSU,637-3240,75,28,23,0,23,0,.308,237,38,111,3,1,25,0,8,29,114,0,0,2,0,24,74,9,59,15,163.5,0,1.48,0.04,0.32,0.99,0.11,2.18,3.0208698113076333,17,92
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Keidl, Liz",Liz,Keidl,,271,"Keidl, Liz","KEIDL, LIZ",Hardin-Simmons,HSU,637-3094,74,22,11,0,11,0,.213,541,76,191,6,1,44,0,6,6,72,0,0,193,12,81,22,4,17,5,210.5,0,2.58,0.08,1.09,0.30,0.08,2.84,2.6700005032778935,18,92
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Briese, Carli",Carli,Briese,,2741,"Briese, Carli","BRIESE, CARLI",Howard Payne,HPU,0,80,52,15,0,15,0,.240,455,68,177,7,1,44,0,0,1,1,0,0,1,0,36,38,9,26,12,202,0,2.21,0.09,0.45,0.48,0.00,2.53,1.9202868748403432,19,91
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Thompson, Allie",Allie,Thompson,,1203,"Thompson, Allie","THOMPSON, ALLIE",Mary Hardin-Baylor,UMHB,641-6442,36,7,21,0,21,0,.315,111,12,47,2,1,13,0,4,7,36,0,0,3,0,6,22,2,21,1,62.5,0,1.31,0.06,0.17,0.61,0.11,1.74,1.3916187871761516,20,90
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Miller, Kaysen",Kaysen,Miller,,1203,"Miller, Kaysen","MILLER, KAYSEN",Mary Hardin-Baylor,UMHB,641-6439,82,39,15,0,15,0,.195,513,38,138,1,0,89,0,13,5,115,0,0,131,7,101,19,2,16,3,162,0,1.68,0.01,1.23,0.23,0.16,1.98,1.3245270169248473,21,89
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Server, Katherine",Katherine,Server,,1062,"Server, Katherine","SERVER, KATHERINE",East Texas Baptist,ETBU,636-5303,108,101,22,0,22,0,.259,266,32,101,12,2,72,0,21,26,324,0,0,5,1,60,68,6,53,15,163.5,3,0.94,0.11,0.56,0.63,0.19,1.51,1.276253421115863,22,89
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Jones, Ryann",Ryann,Jones,,2741,"Jones, Ryann","JONES, RYANN",Howard Payne,HPU,0,66,52,17,0,17,0,.097,339,71,104,3,0,45,0,7,11,77,0,0,43,5,28,40,7,36,4,133,0,1.58,0.05,0.42,0.61,0.11,2.02,1.2304200753752916,23,88
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Nordt, Halle",Halle,Nordt,,271,"Nordt, Halle","NORDT, HALLE",Hardin-Simmons,HSU,637-3493,7,0,15,0,15,0,1.000,1,0,1,1,0,7,0,0,0,20,0,0,15,5,15,0,0,0,0,1,0,0.14,0.14,2.14,0.00,0.00,0.14,0.9424245604907693,24,87
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Sedlacek, Peyton",Peyton,Sedlacek,,1203,"Sedlacek, Peyton","SEDLACEK, PEYTON",Mary Hardin-Baylor,UMHB,641-4457,95,17,5,0,5,0,.177,192,28,62,39,4,236,0,23,43,329,0,0,323,21,338,0,0,0,0,85,1,0.65,0.41,3.56,0.00,0.24,0.89,0.8829277820826017,25,87
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Gooch, Lindsey",Lindsey,Gooch,,1062,"Gooch, Lindsey","GOOCH, LINDSEY",East Texas Baptist,ETBU,636-4574,110,0,25,0,25,0,.292,414,52,173,6,2,55,0,0,0,4,0,0,2,2,34,51,4,46,5,201,1,1.57,0.05,0.31,0.46,0.00,1.83,0.8730214869459003,26,86
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Schievelbein, Bailey",Bailey,Schievelbein,,2741,"Schievelbein, Bailey","SCHIEVELBEIN, BAILEY",Howard Payne,HPU,0,73,49,13,0,13,0,.164,366,64,124,8,1,50,0,9,17,90,0,0,258,22,84,13,3,10,3,141,1,1.70,0.11,1.15,0.18,0.12,1.93,0.8451522053773082,27,85
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Riley, McKinzie",McKinzie,Riley,,1062,"Riley, McKinzie","RILEY, MCKINZIE",East Texas Baptist,ETBU,636-5302,97,83,14,0,14,0,.260,365,52,147,6,5,58,0,0,0,1,0,0,2,0,43,41,2,36,5,170,0,1.52,0.06,0.44,0.42,0.00,1.75,0.6378592564870738,28,85
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Pesek, Cameron",Cameron,Pesek,,1203,"Pesek, Cameron","PESEK, CAMERON",Mary Hardin-Baylor,UMHB,641-3734,102,3,8,0,8,0,.233,416,61,158,2,0,55,0,0,0,2,0,0,3,1,40,45,6,33,12,186.5,0,1.55,0.02,0.39,0.44,0.00,1.83,0.6173936465094056,29,84
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Olang, Sifa",Sifa,Olang,,1203,"Olang, Sifa","OLANG, SIFA",Mary Hardin-Baylor,UMHB,641-6303,21,1,9,0,9,0,.275,51,6,20,0,5,24,0,0,0,0,0,0,0,0,8,13,0,11,2,27.5,1,0.95,0.00,0.38,0.62,0.00,1.31,0.3605229053258306,30,83
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Humphrey, Callie",Callie,Humphrey,,1062,"Humphrey, Callie","HUMPHREY, CALLIE",East Texas Baptist,ETBU,636-4532,115,0,7,0,7,0,.042,48,1,3,115,5,428,0,40,21,489,0,0,481,26,490,0,0,0,0,43,0,0.03,1.00,4.26,0.00,0.35,0.37,0.35859603187716144,31,83
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Henderson, Abby",Abby,Henderson,,2741,"Henderson, Abby","HENDERSON, ABBY",Howard Payne,HPU,0,45,33,16,0,16,0,.143,119,24,41,1,0,14,0,4,15,65,0,0,8,1,17,26,1,25,1,58.5,0,0.91,0.02,0.38,0.58,0.09,1.30,0.0668564398972205,32,82
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Wendt, Aspen",Aspen,Wendt,,1203,"Wendt, Aspen","WENDT, ASPEN",Mary Hardin-Baylor,UMHB,641-6445,5,0,4,0,4,0,.333,3,0,1,0,0,0,0,3,0,7,0,0,1,0,3,0,0,0,0,4,0,0.20,0.00,0.60,0.00,0.60,0.80,0.03263527410618028,33,81
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Kelly, Ashlyn",Ashlyn,Kelly,,2741,"Kelly, Ashlyn","KELLY, ASHLYN",Howard Payne,HPU,0,85,63,23,0,23,0,.265,132,6,41,383,15,1246,0,26,20,277,0,0,4,0,128,8,1,5,3,72.5,0,0.48,4.51,1.51,0.09,0.31,0.85,-0.0214373098490091,34,80
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Schaffner, Raylee",Raylee,Schaffner,,1203,"Schaffner, Raylee","SCHAFFNER, RAYLEE",Mary Hardin-Baylor,UMHB,641-6305,63,10,3,0,3,0,.165,376,54,116,8,4,37,0,0,0,7,0,0,48,3,43,7,1,6,1,120,0,1.84,0.13,0.68,0.11,0.00,1.90,-0.02334834903289422,35,80
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Moody, Lexi",Lexi,Moody,,1062,"Moody, Lexi","MOODY, LEXI",East Texas Baptist,ETBU,636-3804,115,106,15,0,15,0,.387,119,3,49,594,13,1476,0,26,19,322,0,0,7,1,175,9,0,9,0,79.5,2,0.43,5.17,1.52,0.08,0.23,0.69,-0.02917467313269384,36,79
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Mullens, Sydnie",Sydnie,Mullens,,2741,"Mullens, Sydnie","MULLENS, SYDNIE",Howard Payne,HPU,0,44,25,7,0,7,0,.097,103,22,32,5,1,30,0,13,13,106,0,0,153,10,57,8,1,8,0,49,1,0.73,0.11,1.30,0.18,0.30,1.11,-0.12443941951493945,37,78
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Nordt, Rachel",Rachel,Nordt,,271,"Nordt, Rachel","NORDT, RACHEL",Hardin-Simmons,HSU,637-3237,97,0,16,0,16,0,.217,429,38,131,8,2,56,0,0,0,4,0,0,2,0,39,32,5,31,1,147.5,0,1.35,0.08,0.40,0.33,0.00,1.52,-0.13128041086656472,38,78
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Heim,Brylee",Brylee,Heim,,2741,"Heim,Brylee","HEIM,BRYLEE",Howard Payne,HPU,0,58,61,3,0,3,0,.109,165,34,52,5,0,28,0,4,7,35,0,0,5,0,12,36,6,26,10,79,0,0.90,0.09,0.21,0.62,0.07,1.36,-0.1566598830860683,39,77
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Martinez, Kat",Kat,Martinez,,271,"Martinez, Kat","MARTINEZ, KAT",Hardin-Simmons,HSU,637-3235,83,0,20,0,20,0,-.067,15,1,0,46,2,207,0,27,14,318,0,0,373,20,352,0,0,0,0,27,0,0.00,0.55,4.24,0.00,0.33,0.33,-0.19271284939370525,40,76
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Rivich, Sarah",Sarah,Rivich,,1203,"Rivich, Sarah","RIVICH, SARAH",Mary Hardin-Baylor,UMHB,641-6441,4,0,2,0,2,0,.200,5,1,2,0,0,3,0,1,2,6,0,0,14,3,0,2,0,2,0,4,0,0.50,0.00,0.00,0.50,0.25,1.00,-0.2660601139107787,41,76
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Carter, Ellie",Ellie,Carter,,271,"Carter, Ellie","CARTER, ELLIE",Hardin-Simmons,HSU,637-3494,25,6,7,0,7,0,.182,99,17,35,2,0,9,0,0,0,0,0,0,31,4,12,6,0,6,0,38,0,1.40,0.08,0.48,0.24,0.00,1.52,-0.4141452996798811,42,75
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Helm, Brylee",Brylee,Helm,,2741,"Helm, Brylee","HELM, BRYLEE",Howard Payne,HPU,0,2,0,3,0,3,0,-.250,8,3,1,0,0,1,0,0,0,1,0,0,1,0,2,2,0,1,1,2.5,0,0.50,0.00,1.00,1.00,0.00,1.25,-0.5884077840865717,43,74
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Coon, Halie",Halie,Coon,,2741,"Coon, Halie","COON, HALIE",Howard Payne,HPU,0,59,13,10,0,10,0,.179,39,4,11,149,9,442,0,30,28,204,0,0,0,0,56,0,0,0,0,41,2,0.19,2.53,0.95,0.00,0.51,0.69,-0.6744812409849581,44,74
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Rodgers, Keatyn",Keatyn,Rodgers,,271,"Rodgers, Keatyn","RODGERS, KEATYN",Hardin-Simmons,HSU,637-3239,96,35,6,0,6,0,.361,72,2,28,517,11,1412,0,26,14,354,0,0,3,1,109,0,0,0,0,54,2,0.29,5.39,1.14,0.00,0.27,0.56,-0.7359895412336628,45,73
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"White, Jadyn",Jadyn,White,,2741,"White, Jadyn","WHITE, JADYN",Howard Payne,HPU,0,79,2,1,0,1,0,.071,14,2,3,39,3,178,0,25,26,234,0,0,294,39,221,0,0,0,0,28,0,0.04,0.49,2.80,0.00,0.32,0.35,-0.7485113819597543,46,72
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Garcia, Angie",Angie,Garcia,,1203,"Garcia, Angie","GARCIA, ANGIE",Mary Hardin-Baylor,UMHB,641-6438,111,16,22,0,22,0,.048,42,1,3,71,2,327,0,30,27,377,0,0,323,13,350,1,0,1,0,33.5,1,0.03,0.64,3.15,0.01,0.27,0.30,-0.769015916170132,47,71
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"O'Neal, Brooke",Brooke,O'Neal,,2741,"O'Neal, Brooke","O'NEAL, BROOKE",Howard Payne,HPU,0,58,17,12,0,12,0,.130,208,34,61,2,3,23,0,0,0,0,0,0,1,0,23,22,2,21,1,72.5,0,1.05,0.03,0.40,0.38,0.00,1.25,-0.7844741817097179,48,71
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Suarez, Madai",Madai,Suarez,,2741,"Suarez, Madai","SUAREZ, MADAI",Howard Payne,HPU,0,39,5,8,0,8,0,.151,152,21,44,1,1,14,0,0,0,2,0,0,4,0,17,10,3,10,0,49,0,1.13,0.03,0.44,0.26,0.00,1.26,-0.9415227555250008,49,70
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Villanueva, Ari",Ari,Villanueva,,271,"Villanueva, Ari","VILLANUEVA, ARI",Hardin-Simmons,HSU,637-3095,88,0,10,0,10,0,-.036,28,2,1,56,3,201,0,28,22,338,0,0,291,18,269,0,0,0,0,29,0,0.01,0.64,3.06,0.00,0.32,0.33,-0.9949180590597351,50,69
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"McGuire, Jenna",Jenna,McGuire,,1062,"McGuire, Jenna","MCGUIRE, JENNA",East Texas Baptist,ETBU,636-5301,12,0,11,0,11,0,.462,13,0,6,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,8,0,0.50,0.00,0.17,0.25,0.00,0.67,-1.0872250934291212,51,69
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Temple, Sydney",Sydney,Temple,,1062,"Temple, Sydney","TEMPLE, SYDNEY",East Texas Baptist,ETBU,636-4231,113,0,16,0,16,0,.113,80,6,15,577,4,1353,0,39,53,456,0,0,7,0,184,1,0,1,0,54.5,2,0.13,5.11,1.63,0.01,0.35,0.48,-1.1633326467805356,52,68
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Dixon, Gracie",Gracie,Dixon,,2741,"Dixon, Gracie","DIXON, GRACIE",Howard Payne,HPU,0,28,13,11,0,11,0,.178,73,9,22,0,0,8,0,0,2,4,0,0,0,0,3,11,4,10,1,28,0,0.79,0.00,0.11,0.39,0.00,1.00,-1.2270261077200184,53,67
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"McDaniel, Halie",Halie,McDaniel,,1062,"McDaniel, Halie","MCDANIEL, HALIE",East Texas Baptist,ETBU,636-4587,13,0,9,0,9,0,.211,19,3,7,2,0,6,0,0,0,0,0,0,0,0,4,5,1,5,0,9.5,0,0.54,0.15,0.31,0.38,0.00,0.73,-1.4048991251993486,54,67
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Sitton, Emily",Emily,Sitton,,1062,"Sitton, Emily","SITTON, EMILY",East Texas Baptist,ETBU,636-4586,16,9,24,0,24,0,.200,35,8,15,0,1,5,0,0,0,0,0,0,3,0,5,3,0,3,0,16.5,0,0.94,0.00,0.31,0.19,0.00,1.03,-1.4081973647252832,55,66
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"O'Shaughnessy, Allison",Allison,O'Shaughnessy,,271,"O'Shaughnessy, Allison","O'SHAUGHNESSY, ALLISON",Hardin-Simmons,HSU,637-3737,97,0,14,0,14,0,.064,47,5,8,418,5,1157,0,32,9,363,0,0,3,0,150,0,0,0,0,40,1,0.08,4.31,1.55,0.00,0.33,0.41,-1.606280415660897,56,65
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Ordaz, Bryanna",Bryanna,Ordaz,,2741,"Ordaz, Bryanna","ORDAZ, BRYANNA",Howard Payne,HPU,0,82,0,9,0,9,0,-.094,32,4,1,34,5,183,0,19,24,235,0,0,386,34,242,0,0,0,0,20,0,0.01,0.41,2.95,0.00,0.23,0.24,-1.6800059823375855,57,65
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Burns, Baylee",Baylee,Burns,,2741,"Burns, Baylee","BURNS, BAYLEE",Howard Payne,HPU,0,26,0,4,0,4,0,.400,5,0,2,5,1,16,0,2,1,30,0,0,61,8,32,0,0,0,0,4,0,0.08,0.19,1.23,0.00,0.08,0.15,-1.697286334986324,58,64
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Roden, Addison",Addison,Roden,,2741,"Roden, Addison","RODEN, ADDISON",Howard Payne,HPU,0,49,0,5,0,5,0,.045,22,1,2,154,9,492,0,17,4,152,0,0,5,1,61,1,0,1,0,19.5,0,0.04,3.14,1.24,0.02,0.35,0.40,-1.8234080331750593,59,63
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Mansell, McKenzie",McKenzie,Mansell,,1062,"Mansell, McKenzie","MANSELL, MCKENZIE",East Texas Baptist,ETBU,636-3803,46,14,3,0,3,0,.190,21,0,4,49,5,135,0,12,6,113,0,0,0,0,47,0,0,0,0,16,0,0.09,1.07,1.02,0.00,0.26,0.35,-1.8299434100459235,60,62
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Gray, Avery",Avery,Gray,,1203,"Gray, Avery","GRAY, AVERY",Mary Hardin-Baylor,UMHB,641-6301,14,0,12,0,12,0,.444,9,2,6,12,2,53,0,0,6,8,0,0,0,0,6,0,0,0,0,6,0,0.43,0.86,0.43,0.00,0.00,0.43,-1.9019789383519428,61,62
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Clark, Faith",Faith,Clark,,1203,"Clark, Faith","CLARK, FAITH",Mary Hardin-Baylor,UMHB,641-3732,78,24,11,0,11,0,.075,40,2,5,25,0,87,0,13,22,216,0,0,240,16,146,0,0,0,0,18,0,0.06,0.32,1.87,0.00,0.17,0.23,-2.05055965977567,62,61
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Trimble, Kacie",Kacie,Trimble,,1062,"Trimble, Kacie","TRIMBLE, KACIE",East Texas Baptist,ETBU,636-5304,9,0,10,0,10,0,.333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0.11,0.00,0.00,0.22,0.00,0.22,-2.4374636343028016,63,60
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Nowlin, Ella",Ella,Nowlin,,1203,"Nowlin, Ella","NOWLIN, ELLA",Mary Hardin-Baylor,UMHB,641-6440,58,15,16,0,16,0,-.154,13,3,1,7,0,26,0,13,16,110,0,0,138,10,90,0,1,0,0,14,0,0.02,0.12,1.55,0.00,0.22,0.24,-2.9817020836476846,64,60
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Caron, Abby",Abby,Caron,,1203,"Caron, Abby","CARON, ABBY",Mary Hardin-Baylor,UMHB,641-4461,21,0,23,0,23,0,.021,47,11,12,0,0,2,0,0,0,1,0,0,0,0,2,2,0,2,0,13,0,0.57,0.00,0.10,0.10,0.00,0.62,-3.1373485284794698,65,59
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Adkins, Shelbee",Shelbee,Adkins,,1203,"Adkins, Shelbee","ADKINS, SHELBEE",Mary Hardin-Baylor,UMHB,641-6444,7,0,7,0,7,0,.000,2,0,0,24,0,46,0,1,1,7,0,0,1,0,5,0,0,0,0,1,0,0.00,3.43,0.71,0.00,0.14,0.14,-3.4295656097302305,66,58
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Poore, Taylor",Taylor,Poore,,1062,"Poore, Taylor","POORE, TAYLOR",East Texas Baptist,ETBU,636-3806,102,95,12,0,12,0,-.100,20,3,1,21,1,78,0,5,5,112,0,0,346,22,153,1,0,1,0,6.5,1,0.01,0.21,1.50,0.01,0.05,0.06,-3.5406335494867087,67,58
