season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Wilson, Riley",Riley,Wilson,,973,"Wilson, Riley","WILSON,RILEY",Berry,BER,838-3384,1,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,0,0,0,0,0,0.0,0.00,0,0,15:20,0,1,.00,0.000,.000,.00
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Baker, Rachel",Rachel,Baker,,973,"Baker, Rachel","BAKER,RACHEL",Berry,BER,838-3897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,,,,,,0,0,0,0,0,0.0,0.00,0,0,06:41,0,1,.00,0.000,.000,.00
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Pitman, Ellen",Ellen,Pitman,,973,"Pitman, Ellen","PITMAN,ELLEN",Berry,BER,838-3902,1,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,03:00,0,.00,.00,,,,,,1,0,0,0,0,0.0,0.00,0,0,03:25,0,1,.00,0.000,.000,.00
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Benoist, Chloe",Chloe,Benoist,,973,"Benoist, Chloe","BENOIST,CHLOE",Berry,BER,838-3382,1,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,30:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Bryan, Olivia",Olivia,Bryan,,973,"Bryan, Olivia","BRYAN,OLIVIA",Berry,BER,838-3389,1,1,3,0,3,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,38:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Adams, Anne",Anne,Adams,,973,"Adams, Anne","ADAMS,ANNE",Berry,BER,838-3657,1,1,4,0,4,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,51:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Wiley, Regan",Regan,Wiley,,973,"Wiley, Regan","WILEY,REGAN",Berry,BER,838-3901,1,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,13:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Smith, Avery",Avery,Smith,,973,"Smith, Avery","SMITH,AVERY",Berry,BER,838-3665,1,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,25:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Maimone, Gianna",Gianna,Maimone,,973,"Maimone, Gianna","MAIMONE,GIANNA",Berry,BER,838-3383,1,1,7,0,7,0,0,2,3,3,1,1,0,0,3.00,2.00,3.00,1.000,1.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,49:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Southern Athletic Association (SAA),saa,Berry,"Aitken, Giselle",Giselle,Aitken,,973,"Aitken, Giselle","AITKEN,GISELLE",Berry,BER,838-3385,1,1,8,0,8,0,0,2,4,2,0,1,0,0,4.00,2.00,2.00,1.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,42:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
