season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Charles Thomas,Charles,Thomas,,132,Charles Thomas,"THOMAS,CHARLES",THOMASCHARLESCENTRE,9,0,,,Centre,CENTRE,1268-3534,,,,,,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,00:00,0,0,1.000,4,10,0,3,1,2,.400,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Miller Mouser,Miller,Mouser,,132,Miller Mouser,"MOUSER,MILLER",MOUSERMILLERCENTRE,10,1,,,Centre,CENTRE,1268-3530,,,,,,0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,52:00,59,0,1.000,4,6,0,4,3,1,.667,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Graysen Jolly,Graysen,Jolly,,132,Graysen Jolly,"JOLLY,GRAYSEN",JOLLYGRAYSENCENTRE,12,10,,,Centre,CENTRE,1268-3018,,,,,,2.25,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,9,9,600:00,59,0,1.000,22,42,0,27,12,15,.524,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Graham Driscoll,Graham,Driscoll,,132,Graham Driscoll,"DRISCOLL,GRAHAM",DRISCOLLGRAHAMCENTRE,8,0,,,Centre,CENTRE,1268-3014,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,3,32:04,3,1,0,0,0,0,0,0,0,19,5.61,.250
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Hayden Burns,Hayden,Burns,,132,Hayden Burns,"BURNS,HAYDEN",BURNSHAYDENCENTRE,12,12,,,Centre,CENTRE,1268-2744,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,1,705:00,59,0,1.000,0,2,0,0,0,0,.000,12,607:12,100,116,0,4,2,0,0,0,0,406,9.88,.537
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Conner Maggard,Conner,Maggard,,132,Conner Maggard,"MAGGARD,CONNER",MAGGARDCONNERCENTRE,12,1,,,Centre,CENTRE,1268-2809,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,60:00,0,0,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Jack Cunninghs,Jack,Cunninghs,,132,Jack Cunninghs,"CUNNINGHS,JACK",CUNNINGHSJACKCENTRE,10,1,,,Centre,CENTRE,1268-2738,,,,,,0.90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,2,60:00,0,0,1.000,6,9,0,9,4,5,.667,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Gunnar Dykes,Gunnar,Dykes,,132,Gunnar Dykes,"DYKES,GUNNAR",DYKESGUNNARCENTRE,13,4,,,Centre,CENTRE,1268-3279,,,,,,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,6,240:00,0,0,1.000,0,2,0,1,1,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Thomas Tyack,Thomas,Tyack,,132,Thomas Tyack,"TYACK,THOMAS",TYACKTHOMASCENTRE,13,8,,,Centre,CENTRE,1268-3536,,,,,,2.23,0,0,0,0,0,4,8,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,9,1,479:00,68,0,1.000,38,54,0,29,8,21,.704,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Ryan Black,Ryan,Black,,132,Ryan Black,"BLACK,RYAN",BLACKRYANCENTRE,13,13,,,Centre,CENTRE,1268-2748,,,,,,4.54,0,0,0,0,0,3,17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,1,749:00,122,0,1.000,70,114,0,59,20,39,.614,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Grayson Shumate,Grayson,Shumate,,132,Grayson Shumate,"SHUMATE,GRAYSON",SHUMATEGRAYSONCENTRE,9,0,,,Centre,CENTRE,1268-3019,,,,,,0.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,15,5,0,0,0,00:00,0,27,1.000,3,3,0,1,0,1,1.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Jamie Irvine,Jamie,Irvine,,132,Jamie Irvine,"IRVINE,JAMIE",IRVINEJAMIECENTRE,7,0,,,Centre,CENTRE,1268-3528,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,3,0,0,0,00:00,0,14,1.000,0,1,0,0,0,0,.000,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Nolan Kelly,Nolan,Kelly,,132,Nolan Kelly,"KELLY,NOLAN",KELLYNOLANCENTRE,8,0,,,Centre,CENTRE,1268-3284,,,,,,0.50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,00:00,0,0,1.000,6,9,0,4,1,3,.667,,,,,,,,,,,,,,
2026-27,mlax,Southern Athletic Association (SAA),saa,Centre,Aiden Turnage,Aiden,Turnage,,132,Aiden Turnage,"TURNAGE,AIDEN",TURNAGEAIDENCENTRE,9,0,,,Centre,CENTRE,1268-3535,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,00:00,0,0,1.000,0,0,0,0,0,0,.000,,,,,,,,,,,,,,
