season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,defense_stats,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carroll,"Johansen,August",August,Johansen,,120,"Johansen,August","JOHANSEN,AUGUST",Carroll,CAR,1094-7560,1,1,11,1A,0,0,DL,0,,,,,,,,0,3,0,3,3,1.0,.0,.0,1,0,16,1,1,0,16,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.872283297511402,21,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Illinois Wesleyan,"Gavin,John",John,Gavin,,300,"Gavin,John","GAVIN,JOHN",Illinois Wesleyan,IWU,683-7937,1,0,5,5,0,0,LB,0,,,,,,,,0,1,12,13,13,1.0,.0,.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7939076688509843,22,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Millikin,Rendell Carter,Rendell,Carter,,424,Rendell Carter,"CARTER,RENDELL",Millikin,MILLIKIN,684-5811,1,1,33,33,0,0,DE,0,,,,,,,,0,2,3,5,5,1.5,.0,.0,1,1,5,0.5,0,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6574542083956745,23,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Elmhurst,"Williams,Darrein",Darrein,Williams,,212,"Williams,Darrein","WILLIAMS,DARREIN",Elmhurst,ELM,682-4540,1,1,11,1A,0,0,DB,0,,,,,,,,0,2,0,2,2,1.0,.0,.0,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.622571921413111,24,94
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Carroll,"Redmon,Andrew",Andrew,Redmon,,120,"Redmon,Andrew","REDMON,ANDREW",Carroll,CAR,1094-7268,1,1,46,46,0,0,LB,0,,,,,,,,0,6,1,7,7,1.0,.0,.0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5451158369048046,25,93
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Illinois Wesleyan,"Nazha,Will",Will,Nazha,,300,"Nazha,Will","NAZHA,WILL",Illinois Wesleyan,IWU,683-8255,1,0,7,7,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,17,0,17,17.0,1,0,,,,,,,,,9,121,1,44,13.4,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1.0,,,,,,2.4447439167122753,26,93
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Elmhurst,"Masek,Lucas",Lucas,Masek,,212,"Masek,Lucas","MASEK,LUCAS",Elmhurst,ELM,682-4521,1,1,97,97,0,0,DL,0,,,,,,,,0,1,0,1,1,1.0,.0,.0,1,0,5,1,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3728605453148197,27,93
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,North Park,"Martinez,Armando",Armando,Martinez,,496,"Martinez,Armando","MARTINEZ,ARMANDO",North Park,NPK,686-4038,1,1,1,1,0,0,LB,0,,,,,,,,0,5,6,11,11,1.0,.0,.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.294484916654402,28,93
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Elmhurst,"Genova,Jaden",Jaden,Genova,,212,"Genova,Jaden","GENOVA,JADEN",Elmhurst,ELM,682-4506,1,1,44,44,0,0,LB,0,,,,,,,,0,4,1,5,5,1.0,.0,.0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.045693084708222,29,93
2026-27,football,College Conference of Illinois and Wisconsin (CCIW),cciw,Illinois Wesleyan,"DeMaio,Joey",Joey,DeMaio,,300,"DeMaio,Joey","DEMAIO,JOEY",Illinois Wesleyan,IWU,683-7934,1,0,9,9,0,0,DB,0,,,,,,,,0,2,8,10,10,1.0,.0,.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.044773540556111,30,93
