season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Hancock, Jordan",Jordan,Hancock,0,793,"Hancock, Jordan","Hancock,Jordan",HancockJordanWEC,27,5,17,,UW-Eau Claire,WEC,1122-7901,0,,0,0,0,0,0,0,0,1,0,7,14:00,0,0,0,0,0,0,7,2,2,4,.500,1.00,16,8,8,18,,,,,,,,,,,,,,,,,,0,48,14,9,5,0.10,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Wagenbach, Ashley",Ashley,Wagenbach,0,793,"Wagenbach, Ashley","Wagenbach,Ashley",WagenbachAshleyWEC,27,3,18,,UW-Eau Claire,WEC,1122-7580,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,32,13,19,21,,,,,,,,,,,,,,,,,,0,84,14,11,3,0.04,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"LeClaire, Allie",Allie,LeClaire,0,793,"LeClaire, Allie","LeClaire,Allie",LeClaireAllieWEC,1,0,19,,UW-Eau Claire,WEC,1122-7581,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,3,1,0,1,0.33,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Grossman, Josie",Josie,Grossman,0,793,"Grossman, Josie","Grossman,Josie",GrossmanJosieWEC,25,4,20,,UW-Eau Claire,WEC,1122-7900,0,,0,0,0,0,1,0,0,1,0,3,06:00,0,0,0,0,0,0,3,68,61,129,.527,0.90,15,6,9,10,,,,,,,,,,,,,,,,,,0,39,10,7,3,0.08,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Keller, Kenzie",Kenzie,Keller,0,793,"Keller, Kenzie","Keller,Kenzie",KellerKenzieWEC,28,3,21,,UW-Eau Claire,WEC,1122-5852,0,,0,0,0,3,0,0,4,3,0,9,18:00,0,0,0,0,0,0,9,186,152,338,.550,0.82,23,10,13,7,,,,,,,,,,,,,,,,,,0,82,23,10,13,0.16,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Mirwald, Rachel",Rachel,Mirwald,0,793,"Mirwald, Rachel","Mirwald,Rachel",MirwaldRachelWEC,28,12,22,,UW-Eau Claire,WEC,1122-5081,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,30,7,23,22,,,,,,,,,,,,,,,,,,0,19,9,8,1,0.05,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Lesch, Jana",Jana,Lesch,0,793,"Lesch, Jana","Lesch,Jana",LeschJanaWEC,24,6,24,,UW-Eau Claire,WEC,1122-7583,0,,0,1,0,2,1,0,0,2,0,3,06:00,0,0,0,0,0,0,3,1,0,1,1.000,100,22,5,17,13,,,,,,,,,,,,,,,,,,0,56,15,8,7,0.13,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Poehling, Harper",Harper,Poehling,0,793,"Poehling, Harper","Poehling,Harper",PoehlingHarperWEC,19,3,25,,UW-Eau Claire,WEC,1122-7902,0,,0,0,0,1,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,15,6,9,11,,,,,,,,,,,,,,,,,,0,27,5,4,1,0.04,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Vetter, Mathilde",Mathilde,Vetter,0,793,"Vetter, Mathilde","Vetter,Mathilde",VetterMathildeWEC,5,3,26,,UW-Eau Claire,WEC,1122-7584,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,4,2,2,4,,,,,,,,,,,,,,,,,,0,3,0,0,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Schipper, Gracyn",Gracyn,Schipper,0,793,"Schipper, Gracyn","Schipper,Gracyn",SchipperGracynWEC,3,1,27,,UW-Eau Claire,WEC,1122-7903,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,4,5,9,.444,1.25,1,0,1,0,,,,,,,,,,,,,,,,,,0,8,1,0,1,0.13,0,0,False,,
