season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Amanda Adley,,Third Year,33590,100000,ACTIVE,83.0,11.0,9,82.013489786456,6,4,3,9.4369454396458,-23.7025803151844,Central - (W) DIII,clippd_scoreboard,436,82,3.32103967281021
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Alijah Campbell,,,14111,382,ACTIVE,83.46,11.46,13,83.4664846119943,8,1,0,4.33828639468291,-26.3383714512399,Central - (W) DIII,clippd_scoreboard,482,81,2.71701642489236
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Mississippi-Women,Mississippi University for Women,Sara Grace Ramey,,,17554,458,ACTIVE,84.4,12.4,15,84.0162197439364,7,0,0,2.982628421319,-23.9875349849534,Central - (W) DIII,clippd_scoreboard,542,79,2.02281948537109
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Illinois College,Illinois College,Shelby Seiler,,Fourth Year,17247,100000,ACTIVE,84.55,12.55,11,87.929323850033,6,1,1,1.1712942281568,-30.7015130004609,Central - (W) DIII,clippd_scoreboard,549,79,1.97531388670853
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Mississippi-Women,Mississippi University for Women,Ashley Estabrook,,,19572,480,ACTIVE,84.67,12.67,15,84.2828864106031,7,2,0,2.75138729730125,-23.9875349849534,Central - (W) DIII,clippd_scoreboard,553,79,1.95893940839366
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Sophie Smith,,Second Year,5790,522,ACTIVE,84.75,12.75,16,85.193731151145,10,0,0,2.28599996731244,-26.5407397752821,Central - (W) DIII,clippd_scoreboard,559,78,1.92494772640516
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Mississippi-Women,Mississippi University for Women,Addiline Campbell,,,8751,477,ACTIVE,85.2,13.2,15,84.8162197439364,7,1,0,2.7554128797153,-23.9875349849534,Central - (W) DIII,clippd_scoreboard,584,78,1.76324983850974
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Spalding,Spalding University,Bailey Birdsell,,,18753,100000,ACTIVE,85.67,13.67,6,85.5085355139318,3,0,0,1.70281073262228,-29.6374728363925,Central - (W) DIII,clippd_scoreboard,619,77,1.49289743410825
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Eva Kennedy,,Second Year,5791,100000,ACTIVE,85.8,13.8,10,86.7079665051947,8,0,0,1.69688230421955,-26.0483519224046,Central - (W) DIII,clippd_scoreboard,632,76,1.39735745884101
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lake Forest,Lake Forest College,Ashlyn Bhatia,,,27091,619,ACTIVE,86.36,14.36,14,86.6137211343357,9,0,0,1.49289743410825,-27.390001920783,Central - (W) DIII,clippd_scoreboard,678,75,1.04305005307947
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Mississippi-Women,Mississippi University for Women,isabella Velazquez,,,8752,567,ACTIVE,86.8,14.8,15,86.4162197439364,7,0,0,1.8906486936902,-23.9875349849534,Central - (W) DIII,clippd_scoreboard,706,74,0.926228278345568
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Illinois College,Illinois College,Emily Guest,,,22794,748,ACTIVE,87.77,15.77,13,90.9403624241456,7,1,0,0.680436369866453,-31.0989399797673,Central - (W) DIII,clippd_scoreboard,777,72,0.501820061519641
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Eureka,Eureka College,Ashlyn Voyles,,,17392,100000,ACTIVE,89.22,17.22,9,101.885773344085,7,5,2,0.0522458562209553,-42.4604972304168,Central - (W) DIII,clippd_scoreboard,856,69,0.186178699057736
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Lyon,Lyon College,Avery Fore,,First Year,4420,100000,ACTIVE,90.14,18.14,7,92.5797754501817,3,0,0,0.33321254549197,-30.9849251151874,Central - (W) DIII,clippd_scoreboard,901,68,0.0940131863842804
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Blackburn,Blackburn College,Caidy Tuetken,,,22653,100000,ACTIVE,91.22,19.22,9,98.1431836253315,6,2,1,0.117445394990768,-38.1967174636854,Central - (W) DIII,clippd_scoreboard,947,67,0.0282991708903658
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Mississippi-Women,Mississippi University for Women,Lyndsey Reimsnyder,,,8755,770,ACTIVE,91.67,19.67,15,91.2828864106031,7,0,0,0.527627072356507,-23.9875349849534,Central - (W) DIII,clippd_scoreboard,971,66,0.0110719268459785
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Eureka,Eureka College,Gabby Penberthy,,,23460,100000,ACTIVE,92.33,20.33,9,104.996884455196,7,4,2,0.0222635076258067,-42.4604972304168,Central - (W) DIII,clippd_scoreboard,999,65,0.000358692879045932
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Illinois College,Illinois College,Karlie Basler,,,5151,100000,ACTIVE,92.36,20.36,11,95.7475056682148,6,1,0,0.200181410846333,-30.7015130004609,Central - (W) DIII,clippd_scoreboard,1000,65,0.000281997392930429
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Illinois College,Illinois College,Mackenzie Murphy,,Second Year,5155,100000,ACTIVE,92.55,20.55,11,96.2723762582748,6,0,0,0.156007101260996,-32.1776739880838,Central - (W) DIII,clippd_scoreboard,1008,65,1.91250801314183
2025-26,wgolf,Women,St. Louis Intercollegiate Athletic Conference,sliac,Blackburn,Blackburn College,Allison Woolard,,,27064,916,ACTIVE,94.0,22.0,13,100.728451441225,9,4,0,0.0601341553234034,-38.5597272678882,Central - (W) DIII,clippd_scoreboard,1058,63,0.610792534336699
