conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,I Nascimento-Zschaeck,I,Nascimento-Zschaeck,25,22.5,7.5,2.0,1.7,0.9,0.0,2.1,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,M Hill,M,Hill,21,11.3,6.5,1.5,0.6,1.3,0.0,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,E Kioko,E,Kioko,25,15.7,6.4,4.3,0.2,0.2,0.3,1.1,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,B Sneddon,B,Sneddon,25,18.1,6.2,4.5,0.8,0.6,0.2,0.6,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,I Bremer,I,Bremer,25,16.3,5.8,1.5,0.7,0.2,0.2,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,X Boone,X,Boone,17,18.1,5.7,2.7,2.3,1.0,0.2,1.8,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,F Hutchison,F,Hutchison,23,17.9,5.7,1.0,0.7,0.2,0.0,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,E Taft,E,Taft,26,21.5,5.5,1.7,1.9,0.3,0.0,0.8,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,K Pryor,K,Pryor,25,17.6,5.3,1.7,1.8,0.8,0.1,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,T Adamson,T,Adamson,20,22.6,5.2,2.5,1.3,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,S Williams,S,Williams,26,15.8,5.1,1.5,1.8,0.7,0.1,1.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Martin,T,Martin,27,14.7,4.9,1.3,0.7,0.5,0.0,0.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,J Beatty,J,Beatty,26,20.0,4.9,2.0,1.9,0.9,0.0,1.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,S Mason,S,Mason,26,24.4,4.8,2.0,1.5,0.6,0.0,0.6,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,R Lewis,R,Lewis,27,21.1,4.7,4.2,1.7,0.6,0.1,1.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,D Escala,D,Escala,23,9.4,4.3,2.1,0.3,0.1,0.3,0.7,,,,,,,,,,,,,,,,,,
