rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
20,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,B Lee,22,28.4,10.2,7.9,1.8,1.7,0.5,1.9,2.841834051927787,0.3416207282315229,2.018762950477643,0.29540114299973314,1.5893686315061004,0.5211890675757102,0.6457513993879085
21,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,J Harvey,26,25.7,14.1,6.1,1.5,0.8,0.7,2.3,2.5658227852317093,1.1274023716834942,1.1169623503972241,0.02347022779997881,-0.12776275172878596,1.0851811020537732,1.2074924225447687
22,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),D Tanksley Jr.,27,27.4,10.4,7.4,1.6,1.3,0.2,1.4,2.377338076025935,0.3819172227675216,1.7682627837886378,0.11411386619989698,0.826199127846151,-0.32479898414138453,-0.05642487955816705
23,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,J Kirkland,24,27.7,15.5,3.8,0.7,0.8,0.3,1.5,2.150552399530464,1.4094778334354838,-0.03533841637219908,-0.701678879399366,-0.12776275172878596,-0.04280296690235301,0.08401037623104818
24,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,S Peterson,22,25.7,10.0,10.2,0.5,0.6,0.5,1.6,2.0306810365168175,0.3013242336955245,3.171063717247066,-0.8829661561992022,-0.5093475035587609,0.5211890675757102,0.2244456320202634
25,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),D Mann,27,27.0,13.9,5.2,1.7,0.6,0.2,1.8,1.962459284035745,1.0871058771474957,0.6660620503570154,0.20475750459981495,-0.5093475035587609,-0.32479898414138453,0.5053161435986936
26,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,N Beaudet,27,28.9,14.9,3.6,1.1,1.3,0.0,1.7,1.9217260778274996,1.2885883498274884,-0.13553848304780097,-0.3391043257996935,0.826199127846151,-0.8887910186194476,0.36488088780947836
27,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,A Sullivan,23,29.1,11.5,4.1,4.3,1.2,0.0,2.6,1.650882850804175,0.6035479427155134,0.11496168364120388,2.5614921029976854,0.6354067519311635,-0.8887910186194476,1.6287981899124144
28,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,R Vasquez,26,32.2,9.7,8.1,0.8,0.7,0.2,1.1,1.5978158887387812,0.24087949189152658,2.1189630171532445,-0.6110352409994478,-0.31855512764377353,-0.32479898414138453,-0.47773064692581213
29,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,J DuBrul,24,31.3,15.2,6.0,1.5,0.8,0.0,2.8,1.4252871182977613,1.3490330916314859,1.0668623170594234,0.02347022779997881,-0.12776275172878596,-0.8887910186194476,1.9096687014908442
30,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,J Ricketts,26,27.4,10.3,3.7,1.9,1.2,0.1,1.3,1.1057563667350798,0.3617689754995224,-0.08543844970999992,0.3860447813996511,0.6354067519311635,-0.6067950013804161,-0.19686013534738198
31,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,C Hanks,26,31.0,13.8,2.0,2.0,1.1,0.1,2.0,1.1015602052780404,1.0669576298794965,-0.9371390164526173,0.4766884197995693,0.4446143760161763,-0.6067950013804161,0.7861866551771237
32,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,D Dalcour,25,27.2,8.2,7.0,0.6,0.7,0.3,0.7,1.071087947382855,-0.06134421712846233,1.5678626504374336,-0.7923225177992841,-0.31855512764377353,-0.04280296690235301,-1.0394716700826727
33,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,E Thomas,20,28.8,11.3,5.3,1.3,0.6,0.7,2.1,1.063963691119936,0.563251448179515,0.7161620836948162,-0.15781704899985735,-0.5093475035587609,1.0851811020537732,0.926621910966339
34,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),T Maiwen,28,20.3,6.8,5.7,1.5,1.0,1.1,1.6,1.0251204335706292,-0.3434196788804519,0.9165622170460205,0.02347022779997881,0.25382200010118877,2.2131651710098996,0.2244456320202634
35,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,C Snowden,22,25.9,11.0,3.7,1.2,0.6,0.3,1.0,0.9903415037156562,0.502806706375517,-0.08543844970999992,-0.24846068739977553,-0.5093475035587609,-0.04280296690235301,-0.6181659027150274
36,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,D Adams,27,25.1,11.7,3.5,2.0,1.3,0.5,2.5,0.9744275573051719,0.6438444372515117,-0.18563851638560205,0.4766884197995693,0.826199127846151,0.5211890675757102,1.4883629341231992
37,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,C Nogard,20,24.5,9.4,6.3,0.8,1.3,0.3,1.8,0.7726036890193673,0.18043475008752902,1.2171624170728264,-0.6110352409994478,0.826199127846151,-0.04280296690235301,0.5053161435986936
38,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,I Porter,17,24.0,10.9,3.4,2.1,1.9,0.2,2.6,0.7174710218157083,0.4826584591075179,-0.2357385497234031,0.5673320581994875,1.9709533833360753,-0.32479898414138453,1.6287981899124144
39,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,D Watkins,25,26.8,10.4,4.4,1.2,0.5,0.1,1.0,0.6166604946583653,0.3819172227675216,0.2652617836546073,-0.24846068739977553,-0.7001398794737482,-0.6067950013804161,-0.6181659027150274
40,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,J Robie,24,25.8,12.5,2.5,1.0,0.8,0.0,1.2,0.5901494887519163,0.805030415395506,-0.6866388497636122,-0.4297479641996117,-0.12776275172878596,-0.8887910186194476,-0.3372953911365972
41,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,E Cancel,25,22.0,8.6,4.0,1.5,1.2,0.4,1.4,0.5827696633398916,0.019248771943534783,0.06486165030340305,0.02347022779997881,0.6354067519311635,0.23919305033667865,-0.05642487955816705
42,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,A Macleod,18,23.1,7.4,4.8,1.7,0.7,1.0,1.7,0.5386355073949903,-0.2225301952724562,0.4656619170058111,0.20475750459981495,-0.31855512764377353,1.931169153770868,0.36488088780947836
43,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,M Youngquist,25,25.8,9.6,4.7,0.7,0.7,0.4,1.2,0.47133586649083603,0.2207312446235274,0.4155618836680102,-0.701678879399366,-0.31855512764377353,0.23919305033667865,-0.3372953911365972
44,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),R Figueroa,28,28.4,12.6,2.6,1.2,0.9,0.3,2.0,0.41202167714932547,0.8251786626635053,-0.6365388164258111,-0.24846068739977553,0.0630296241862014,-0.04280296690235301,0.7861866551771237
45,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,A Ciaglo,17,27.1,9.8,3.9,1.6,1.1,0.1,1.6,0.35162149823657085,0.26102773915952615,0.014761616965601977,0.11411386619989698,0.4446143760161763,-0.6067950013804161,0.2244456320202634
46,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,R Elliott,26,26.7,7.3,6.0,0.8,0.9,0.5,1.3,0.2833195223199331,-0.24267844254045556,1.0668623170594234,-0.6110352409994478,0.0630296241862014,0.5211890675757102,-0.19686013534738198
47,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,G Brynda,18,26.0,8.3,4.9,0.5,0.7,0.6,1.2,0.17271640767492336,-0.04119596986046278,0.5157619503436124,-0.8829661561992022,-0.31855512764377353,0.8031850848147416,-0.3372953911365972
48,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),J Tertulien,28,23.3,6.8,4.3,3.0,1.5,0.4,2.4,0.07710755245920042,-0.3434196788804519,0.215161750316806,1.3831248037987502,1.2077838796761258,0.23919305033667865,1.347927678333984
49,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,J Williams,22,19.4,6.7,5.5,0.8,0.7,0.5,1.0,0.012442676400767405,-0.36356792614845107,0.8163621503704183,-0.6110352409994478,-0.31855512764377353,0.5211890675757102,-0.6181659027150274
50,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,J Beaudet,23,14.6,5.2,5.2,0.5,0.3,1.0,0.6,-0.11476834249532808,-0.66579163516844,0.6660620503570154,-0.8829661561992022,-1.081724631303723,1.931169153770868,-1.1799069258718877
51,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,A Hinnant,26,19.8,4.8,6.2,0.7,0.6,1.2,1.4,-0.12895404945429378,-0.7463846242404371,1.1670623837350256,-0.701678879399366,-0.5093475035587609,2.495161188248931,-0.05642487955816705
52,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,T Bellows,25,31.1,12.3,3.7,2.0,0.6,0.4,3.1,-0.19651398091611938,0.7647339208595076,-0.08543844970999992,0.4766884197995693,-0.5093475035587609,0.23919305033667865,2.33097446885849
53,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,X Rubio,22,14.7,8.2,1.4,1.2,1.4,0.2,1.0,-0.32239938499046505,-0.06134421712846233,-1.2377392164794234,-0.24846068739977553,1.0169915037611381,-0.32479898414138453,-0.6181659027150274
54,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,R Cuvier,25,20.0,7.2,5.6,1.1,0.6,0.6,1.8,-0.41383700333190615,-0.26282668980845475,0.8664621837082191,-0.3391043257996935,-0.5093475035587609,0.8031850848147416,0.5053161435986936
55,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,L Montejo,25,23.5,7.2,5.6,2.0,0.4,0.3,1.8,-0.4565684831859569,-0.26282668980845475,0.8664621837082191,0.4766884197995693,-0.8909322553887357,-0.04280296690235301,0.5053161435986936
56,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),A Lovelace,26,16.0,6.5,2.0,1.9,1.3,0.1,0.9,-0.4769118158697142,-0.4038644206844496,-0.9371390164526173,0.3860447813996511,0.826199127846151,-0.6067950013804161,-0.7586011585042425
57,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,M Strazzeri,25,26.7,11.0,3.4,2.4,0.7,0.1,2.8,-0.5623295163806492,0.502806706375517,-0.2357385497234031,0.8392629733992416,-0.31855512764377353,-0.6067950013804161,1.9096687014908442
58,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,N Charlot,25,18.3,4.8,3.3,1.4,1.5,0.3,1.0,-0.6628544654847663,-0.7463846242404371,-0.2858385830612042,-0.06717341059993936,1.2077838796761258,-0.04280296690235301,-0.6181659027150274
59,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,S Barnes,24,34.4,6.8,2.5,3.0,0.9,0.2,1.8,-0.7344367847928537,-0.3434196788804519,-0.6866388497636122,1.3831248037987502,0.0630296241862014,-0.32479898414138453,0.5053161435986936
60,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,Z Tate,21,19.4,5.8,3.8,0.7,0.4,0.6,0.7,-0.8180126593818431,-0.5449021515604445,-0.03533841637219908,-0.701678879399366,-0.8909322553887357,0.8031850848147416,-1.0394716700826727
61,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,L Lapierre Caissie,25,25.8,7.2,4.5,1.4,0.8,0.1,1.7,-1.0111050819443652,-0.26282668980845475,0.3153618169924081,-0.06717341059993936,-0.12776275172878596,-0.6067950013804161,0.36488088780947836
62,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Rivier,T Briscoe IV,24,21.5,6.8,2.5,0.7,0.7,0.3,0.8,-1.1201116840132856,-0.3434196788804519,-0.6866388497636122,-0.701678879399366,-0.31855512764377353,-0.04280296690235301,-0.8990364142934575
63,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,M Duran,22,21.0,5.4,3.7,1.2,0.5,0.3,0.8,-1.13696196899501,-0.6254951406324414,-0.08543844970999992,-0.24846068739977553,-0.7001398794737482,-0.04280296690235301,-0.8990364142934575
64,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,N Fitzpatrick,26,18.8,7.7,2.2,0.9,0.8,0.0,1.0,-1.2880464566025933,-0.16208545346845846,-0.8369389497770152,-0.5203916025995298,-0.12776275172878596,-0.8887910186194476,-0.6181659027150274
65,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,E Adarkwa,20,25.6,10.8,2.4,1.9,0.8,0.2,3.1,-1.4115258905340733,0.46251021183951874,-0.7367388831014133,0.3860447813996511,-0.12776275172878596,-0.32479898414138453,2.33097446885849
66,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,C Foster-Martez,26,17.6,4.0,3.1,1.0,0.8,0.3,0.5,-1.4152009485110415,-0.9075706023844311,-0.38603864973680607,-0.4297479641996117,-0.12776275172878596,-0.04280296690235301,-1.320342181661103
67,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,T Chinn,26,14.1,6.0,4.0,0.6,0.8,0.0,0.9,-1.4198298796667315,-0.5046056570244459,0.06486165030340305,-0.7923225177992841,-0.12776275172878596,-0.8887910186194476,-0.7586011585042425
68,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,D Stallworth,19,16.4,6.8,2.3,1.6,1.3,0.1,1.8,-1.4522977445745133,-0.3434196788804519,-0.7868389164392143,0.11411386619989698,0.826199127846151,-0.6067950013804161,0.5053161435986936
69,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,M Johnson-Correia,25,20.7,6.8,1.8,1.2,0.9,0.1,1.1,-1.4765973681869577,-0.3434196788804519,-1.0373390831282194,-0.24846068739977553,0.0630296241862014,-0.6067950013804161,-0.47773064692581213
70,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,Q Partee Jr.,25,13.4,6.7,3.5,0.4,0.4,0.2,0.9,-1.5395943629478737,-0.36356792614845107,-0.18563851638560205,-0.9736097945991201,-0.8909322553887357,-0.32479898414138453,-0.7586011585042425
71,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,T Costin,26,14.8,7.2,1.9,0.4,0.7,0.0,0.6,-1.5579951031236867,-0.26282668980845475,-0.9872390497904183,-0.9736097945991201,-0.31855512764377353,-0.8887910186194476,-1.1799069258718877
72,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,A Oliveira,26,25.0,4.0,5.0,2.1,1.4,0.0,2.0,-1.5867544570230856,-0.9075706023844311,0.5658619836814132,0.5673320581994875,1.0169915037611381,-0.8887910186194476,0.7861866551771237
73,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),B Gadiaga,26,12.2,4.1,3.2,0.5,0.8,0.8,1.1,-1.6261863497289497,-0.887422355116432,-0.335938616399005,-0.8829661561992022,-0.12776275172878596,1.3671771192928048,-0.47773064692581213
74,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),K Dunphe,28,21.0,4.1,3.3,2.2,0.5,0.1,1.0,-1.6732834490111832,-0.887422355116432,-0.2858385830612042,0.6579756965994057,-0.7001398794737482,-0.6067950013804161,-0.6181659027150274
75,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,C Nell,26,14.3,4.6,3.0,0.5,0.3,0.6,0.7,-1.8044280622228897,-0.7866811187764357,-0.4361386830746071,-0.8829661561992022,-1.081724631303723,0.8031850848147416,-1.0394716700826727
76,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,R Pearson,24,10.3,2.3,2.5,0.1,0.5,1.1,0.3,-1.8152245032148757,-1.2500908059404185,-0.6866388497636122,-1.2455407097988744,-0.7001398794737482,2.2131651710098996,-1.601212693239533
77,gnac,Great Northeast Athletic Conference (GNAC),2025-26,University of Saint Joseph (Conn.),A Cisse,27,14.6,5.6,3.1,0.6,0.5,0.3,1.0,-1.8721888104841777,-0.585198646096443,-0.38603864973680607,-0.7923225177992841,-0.7001398794737482,-0.04280296690235301,-0.6181659027150274
78,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,X Boyd,24,19.8,8.6,3.3,0.7,0.3,0.0,1.7,-1.9299272150444975,0.019248771943534783,-0.2858385830612042,-0.701678879399366,-1.081724631303723,-0.8887910186194476,0.36488088780947836
79,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,J Box,16,23.4,5.1,1.7,1.8,0.5,0.1,0.9,-1.9728928599229674,-0.6859398824364393,-1.0874391164660202,0.29540114299973314,-0.7001398794737482,-0.6067950013804161,-0.7586011585042425
80,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),Y Dakane,28,13.9,3.6,2.7,1.6,1.6,0.0,1.4,-2.0069221026021697,-0.9881635914564283,-0.5864387830880101,0.11411386619989698,1.3985762555911134,-0.8887910186194476,-0.05642487955816705
81,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,R Severy,26,16.6,4.5,4.5,0.5,0.3,0.3,1.0,-2.078712846464642,-0.8068293660444348,0.3153618169924081,-0.8829661561992022,-1.081724631303723,-0.04280296690235301,-0.6181659027150274
82,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,J Stovall,23,16.3,7.7,2.3,1.1,0.6,0.0,1.7,-2.1033051478408393,-0.16208545346845846,-0.7868389164392143,-0.3391043257996935,-0.5093475035587609,-0.8887910186194476,0.36488088780947836
83,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Lasell,R Jones,16,13.4,3.4,2.2,1.0,0.3,0.3,0.3,-2.2248946562799037,-1.0284600859924267,-0.8369389497770152,-0.4297479641996117,-1.081724631303723,-0.04280296690235301,-1.601212693239533
84,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,R Rangel,26,17.0,4.4,2.5,1.9,0.6,0.0,1.2,-2.293604022659467,-0.826977613312434,-0.6866388497636122,0.3860447813996511,-0.5093475035587609,-0.8887910186194476,-0.3372953911365972
85,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,J Bogar,25,16.4,4.2,3.4,0.7,0.8,0.3,1.3,-2.318535167120467,-0.8672741078484326,-0.2357385497234031,-0.701678879399366,-0.12776275172878596,-0.04280296690235301,-0.19686013534738198
86,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,T Daly,25,25.2,4.3,1.9,2.2,1.0,0.0,1.6,-2.421777083269916,-0.8471258605804334,-0.9872390497904183,0.6579756965994057,0.25382200010118877,-0.8887910186194476,0.2244456320202634
87,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,J Herbin,23,20.9,4.3,2.9,0.6,0.8,0.1,1.0,-2.46199073949163,-0.8471258605804334,-0.4862387164124082,-0.7923225177992841,-0.12776275172878596,-0.6067950013804161,-0.6181659027150274
88,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Albertus Magnus,D Victory,23,13.8,2.3,2.0,1.9,1.1,0.1,1.0,-2.472505166928011,-1.2500908059404185,-0.9371390164526173,0.3860447813996511,0.4446143760161763,-0.6067950013804161,-0.6181659027150274
89,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,A Sarlan,23,17.4,2.3,4.2,1.0,0.3,0.1,0.5,-2.473448055948449,-1.2500908059404185,0.16506171697900515,-0.4297479641996117,-1.081724631303723,-0.6067950013804161,-1.320342181661103
90,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,H Jacques,24,15.5,3.5,2.2,0.8,0.6,0.5,1.0,-2.5297521068118822,-1.0083118387244274,-0.8369389497770152,-0.6110352409994478,-0.5093475035587609,0.5211890675757102,-0.6181659027150274
91,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,D Reid,26,13.0,4.8,1.5,0.3,0.5,0.1,0.6,-2.778635979508908,-0.7463846242404371,-1.1876391831416224,-1.0642534329990383,-0.7001398794737482,-0.6067950013804161,-1.1799069258718877
92,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,M Kanneh,26,15.8,2.2,3.3,0.5,0.2,0.5,0.6,-2.7903798530231096,-1.2702390532084178,-0.2858385830612042,-0.8829661561992022,-1.2725170072187106,0.5211890675757102,-1.1799069258718877
93,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,A Alicea,21,13.7,5.3,1.1,0.5,0.4,0.0,0.6,-2.8269267029918828,-0.6456433879004407,-1.3880393164928264,-0.8829661561992022,-0.8909322553887357,-0.8887910186194476,-1.1799069258718877
94,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),D Salvatore,20,10.6,3.1,2.2,1.6,0.5,0.0,0.9,-2.871371736340036,-1.0889048277964246,-0.8369389497770152,0.11411386619989698,-0.7001398794737482,-0.8887910186194476,-0.7586011585042425
95,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,D Fontenot,26,15.1,4.1,1.9,0.6,0.2,0.1,0.5,-2.903920066516336,-0.887422355116432,-0.9872390497904183,-0.7923225177992841,-1.2725170072187106,-0.6067950013804161,-1.320342181661103
96,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,M Hills,21,13.6,5.6,1.5,1.0,0.4,0.0,1.3,-3.0349418240579356,-0.585198646096443,-1.1876391831416224,-0.4297479641996117,-0.8909322553887357,-0.8887910186194476,-0.19686013534738198
97,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,J Welch,25,10.4,3.4,2.0,0.4,0.4,0.2,0.6,-3.058384418788619,-1.0284600859924267,-0.9371390164526173,-0.9736097945991201,-0.8909322553887357,-0.32479898414138453,-1.1799069258718877
98,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,C Louis,26,11.5,2.9,2.3,0.5,0.2,0.1,0.3,-3.085952045219674,-1.1292013223324229,-0.7868389164392143,-0.8829661561992022,-1.2725170072187106,-0.6067950013804161,-1.601212693239533
99,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,C Jefferson,25,14.4,4.6,1.3,0.3,0.3,0.0,0.5,-3.1488111951569575,-0.7866811187764357,-1.2878392498172244,-1.0642534329990383,-1.081724631303723,-0.8887910186194476,-1.320342181661103
