season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
2025-26,wlax,Landmark Conference,landmark_conference,Moravian,Melissa Elefonte,Melissa,Elefonte,,443,Melissa Elefonte,"ELEFONTE,MELISSA",ELEFONTEMELISSAMOR,18,18,,,Moravian,MOR,0,,,,,,3.06,0,3,0,0,0,1,8,0,6,1,0,0,0,5,3,0,0,0,0,0,0,0,0,13,0,20,6,1080:00,133,0,1.000,51,65,7,55,20,35,.785,,,,,,,,,,,,,,,6.658058379279399,21,94
2025-26,wlax,Landmark Conference,landmark_conference,Juniata,Kyndall Yeager,Kyndall,Yeager,,325,Kyndall Yeager,"YEAGER,KYNDALL",YEAGERKYNDALLJUNIATA,18,18,,,Juniata,JUNIATA,0,,,,,,3.17,0,6,0,0,0,3,23,0,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,12,63,39,4,1079:00,48,0,1.000,77,93,10,57,16,41,.828,,,,,,,,,,,,,,,6.619016758797311,22,93
2025-26,wlax,Landmark Conference,landmark_conference,Goucher,Emily Burk,Emily,Burk,,1467,Emily Burk,"BURK,EMILY",BURKEMILYGOU,17,15,,,Goucher,GOU,0,,,,,,2.76,0,4,0,0,0,1,8,1,3,0,0,0,0,14,7,0,0,0,0,0,0,0,0,26,115,38,12,900:00,6,0,1.000,57,72,11,47,10,37,.792,,,,,,,,,,,,,,,6.448205123532168,23,93
2025-26,wlax,Landmark Conference,landmark_conference,Juniata,Maeve Kuser,Maeve,Kuser,,325,Maeve Kuser,"KUSER,MAEVE",KUSERMAEVEJUNIATA,18,18,,,Juniata,JUNIATA,0,,,,,,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,60,1,17,60,1079:00,48,0,1.000,3,3,0,3,3,0,1.000,,,,,,,,,,,,,,,5.821374170483255,24,93
2025-26,wlax,Landmark Conference,landmark_conference,Drew,Grace Patane,Grace,Patane,,190,Grace Patane,"PATANE,GRACE",PATANEGRACEDREW,16,16,,,Drew,DREW,0,,,,,,3.00,0,9,0,0,0,2,22,1,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,15,0,50,7,983:00,131,0,1.000,73,106,20,48,14,34,.689,,,,,,,,,,,,,,,5.673166955678916,25,93
2025-26,wlax,Landmark Conference,landmark_conference,Elizabethtown,Lauren Puntanen,Lauren,Puntanen,,211,Lauren Puntanen,"PUNTANEN,LAUREN",PUNTANENLAURENETOWN,17,16,,,Elizabethtown,ETOWN,0,,,,,,2.47,0,9,0,0,0,0,16,1,6,3,0,0,0,4,1,0,0,0,0,0,0,0,0,35,73,27,6,960:00,0,0,1.000,39,48,13,42,9,33,.813,,,,,,,,,,,,,,,5.658122731488325,26,93
2025-26,wlax,Landmark Conference,landmark_conference,Drew,Aubrey Welch,Aubrey,Welch,,190,Aubrey Welch,"WELCH,AUBREY",WELCHAUBREYDREW,16,16,,,Drew,DREW,0,,,,,,2.50,0,9,0,0,0,4,27,2,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,26,63,40,16,968:00,131,0,1.000,62,80,21,40,4,36,.775,,,,,,,,,,,,,,,5.614880283623546,27,92
2025-26,wlax,Landmark Conference,landmark_conference,Catholic,Henley Bredemann,Henley,Bredemann,,124,Henley Bredemann,"BREDEMANN,HENLEY",BREDEMANNHENLEYCUA,19,17,,,Catholic,CUA,0,,,,,,2.42,0,2,0,0,0,2,11,0,6,2,0,0,0,8,3,0,0,0,0,0,0,0,0,16,59,28,11,1059:00,103,0,1.000,62,79,6,46,6,40,.785,,,,,,,,,,,,,,,5.572050915237446,28,92
2025-26,wlax,Landmark Conference,landmark_conference,Catholic,Tori Wilsey,Tori,Wilsey,,124,Tori Wilsey,"WILSEY,TORI",WILSEYTORICUA,19,2,,,Catholic,CUA,0,,,,,,1.68,0,3,0,0,0,1,14,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,32,37,28,22,120:00,0,0,1.000,41,58,5,32,10,22,.707,,,,,,,,,,,,,,,5.445035171003067,29,92
2025-26,wlax,Landmark Conference,landmark_conference,Goucher,Camden West,Camden,West,,1467,Camden West,"WEST,CAMDEN",WESTCAMDENGOU,17,16,,,Goucher,GOU,0,,,,,,2.76,0,0,0,0,0,0,14,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,0,27,4,958:00,52,0,1.000,47,61,2,47,17,30,.770,,,,,,,,,,,,,,,5.076324524566616,30,92
