season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Freberg, Clare",Clare,Freberg,,1297,"Freberg, Clare","FREBERG, CLARE",Pacific Lutheran ,PacL,1266-4881,14,5,8,0,8,0,.038,52,7,9,0,0,6,0,0,0,0,0,0,0,0,9,8,0,6,2,14,0,0.64,0.00,0.64,0.57,0.00,1.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Rudd, Samia",Samia,Rudd,,1297,"Rudd, Samia","RUDD, SAMIA",Pacific Lutheran ,PacL,1266-4884,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Hansma, Audrey",Audrey,Hansma,,1297,"Hansma, Audrey","HANSMA, AUDREY",Pacific Lutheran ,PacL,1266-4879,1,0,5,0,5,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Magoun, Mary",Mary,Magoun,,1297,"Magoun, Mary","MAGOUN, MARY",Pacific Lutheran ,PacL,1266-4883,14,0,13,0,13,0,.000,29,5,5,3,0,14,0,5,13,55,0,0,19,0,25,0,0,0,0,10,0,0.36,0.21,1.79,0.00,0.36,0.71,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Schubert, Scarlett",Scarlett,Schubert,,1297,"Schubert, Scarlett","SCHUBERT, SCARLETT",Pacific Lutheran ,PacL,1266-5060,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Pitt, Tiani",Tiani,Pitt,,1297,"Pitt, Tiani","PITT, TIANI",Pacific Lutheran ,PacL,1266-5067,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Parks, Asa",Asa,Parks,,1297,"Parks, Asa","PARKS, ASA",Pacific Lutheran ,PacL,1266-5037,3,0,14,0,14,0,.000,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1.5,0,0.33,0.00,0.33,0.33,0.00,0.50,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Sugai, Krysta",Krysta,Sugai,,1297,"Sugai, Krysta","SUGAI, KRYSTA",Pacific Lutheran ,PacL,1266-5038,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Pacific Lutheran,"Mariani, Kalena",Kalena,Mariani,,1297,"Mariani, Kalena","MARIANI, KALENA",Pacific Lutheran ,PacL,1266-5041,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Dream Takemoto,Dream,Takemoto,,785,Dream Takemoto,"TAKEMOTO,DREAM",Willamette,WU,0,14,0,1,0,1,0,.000,2,0,0,15,0,39,0,6,5,56,0,0,77,5,63,0,0,0,0,6,0,0.00,1.07,4.50,0.00,0.43,0.43,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Lea Prunk,Lea,Prunk,,785,Lea Prunk,"PRUNK,LEA",Willamette,WU,0,7,1,2,0,2,0,.000,0,0,0,0,0,3,0,3,4,23,0,0,16,3,4,0,0,0,0,3,0,0.00,0.00,0.57,0.00,0.43,0.43,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Lylah Worsley,Lylah,Worsley,,785,Lylah Worsley,"WORSLEY,LYLAH",Willamette,WU,0,3,1,3,0,3,0,.000,8,1,1,8,0,43,0,1,0,12,0,0,0,0,6,0,0,0,0,2,0,0.33,2.67,2.00,0.00,0.33,0.67,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Brianna Everett,Brianna,Everett,,785,Brianna Everett,"EVERETT,BRIANNA",Willamette,WU,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Maddy Brewster,Maddy,Brewster,,785,Maddy Brewster,"BREWSTER,MADDY",Willamette,WU,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Callie Chong,Callie,Chong,,785,Callie Chong,"CHONG,CALLIE",Willamette,WU,0,14,2,6,0,6,0,-.076,92,21,14,0,0,9,0,3,4,41,0,0,71,8,38,0,0,0,0,17,0,1.00,0.00,2.71,0.00,0.21,1.21,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Lexie Scott,Lexie,Scott,,785,Lexie Scott,"SCOTT,LEXIE",Willamette,WU,0,14,4,7,0,7,0,.205,176,29,65,0,0,4,0,1,6,17,0,0,17,3,14,5,0,5,0,68.5,1,4.64,0.00,1.00,0.36,0.07,4.89,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Tai Sorenson,Tai,Sorenson,,785,Tai Sorenson,"SORENSON,TAI",Willamette,WU,0,14,3,8,0,8,0,1.000,1,0,1,8,0,14,0,2,2,48,0,0,45,5,31,0,0,0,0,3,0,0.07,0.57,2.21,0.00,0.14,0.21,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Leina Chu,Leina,Chu,,785,Leina Chu,"CHU,LEINA",Willamette,WU,0,14,4,9,0,9,0,.000,16,2,2,114,4,223,0,3,1,56,0,0,1,0,40,3,1,3,0,6.5,0,0.14,8.14,2.86,0.21,0.21,0.46,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Chelsea Velez,Chelsea,Velez,,785,Chelsea Velez,"VELEZ,CHELSEA",Willamette,WU,0,14,1,10,0,10,0,-.333,3,2,1,1,0,4,0,0,0,0,0,0,47,5,28,0,0,0,0,1,0,0.07,0.07,2.00,0.00,0.00,0.07,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Tessa Reed,Tessa,Reed,,785,Tessa Reed,"REED,TESSA",Willamette,WU,0,14,4,12,0,12,0,.443,70,6,37,0,0,4,0,5,8,62,0,0,1,0,8,5,0,5,0,44.5,1,2.64,0.00,0.57,0.36,0.36,3.18,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Emalia Freitas,Emalia,Freitas,,785,Emalia Freitas,"FREITAS,EMALIA",Willamette,WU,0,14,4,14,0,14,0,.149,47,7,14,0,0,3,0,0,0,0,0,0,0,0,5,12,1,9,3,21.5,0,1.00,0.00,0.36,0.86,0.00,1.54,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Abbi Bailey,Abbi,Bailey,,785,Abbi Bailey,"BAILEY,ABBI",Willamette,WU,0,3,0,15,0,15,0,-.048,21,4,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3.5,0,1.00,0.00,0.33,0.33,0.00,1.17,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Cora Sorem,Cora,Sorem,,785,Cora Sorem,"SOREM,CORA",Willamette,WU,0,13,0,16,0,16,0,.135,89,10,22,0,0,2,0,0,0,0,0,0,0,0,5,6,0,5,1,25.5,1,1.69,0.00,0.38,0.46,0.00,1.96,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,Katelynn Hooper,Katelynn,Hooper,,785,Katelynn Hooper,"HOOPER,KATELYNN",Willamette,WU,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Willamette,"Hopper, Katelynn",Katelynn,Hopper,,785,"Hopper, Katelynn","HOPPER, KATELYNN",Willamette,WU,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Tanner, Aubrey",Aubrey,Tanner,,557,"Tanner, Aubrey","TANNER, AUBREY",Puget Sound,PS,1267-3862,16,5,10,0,10,0,.287,87,11,36,69,5,205,0,3,5,55,0,0,0,0,36,4,0,3,1,41.5,0,2.25,4.31,2.25,0.25,0.19,2.59,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Farley, Chamberlin",Chamberlin,Farley,,557,"Farley, Chamberlin","FARLEY, CHAMBERLIN",Puget Sound,PS,1267-3241,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Fedota, Mia",Mia,Fedota,,557,"Fedota, Mia","FEDOTA, MIA",Puget Sound,PS,1267-3229,10,5,23,0,23,0,.200,35,4,11,0,0,2,0,0,0,0,0,0,0,0,2,9,0,2,7,19,2,1.10,0.00,0.20,0.90,0.00,1.90,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Garcia, Viviann",Viviann,Garcia,,557,"Garcia, Viviann","GARCIA, VIVIANN",Puget Sound,PS,1267-3232,5,0,3,0,3,0,-.059,17,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5.5,0,1.00,0.00,0.40,0.20,0.00,1.10,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Higgins, Alexis",Alexis,Higgins,,557,"Higgins, Alexis","HIGGINS, ALEXIS",Puget Sound,PS,1267-3234,7,0,16,0,16,0,1.000,1,0,1,1,0,4,0,1,3,29,0,0,0,0,4,0,0,0,0,2,0,0.14,0.14,0.57,0.00,0.14,0.29,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Keightley, Samantha",Samantha,Keightley,,557,"Keightley, Samantha","KEIGHTLEY, SAMANTHA",Puget Sound,PS,1267-3237,16,0,5,0,5,0,.250,4,0,1,17,0,59,0,5,10,42,0,0,52,1,71,0,0,0,0,6,1,0.06,1.06,4.44,0.00,0.31,0.38,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Ly, Lauren",Lauren,Ly,,557,"Ly, Lauren","LY, LAUREN",Puget Sound,PS,1267-3238,14,0,9,0,9,0,.000,2,0,0,0,0,5,0,4,7,48,0,0,49,6,19,0,0,0,0,4,0,0.00,0.00,1.36,0.00,0.29,0.29,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Raduziner, Nicolette",Nicolette,Raduziner,,557,"Raduziner, Nicolette","RADUZINER, NICOLETTE",Puget Sound,PS,1267-3236,11,1,17,0,17,0,.250,68,9,26,0,2,9,0,0,4,25,0,0,57,0,16,1,1,0,1,27,0,2.36,0.00,1.45,0.09,0.00,2.45,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Reed, Amelia",Amelia,Reed,,557,"Reed, Amelia","REED, AMELIA",Puget Sound,PS,1267-3239,11,0,12,0,12,0,.000,0,0,0,2,0,9,0,2,2,19,0,0,50,5,13,0,0,0,0,2,0,0.00,0.18,1.18,0.00,0.18,0.18,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Villegas, Hattie",Hattie,Villegas,,557,"Villegas, Hattie","VILLEGAS, HATTIE",Puget Sound,PS,1267-3551,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Denny, Mary",Mary,Denny,,557,"Denny, Mary","DENNY, MARY",Puget Sound,PS,1267-3869,3,2,33,0,33,0,.077,13,1,2,0,0,0,0,0,0,0,0,0,10,3,4,0,0,0,0,2,0,0.67,0.00,1.33,0.00,0.00,0.67,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Wong, Nat",Nat,Wong,,557,"Wong, Nat","WONG, NAT",Puget Sound,PS,1267-3864,8,3,14,0,14,0,.000,2,0,0,35,2,106,0,1,2,26,0,0,0,0,15,0,0,0,0,1,2,0.00,4.38,1.88,0.00,0.13,0.13,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Badger, Maddie",Maddie,Badger,,557,"Badger, Maddie","BADGER, MADDIE",Puget Sound,PS,1267-3541,16,5,25,0,25,0,.224,107,13,37,0,0,9,0,0,0,0,0,0,1,0,1,11,0,5,6,45.5,1,2.31,0.00,0.06,0.69,0.00,2.84,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Coleman, Meredith",Meredith,Coleman,,557,"Coleman, Meredith","COLEMAN, MEREDITH",Puget Sound,PS,1267-3542,2,0,21,0,21,0,.000,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3.5,0,1.00,0.00,0.00,1.00,0.00,1.75,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"La Fever, Ellery",Ellery,La Fever,,557,"La Fever, Ellery","LA FEVER, ELLERY",Puget Sound,PS,1267-3548,1,0,1,0,1,0,.000,0,0,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Harrington, Ursula",Ursula,Harrington,,557,"Harrington, Ursula","HARRINGTON, URSULA",Puget Sound,PS,1267-3684,14,0,20,0,20,0,.208,53,9,20,0,0,7,0,0,0,0,0,0,3,0,3,5,0,3,2,23.5,0,1.43,0.00,0.21,0.36,0.00,1.68,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Fink, Gena",Gena,Fink,,557,"Fink, Gena","FINK, GENA",Puget Sound,PS,1267-3865,14,5,22,0,22,0,.086,81,16,23,0,1,8,0,0,1,1,0,0,38,4,6,2,0,1,1,24.5,0,1.64,0.00,0.43,0.14,0.00,1.75,,,,,,
2026-27,wvball,Northwest Conference (NWC),nwc,Puget Sound,"Fleetwood, Charlotte",Charlotte,Fleetwood,,557,"Fleetwood, Charlotte","FLEETWOOD, CHARLOTTE",Puget Sound,PS,1267-3860,5,2,7,0,7,0,.172,29,5,10,0,0,1,0,0,2,10,0,0,13,3,1,3,0,2,1,12,0,2.00,0.00,0.20,0.60,0.00,2.40,,,,,,
