season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fumblereturn_stats,fumble_stats,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,puntreturn_stats,interception_return_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Stanley,Jack",Jack,Stanley,,755,"Stanley,Jack","STANLEY,JACK",WashU,WAS,1203-2469,1,1,16,16,0,0,S,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Cui,Everett",Everett,Cui,,755,"Cui,Everett","CUI,EVERETT",WashU,WAS,1203-2444,1,0,17,17,0,0,LB,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Donahue,Colin",Colin,Donahue,,755,"Donahue,Colin","DONAHUE,COLIN",WashU,WAS,1203-2128,1,0,18,18,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Flores,Wiley",Wiley,Flores,,755,"Flores,Wiley","FLORES,WILEY",WashU,WAS,1203-2279,1,0,20,20,0,0,LB,0,,,,,,,,0,3,0,3,3,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Johnston,Joey",Joey,Johnston,,755,"Johnston,Joey","JOHNSTON,JOEY",WashU,WAS,1203-2629,1,0,20,2X,0,WR,0,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Fraile,Kellen",Kellen,Fraile,,755,"Fraile,Kellen","FRAILE,KELLEN",WashU,WAS,1203-2129,1,1,21,21,0,0,DB,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Feldner,Ethan",Ethan,Feldner,,755,"Feldner,Ethan","FELDNER,ETHAN",WashU,WAS,1203-2448,1,0,23,23,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Telesco,Thomas",Thomas,Telesco,,755,"Telesco,Thomas","TELESCO,THOMAS",WashU,WAS,1203-2289,1,0,24,24,0,0,S,0,,,,,,,,0,4,0,4,4,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Shearer,Brad",Brad,Shearer,,755,"Shearer,Brad","SHEARER,BRAD",WashU,WAS,1203-2467,1,1,25,25,0,0,S,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,North Coast Athletic Conference (NCAC),ncac,WashU,"Neupaver,Cole",Cole,Neupaver,,755,"Neupaver,Cole","NEUPAVER,COLE",WashU,WAS,1203-2640,1,0,28,28,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9,65,65,0,1,24,7.2,65.0,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
