season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Concordia,"Stockert, Isaac",Isaac,Stockert,,161,"Stockert, Isaac","STOCKERT,ISAAC",Concordia,CC,0,3,3,13,0,13,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,1,0,.33,.33,.00,.00,0,,268:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,299,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Thao, Jacob",Jacob,Thao,,38,"Thao, Jacob","THAO,JACOB",Augsburg,AUG,1103-13177,2,0,14,0,14,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,57:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,300,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Concordia,"Theurer, Taryn",Taryn,Theurer,,161,"Theurer, Taryn","THEURER,TARYN",Concordia,CC,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,301,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Hamline,"Tita, Kefeyen",Kefeyen,Tita,,268,"Tita, Kefeyen","TITA,KEFEYEN",Hamline,H U,1109-5710,1,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,302,55
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Tomlinson, Ryder",Ryder,Tomlinson,,266,"Tomlinson, Ryder","TOMLINSON,RYDER",Gustavus,GAC,1108-9594,1,1,10,0,10,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,2.00,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,303,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Carleton,"Townsend, Will",Will,Townsend,,118,"Townsend, Will","TOWNSEND,WILL",Carleton,CAR,1105-1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,304,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Tree, CJ",CJ,Tree,,612,"Tree, CJ","TREE,CJ",Saint Mary's,SMU,1116-7036,2,2,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,168:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,305,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Carleton,"Turner, Hays",Hays,Turner,,118,"Turner, Hays","TURNER,HAYS",Carleton,CAR,1105-1105,0,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,306,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Twinawe, Ivan",Ivan,Twinawe,,38,"Twinawe, Ivan","TWINAWE,IVAN",Augsburg,AUG,1103-13361,1,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,307,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Tyler Agosta,Tyler,Agosta,,602,Tyler Agosta,"AGOSTA,TYLER",Saint John's,SJU,0,2,0,34,0,34,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,16:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,308,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Carleton,"Umscheid, Will",Will,Umscheid,,118,"Umscheid, Will","UMSCHEID,WILL",Carleton,CAR,1105-1340,1,1,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,63:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,309,54
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Valdes, Daniel",Daniel,Valdes,,615,"Valdes, Daniel","VALDES,DANIEL",St. Olaf,STO,1117-5270,0,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,310,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Vang, Evan",Evan,Vang,,612,"Vang, Evan","VANG,EVAN",Saint Mary's,SMU,1116-7276,1,0,27,0,27,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,22:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,311,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Vargas Jr., Willy",Willy,Vargas Jr.,,615,"Vargas Jr., Willy","VARGAS JR.,WILLY",St. Olaf,STO,1117-5278,0,0,29,0,29,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,312,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Voeung, Dominic",Dominic,Voeung,,266,"Voeung, Dominic","VOEUNG,DOMINIC",Gustavus,GAC,1108-10087,0,0,25,0,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,313,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Walker, Jacob",Jacob,Walker,,266,"Walker, Jacob","WALKER,JACOB",Gustavus,GAC,1108-9244,2,2,26,0,26,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,121:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,314,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Macalester,"Wang, Ben",Ben,Wang,,376,"Wang, Ben","WANG,BEN",Macalester,MAC,1110-5455,3,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,315,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Hamline,"Wani, Tony",Tony,Wani,,268,"Wani, Tony","WANI,TONY",Hamline,H U,1109-4746,2,1,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,1,0,1.00,.50,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,316,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Westermark, Jacob",Jacob,Westermark,,266,"Westermark, Jacob","WESTERMARK,JACOB",Gustavus,GAC,1108-10086,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,317,53
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint Mary's,"Wolf, Cadel",Cadel,Wolf,,612,"Wolf, Cadel","WOLF,CADEL",Saint Mary's,SMU,1116-7156,2,2,8,0,8,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,158:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3465254255216514,318,52
