conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,J Walker,J,Walker,25,28.8,13.1,3.8,3.4,1.3,0.2,2.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,D Kikuba,D,Kikuba,26,29.3,13.1,4.5,5.6,2.1,0.1,2.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,M Drayton,M,Drayton,15,30.9,12.9,2.9,1.0,0.5,0.0,1.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,A Allah,A,Allah,26,33.2,12.7,4.3,3.1,1.9,0.4,2.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,L Jennings,L,Jennings,24,24.8,12.0,7.3,1.4,0.8,0.8,1.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,F Field,F,Field,24,31.7,11.9,6.9,1.5,1.7,0.3,1.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Annan,J,Annan,26,27.4,11.5,6.2,3.0,2.0,1.6,2.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,N Von Zboray,N Von,Zboray,25,25.3,11.1,2.7,1.0,0.8,0.0,1.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,S Sweeney,S,Sweeney,26,25.9,11.0,2.2,1.3,0.7,0.2,0.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,V Chase,V,Chase,27,33.0,10.5,6.6,1.1,0.9,0.6,2.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,O Merryman,O,Merryman,26,26.0,10.2,3.7,1.0,0.6,0.3,1.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Thomson,J,Thomson,27,27.6,10.1,11.6,1.1,1.0,1.3,1.2
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Buckle,J,Buckle,25,19.5,9.4,2.6,1.9,0.6,0.0,1.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,L Washington,L,Washington,27,35.1,9.4,5.6,4.2,2.7,0.0,2.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,K Franks,K,Franks,23,25.9,9.0,4.7,2.1,1.6,0.4,1.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jean Charles,J Jean,Charles,21,19.4,9.0,5.5,0.7,0.8,0.6,1.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,L Talbot,L,Talbot,25,20.5,8.8,2.5,1.5,1.0,0.2,1.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,K Witherow-Bass,K,Witherow-Bass,15,18.2,8.3,4.3,0.5,0.7,0.3,0.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,D Wondie,D,Wondie,26,18.0,8.3,1.7,0.6,0.4,0.0,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,E Daleba,E,Daleba,26,17.1,8.0,3.6,1.1,0.8,0.4,1.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Rosario,T,Rosario,24,23.0,6.9,3.3,1.9,0.8,0.1,1.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,A Daguilh,A,Daguilh,26,18.2,6.9,2.3,0.5,0.6,0.2,0.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,M Makiej,M,Makiej,26,14.2,6.8,2.5,0.3,0.5,0.0,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,D Victor,D,Victor,19,16.1,6.5,3.0,0.3,0.5,0.8,1.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Mency,K,Mency,25,17.8,6.1,1.3,1.2,0.7,0.1,0.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,J Mills,J,Mills,25,23.2,6.0,5.9,1.0,0.7,0.6,1.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,D Burton,D,Burton,27,17.7,5.9,1.6,1.6,0.6,0.0,1.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Burleson,C,Burleson,22,17.8,5.7,1.5,0.7,0.2,0.0,0.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,T Powell-Aparicio,T,Powell-Aparicio,17,14.8,5.7,2.4,1.4,1.0,0.2,2.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J Ingegneri,J,Ingegneri,16,14.9,5.7,2.9,0.4,0.2,0.6,0.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,R Sablon,R,Sablon,26,20.5,5.7,3.0,1.6,0.7,0.0,1.2
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,X Smaltz,X,Smaltz,20,13.7,5.7,2.8,0.5,0.3,0.1,0.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Engel-Chatten,T,Engel-Chatten,25,16.8,5.6,3.7,0.9,0.4,0.2,1.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Olmstead,J,Olmstead,20,13.8,5.3,1.8,1.1,0.4,0.0,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,R Outlow,R,Outlow,20,17.6,5.0,4.3,0.9,0.1,0.3,0.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,T Wheeler,T,Wheeler,23,18.8,5.0,2.0,3.7,1.1,0.0,2.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Stull,J,Stull,17,9.9,4.9,2.1,0.1,0.4,0.2,0.2
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,I Alexander,I,Alexander,21,15.3,4.9,1.3,0.6,0.5,0.0,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,D Price,D,Price,18,13.6,4.8,2.9,0.4,0.3,1.0,1.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,A Rock,A,Rock,22,16.5,4.5,4.1,1.0,0.4,0.3,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,A Thompson,A,Thompson,25,12.4,4.3,2.4,0.6,0.8,0.3,0.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,C Shoesmith,C,Shoesmith,26,13.5,4.2,3.6,0.8,0.3,0.2,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,W Martinez,W,Martinez,26,19.6,4.0,2.5,0.8,1.2,0.2,0.7
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,J Potter,J,Potter,24,17.9,3.2,3.8,1.0,0.3,0.4,0.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,T Green,T,Green,21,9.9,3.1,1.0,0.6,0.5,0.1,1.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,K Wiley,K,Wiley,23,12.0,3.1,2.1,0.5,0.6,0.5,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,M Hayes,M,Hayes,26,10.3,3.0,1.2,0.9,0.5,0.0,0.8
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,C Hoekstra,C,Hoekstra,24,14.8,2.9,4.1,0.4,0.8,0.7,0.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J McKinney,J,McKinney,19,11.5,2.9,2.7,0.5,0.3,0.6,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,S Joacine,S,Joacine,25,12.1,2.8,1.9,0.3,0.3,0.2,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Simeon,J,Simeon,22,12.8,2.7,2.1,0.1,0.3,0.1,0.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,M Knight,M,Knight,25,15.0,2.6,3.0,1.2,0.5,0.1,1.2
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,B White,B,White,25,15.9,2.6,1.6,1.8,0.6,0.2,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,A Fournier,A,Fournier,25,15.1,2.4,2.9,1.2,0.5,0.4,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,P Freeman,P,Freeman,23,7.7,2.3,0.8,0.5,0.1,0.0,1.0
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,T Williams,T,Williams,19,9.6,2.1,1.5,0.3,0.3,0.0,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,L Sanchez,L,Sanchez,19,7.9,2.0,0.8,0.5,0.1,0.1,0.6
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,J Witt,J,Witt,15,9.5,1.9,1.5,0.3,0.3,0.3,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,A Bah,A,Bah,22,15.4,1.9,2.5,1.1,0.1,0.4,0.9
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,J Florestal,J,Florestal,20,10.8,1.9,0.9,0.1,0.5,0.1,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,N Obarisiagbon,N,Obarisiagbon,22,8.6,1.6,3.1,0.2,0.2,0.2,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,A Parker,A,Parker,24,7.3,1.6,0.9,0.5,0.3,0.1,1.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,S Mierzwa,S,Mierzwa,21,6.6,1.5,0.9,0.4,0.2,0.1,0.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,B Saint Louis,B Saint,Louis,18,3.6,1.3,1.8,0.1,0.2,0.1,0.4
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Sullivan,J,Sullivan,22,6.1,1.3,1.2,0.1,0.0,0.0,0.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,J Beltres Diaz,J Beltres,Diaz,18,7.8,1.3,1.6,0.7,0.6,0.0,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,T McCoy,T,McCoy,15,5.8,1.1,0.7,0.1,0.0,0.1,0.5
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,S Hebert,S,Hebert,19,5.7,0.8,0.6,0.3,0.3,0.0,0.1
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,K Gann,K,Gann,21,9.2,0.5,1.2,0.2,0.1,0.2,0.3
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,S Craig,S,Craig,18,4.9,0.4,0.8,0.1,0.4,0.1,0.1
