season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,scoring_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Landmark Conference,landmark_conference,Juniata,Estuardo Salguero,Estuardo,Salguero,,325,Estuardo Salguero,"SALGUERO,ESTUARDO",Juniata,JUNIATA,0,1,1,11,11,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,5,5,2.0,.0,.0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6020870937859137,21,94
2026-27,football,Landmark Conference,landmark_conference,Juniata,Nick Johnson,Nick,Johnson,,325,Nick Johnson,"JOHNSON,NICK",Juniata,JUNIATA,0,1,1,45,45,0,0,DE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,5,2.0,.0,.0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6020870937859137,22,93
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Stokes,Yahseam",Yahseam,Stokes,,373,"Stokes,Yahseam","STOKES,YAHSEAM",Lycoming,LYC,996-9390,1,1,0,0,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,5,5,2.0,.0,.0,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6020870937859137,23,93
2026-27,football,Landmark Conference,landmark_conference,Moravian,"Ludlow,Josh",Josh,Ludlow,,443,"Ludlow,Josh","LUDLOW,JOSH",Moravian,MOR,0,1,1,5,5,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,6,55,1,20,9.2,,,,,,,,,,,,,,,1,19,0,19,19.0,1,5,0,5,5.0,,,,,,,,,,,,,,,,,,,1.415690563794385,24,93
2026-27,football,Landmark Conference,landmark_conference,Catholic,"Finan,Sean",Sean,Finan,,124,"Finan,Sean","FINAN,SEAN",Catholic,CUA,1049-2912,1,0,4,4D,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,6,6,1.5,.0,.0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4022774982525914,25,93
2026-27,football,Landmark Conference,landmark_conference,Catholic,"Toal,Shane",Shane,Toal,,124,"Toal,Shane","TOAL,SHANE",Catholic,CUA,1049-2901,1,0,10,1X,0,0,S,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,7,7,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3904085603543461,26,93
2026-27,football,Landmark Conference,landmark_conference,Western Connecticut,"Benson,Quasim",Quasim,Benson,,770,"Benson,Quasim","BENSON,QUASIM",Western Connecticut,WCT,1074-2994,1,1,5,5X,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,2,18,0,11,9.0,,,,,,,14,124,135,11,1,70,8.9,124.0,1,6,0,6,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.3669229625774422,27,93
2026-27,football,Landmark Conference,landmark_conference,Moravian,"Matthews,Andrei",Andrei,Matthews,,443,"Matthews,Andrei","MATTHEWS,ANDREI",Moravian,MOR,0,1,1,11,11,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,0,45,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3351213550638954,28,92
2026-27,football,Landmark Conference,landmark_conference,Lycoming,"Hill-Caleb,Trinity",Trinity,Hill-Caleb,,373,"Hill-Caleb,Trinity","HILL-CALEB,TRINITY",Lycoming,LYC,996-9369,1,0,91,91,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,3,1.0,.0,.0,1,0,6,0,0,0,0,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2511498998555723,29,92
2026-27,football,Landmark Conference,landmark_conference,Susquehanna,"Hines,Jaden",Jaden,Hines,,685,"Hines,Jaden","HINES,JADEN",Susquehanna,SUS,1054-4925,1,1,16,16,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,3,1.0,.0,.0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2511498998555723,30,92
