season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Ivory Boyer,Ivory,Boyer,,8600,Ivory Boyer,"BOYER,IVORY",BOYERIVORYNOTRE DA,11,8,,,Notre Dame of Maryland,NOTRE DA,48-822,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,24,0,480:00,0,0,1.000,,7,7,1,1,0,1,1.000,0.09,,,,,,,,,,,,,,,,,,,-3.138455149537242,69,57
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Tori Hampton,Tori,Hampton,,611,Tori Hampton,"HAMPTON,TORI",HAMPTONTORIST. MARY,8,0,,,St. Mary's (Md.),ST. MARY,659-3693,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,00:00,0,0,1.000,,5,5,1,1,0,1,1.000,0.13,,,,,,,,,,,,,,,,,,,-3.1870678103213668,70,56
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Sophie Wisniewski,Sophie,Wisniewski,,8600,Sophie Wisniewski,"WISNIEWSKI,SOPHIE",WISNIEWSKISOPHIENOTRE DA,10,8,,,Notre Dame of Maryland,NOTRE DA,48-824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,480:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.2445623434963475,71,55
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Sandra Flores Garcia,Sandra Flores,Garcia,,8600,Sandra Flores Garcia,"GARCIA,SANDRA FLORES",GARCIASANDRAFLORESNOTRE DA,5,1,,,Notre Dame of Maryland,NOTRE DA,48-855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.2638400138960604,72,55
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Keira Eyster,Keira,Eyster,,611,Keira Eyster,"EYSTER,KEIRA",EYSTERKEIRAST. MARY,5,0,,,St. Mary's (Md.),ST. MARY,659-4177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.4490703066175454,73,54
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,Adanma Nwankwoala,Adanma,Nwankwoala,,8600,Adanma Nwankwoala,"NWANKWOALA,ADANMA",NWANKWOALAADANMANOTRE DA,6,1,,,Notre Dame of Maryland,NOTRE DA,48-853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.49768296740167,74,53
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Claire Lischinsky,Claire,Lischinsky,,611,Claire Lischinsky,"LISCHINSKY,CLAIRE",LISCHINSKYCLAIREST. MARY,1,0,,,St. Mary's (Md.),ST. MARY,659-3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.49768296740167,75,53
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Kiara Edmunds,Kiara,Edmunds,,611,Kiara Edmunds,"EDMUNDS,KIARA",EDMUNDSKIARAST. MARY,3,0,,,St. Mary's (Md.),ST. MARY,659-3977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,,1,1,1,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,,-3.49768296740167,76,52
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Renee Fohner,Renee,Fohner,,611,Renee Fohner,"FOHNER,RENEE",FOHNERRENEEST. MARY,4,0,,,St. Mary's (Md.),ST. MARY,659-3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-3.49768296740167,77,51
2026-27,wlax,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Lillian Gunder,Lillian,Gunder,,611,Lillian Gunder,"GUNDER,LILLIAN",GUNDERLILLIANST. MARY,8,1,,,St. Mary's (Md.),ST. MARY,659-4181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,60:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,8,203:43,31,7,0,0,1,0,2,0,0,52,9.13,.184,,,,,-5.574024313836232,78,51
