season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Leet,Anneliese",Anneliese,Leet,F,2741,"Leet,Anneliese","LEET,ANNELIESE",Howard Payne,HPU,0,2,0,14,0,0,0,0,0,2,1,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,14,25.0,41,71
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Nicholson,Kaley",Kaley,Nicholson,G,2741,"Nicholson,Kaley","NICHOLSON,KALEY",Howard Payne,HPU,0,27,2,21,0,38,115,28,84,42,30,134,0,30,11,448,24,47,71,43,0,26,1,0,27,0.33,0.33,0.71,4.96,2.63,0.41,1.11,0.00,21,24.0,42,70
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Glasgow,Kinsey",Kinsey,Glasgow,G,2741,"Glasgow,Kinsey","GLASGOW,KINSEY",Howard Payne,HPU,0,13,0,23,0,12,42,5,23,7,6,35,0,5,4,119,6,8,14,8,0,1,0,0,13,0.29,0.22,0.86,2.69,1.08,0.31,0.38,0.00,23,23.0,43,70
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Peterson,BrookLynn",BrookLynn,Peterson,F,2741,"Peterson,BrookLynn","PETERSON,BROOKLYNN",Howard Payne,HPU,0,14,0,32,0,5,8,0,0,2,2,12,1,2,5,98,6,13,19,4,0,2,0,0,14,0.63,0.00,1.00,0.86,1.36,0.36,0.14,0.07,32,22.0,44,69
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Buchanan,Kate",Kate,Buchanan,F,2741,"Buchanan,Kate","BUCHANAN,KATE",Howard Payne,HPU,0,25,22,40,0,48,130,1,14,44,28,125,10,29,11,594,49,78,127,41,0,33,0,0,25,0.37,0.07,0.64,5.00,5.08,0.44,1.16,0.40,40,21.0,45,68
2025-26,wbball,American Southwest Conference (ASC),asc,Howard Payne,"Hermesmeyer,Hope",Hope,Hermesmeyer,,2741,"Hermesmeyer,Hope","HERMESMEYER,HOPE",Howard Payne,HPU,639-3645,17,7,20,0,50,159,19,67,36,28,147,8,19,26,492,14,32,46,29,0,43,0,0,17,0.31,0.28,0.78,8.65,2.71,1.53,1.12,0.47,20,20.0,46,67
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"George,Sofia",Sofia,George,G,1203,"George,Sofia","GEORGE,SOFIA",Mary Hardin-Baylor,UMHB,641-6396,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01,19.0,47,66
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Atkinson,Kyley",Kyley,Atkinson,F,1203,"Atkinson,Kyley","ATKINSON,KYLEY",Mary Hardin-Baylor,UMHB,641-6713,15,2,02,0,5,22,1,6,4,3,14,1,3,3,99,6,12,18,13,0,8,0,0,15,0.23,0.17,0.75,0.93,1.20,0.20,0.20,0.07,02,18.0,48,65
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Welch,Amari",Amari,Welch,G,1203,"Welch,Amari","WELCH,AMARI",Mary Hardin-Baylor,UMHB,641-6715,15,9,03,0,36,120,19,77,15,8,99,0,16,21,348,10,38,48,32,0,30,0,0,15,0.30,0.25,0.53,6.60,3.20,1.40,1.07,0.00,03,17.0,49,64
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Okoye,Rachel",Rachel,Okoye,G,1203,"Okoye,Rachel","OKOYE,RACHEL",Mary Hardin-Baylor,UMHB,641-6389,24,19,05,0,100,232,3,35,102,80,283,7,66,75,691,58,92,150,64,0,90,2,0,24,0.43,0.09,0.78,11.79,6.25,3.13,2.75,0.29,05,16.0,50,64
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Solis,Madyson",Madyson,Solis,G,1203,"Solis,Madyson","SOLIS,MADYSON",Mary Hardin-Baylor,UMHB,641-6711,26,12,08,0,15,60,1,13,6,1,32,0,13,8,422,41,42,83,54,0,31,2,0,26,0.25,0.08,0.17,1.23,3.19,0.31,0.50,0.00,08,15.0,51,63
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Levings,Abby",Abby,Levings,F,1203,"Levings,Abby","LEVINGS,ABBY",Mary Hardin-Baylor,UMHB,641-6395,11,3,10,0,2,13,0,0,6,3,7,1,1,1,84,4,3,7,8,0,8,0,0,11,0.15,0.00,0.50,0.64,0.64,0.09,0.09,0.09,10,14.0,52,62
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Galvan,Natalia",Natalia,Galvan,G,1203,"Galvan,Natalia","GALVAN,NATALIA",Mary Hardin-Baylor,UMHB,641-6706,25,11,11,0,55,156,31,75,29,24,165,9,30,30,525,21,43,64,38,0,41,1,0,25,0.35,0.41,0.83,6.60,2.56,1.20,1.20,0.36,11,13.0,53,61
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Bruder,Josie",Josie,Bruder,F,1203,"Bruder,Josie","BRUDER,JOSIE",Mary Hardin-Baylor,UMHB,641-3956,23,20,21,0,88,235,46,126,52,42,264,10,29,35,674,21,84,105,35,0,42,1,0,23,0.37,0.37,0.81,11.48,4.57,1.52,1.26,0.43,21,12.0,54,60
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Fowler,Amillion",Amillion,Fowler,F,1203,"Fowler,Amillion","FOWLER,AMILLION",Mary Hardin-Baylor,UMHB,641-6401,19,12,22,0,63,174,21,68,59,44,191,0,24,28,452,27,68,95,33,0,64,1,0,19,0.36,0.31,0.75,10.05,5.00,1.47,1.26,0.00,22,11.0,55,59
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Uzzell,Allie",Allie,Uzzell,F,1203,"Uzzell,Allie","UZZELL,ALLIE",Mary Hardin-Baylor,UMHB,641-6712,13,4,23,0,26,75,3,9,12,8,63,0,11,6,170,24,19,43,20,0,20,0,0,13,0.35,0.33,0.67,4.85,3.31,0.46,0.85,0.00,23,10.0,56,58
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Cronk,Karlee",Karlee,Cronk,F,1203,"Cronk,Karlee","CRONK,KARLEE",Mary Hardin-Baylor,UMHB,641-6397,25,15,24,0,48,104,7,23,22,13,116,7,35,31,608,60,82,142,52,0,29,0,0,25,0.46,0.30,0.59,4.64,5.68,1.24,1.40,0.28,24,9.0,57,58
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Sheppler,Pierce",Pierce,Sheppler,C,1203,"Sheppler,Pierce","SHEPPLER,PIERCE",Mary Hardin-Baylor,UMHB,641-6709,18,5,26,0,18,47,0,0,8,6,42,5,10,11,209,23,23,46,17,0,12,0,0,18,0.38,0.00,0.75,2.33,2.56,0.61,0.56,0.28,26,8.0,58,57
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Hernandez,Marissa",Marissa,Hernandez,G,1203,"Hernandez,Marissa","HERNANDEZ,MARISSA",Mary Hardin-Baylor,UMHB,641-6707,17,0,30,0,6,26,5,21,6,4,21,0,8,10,188,3,14,17,11,0,9,0,0,17,0.23,0.24,0.67,1.24,1.00,0.59,0.47,0.00,30,7.0,59,56
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Lozoya,Mia",Mia,Lozoya,G,1203,"Lozoya,Mia","LOZOYA,MIA",Mary Hardin-Baylor,UMHB,641-6392,20,4,32,0,23,69,14,45,6,2,62,1,7,8,191,8,13,21,12,0,12,0,0,20,0.33,0.31,0.33,3.10,1.05,0.40,0.35,0.05,32,6.0,60,55
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Brooks,Katelen",Katelen,Brooks,G,1203,"Brooks,Katelen","BROOKS,KATELEN",Mary Hardin-Baylor,UMHB,641-3955,17,7,34,0,45,137,22,68,8,5,117,7,15,19,313,6,24,30,15,0,38,0,0,17,0.33,0.32,0.63,6.88,1.76,1.12,0.88,0.41,34,5.0,61,54
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Clements,Lexi",Lexi,Clements,G,1203,"Clements,Lexi","CLEMENTS,LEXI",Mary Hardin-Baylor,UMHB,641-5988,2,0,13,0,2,9,0,6,0,0,4,0,1,0,31,2,3,5,2,0,3,0,0,2,0.22,0.00,0.00,2.00,2.50,0.00,0.50,0.00,13,4.0,62,53
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Gonzalez,Danae",Danae,Gonzalez,G,1203,"Gonzalez,Danae","GONZALEZ,DANAE",Mary Hardin-Baylor,UMHB,641-6765,5,3,33,0,7,24,5,14,4,2,21,0,7,9,92,4,6,10,13,0,18,1,0,5,0.29,0.36,0.50,4.20,2.00,1.80,1.40,0.00,33,3.0,63,53
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Johns-McGarthy,Kayla",Kayla,Johns-McGarthy,,1203,"Johns-McGarthy,Kayla","JOHNS-MCGARTHY,KAYLA",Mary Hardin-Baylor,UMHB,641-6766,-1,-2,15,0,5,7,0,0,1,1,11,0,-2,2,-7,2,-6,-4,-3,0,-6,0,0,-1,0.71,0.00,1.00,-11.00,4.00,-2.00,2.00,0.00,15,2.0,64,52
2025-26,wbball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Johns-McGarity,Kayla",Kayla,Johns-McGarity,,1203,"Johns-McGarity,Kayla","JOHNS-MCGARITY,KAYLA",Mary Hardin-Baylor,UMHB,0,6,4,15,0,11,24,0,0,13,6,28,3,3,0,111,16,22,38,17,0,14,0,0,6,0.46,0.00,0.46,4.67,6.33,0.00,0.50,0.50,15,1.0,65,51
