season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,receiving_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,scoring_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,composite_score,global_rank,rating
2026-27,football,Southern Athletic Association (SAA),saa,Berry,Steven Pickett,Steven,Pickett,,973,Steven Pickett,"PICKETT,STEVEN",Berry,BERRY,838-3362,1,1,07,07,0,0,CB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,3,1.0,.0,.0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7458658041542767,21,94
2026-27,football,Southern Athletic Association (SAA),saa,Berry,Jack Thexton,Jack,Thexton,,973,Jack Thexton,"THEXTON,JACK",Berry,BERRY,838-3619,1,0,T8,T8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,3,1.5,.0,.0,1,1,5,0.5,0,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13057526371515,22,94
2026-27,football,Southern Athletic Association (SAA),saa,Berry,Gian Traverzo,Gian,Traverzo,,973,Gian Traverzo,"TRAVERZO,GIAN",Berry,BERRY,838-3134,1,1,H4,H4,0,0,S,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,8,8,1.0,.0,.0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.674751036976332,23,94
2026-27,football,Southern Athletic Association (SAA),saa,Berry,James McCallar,James,McCallar,,973,James McCallar,"MCCALLAR,JAMES",Berry,BERRY,838-3908,1,1,01,01,0,0,LB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,5,5,.5,.0,.0,0,1,4,0.5,0,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5006775483133983,24,94
2026-27,football,Southern Athletic Association (SAA),saa,Berry,Brooks Thompson,Brooks,Thompson,,973,Brooks Thompson,"THOMPSON,BROOKS",Berry,BERRY,838-3377,1,1,03,03,0,0,S,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,2,.5,.0,.0,0,1,4,0.5,0,1,4,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4879088014045876,25,93
2026-27,football,Southern Athletic Association (SAA),saa,Millsaps,"Bizjack,Grant",Grant,Bizjack,,426,"Bizjack,Grant","BIZJACK,GRANT",Millsaps,MC,1282-2837,1,1,3,3,0,QB,0,0,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,66,71,5,1,16,5.1,66.0,0,0,31,1,174,1,23,15,134.4,7.57,11.60,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.370262584879768,26,93
2026-27,football,Southern Athletic Association (SAA),saa,Sewanee,"Franklin,Maddox",Maddox,Franklin,,652,"Franklin,Maddox","FRANKLIN,MADDOX",Sewanee,SEW,1321-3723,1,0,3,3,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,38,1,38,0,1,1,749.2,38.00,38.00,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3344333684697407,27,93
2026-27,football,Southern Athletic Association (SAA),saa,Sewanee,"Woody,Clay",Clay,Woody,,652,"Woody,Clay","WOODY,CLAY",Sewanee,SEW,1321-3749,1,0,13,1C,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283902332824243,28,93
2026-27,football,Southern Athletic Association (SAA),saa,Maryville College,"McCullough,Jalen",Jalen,McCullough,,396,"McCullough,Jalen","MCCULLOUGH,JALEN",Maryville College,MAR,1027-2176,1,0,19,87,0,TE,0,0,,,8,84,0,26,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.012757007851341,29,93
2026-27,football,Southern Athletic Association (SAA),saa,Southwestern,"Forester,Houston",Houston,Forester,,8746,"Forester,Houston","FORESTER,HOUSTON",Southwestern,SWU,1322-2804,1,0,44,44,0,0,DL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,3,.5,.0,.0,0,1,2,0.5,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9459670443612107,30,93
