season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Monaco, Frank",Frank,Monaco,,30114,"Monaco, Frank","MONACO,FRANK",Penn State Abington,PSA,2032-1653,0,0,12,0,12,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Shenko, Ryan",Ryan,Shenko,,30114,"Shenko, Ryan","SHENKO,RYAN",Penn State Abington,PSA,2032-1977,3,3,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.33,.00,.00,0,,239:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Lachawiec, Shane",Shane,Lachawiec,,30114,"Lachawiec, Shane","LACHAWIEC,SHANE",Penn State Abington,PSA,2032-1957,3,0,14,0,14,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,1,0,1.33,.33,.00,.00,0,,108:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Dolan, Karrick",Karrick,Dolan,,30114,"Dolan, Karrick","DOLAN,KARRICK",Penn State Abington,PSA,2032-1976,0,0,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Konneh, Mohamed",Mohamed,Konneh,,30114,"Konneh, Mohamed","KONNEH,MOHAMED",Penn State Abington,PSA,2032-1681,3,0,17,0,17,0,0,2,3,3,1,1,0,0,1.00,.67,1.00,.333,.333,1,0,0,0,0,1,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,137:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Golter, Nick",Nick,Golter,,30114,"Golter, Nick","GOLTER,NICK",Penn State Abington,PSA,2032-1801,1,0,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,03:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Robinson, Da'Vid",Da'Vid,Robinson,,30114,"Robinson, Da'Vid","ROBINSON,DA'VID",Penn State Abington,PSA,2032-1988,3,3,19,0,19,0,0,3,4,2,0,1,0,0,1.33,1.00,.67,.333,.000,2,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,172:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Biedeman, Owen",Owen,Biedeman,,30114,"Biedeman, Owen","BIEDEMAN,OWEN",Penn State Abington,PSA,2032-1965,0,0,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Yagoub, Amerr",Amerr,Yagoub,,30114,"Yagoub, Amerr","YAGOUB,AMERR",Penn State Abington,PSA,2032-1521,3,2,21,0,21,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,187:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Rafferty, Frankie",Frankie,Rafferty,,30114,"Rafferty, Frankie","RAFFERTY,FRANKIE",Penn State Abington,PSA,2032-1675,3,3,22,0,22,0,0,5,6,4,0,2,0,0,2.00,1.67,1.33,.667,.000,3,1,0,0,1,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,178:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
