season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Waynesburg,A. Williams,A.,Williams,,1434,A. Williams,0,0WAYNESBU,28,26,,,92,21,31,14,10,1,1,18,0,2,15,5,2,1,0,1,0,0,0,3,0,4,0,0.451,46,113,3,.667,.337,.500,98,13,8,5,0,33,8,0,0,119,.933,41,.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,23,21,"7,23",0.30,7,23,"19,52",0.37,19,52,"12,32",0.38,12,32,"2,10",0.20,2,10,0,0,0,0,"9,20","5,8","35,61",120,0,0,0,10,0,0,0,5,12,0,,,,,,,,,Waynesburg,WAYNESBU,0,False,,,3.5617835659087884,27,90,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Nolan Boehm,Nolan,Boehm,,10972,Nolan Boehm,0,0CHATHAM,31,30,,,100,22,34,22,4,4,0,20,0,3,20,11,6,0,0,2,0,0,0,1,0,2,0,0.456,46,125,6,1.000,.340,.460,170,4,2,0,0,0,0,7,0,176,.989,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,23,24,"16,41",0.39,16,41,"26,64",0.41,26,64,"23,48",0.48,23,48,"3,13",0.23,3,13,0,0,0,0,"12,23","5,7","40,72",5,0,0,0,5,0,0,0,12,26,0,,,,,,,,,Chatham,CHATHAM,0,False,,,3.5342790281603853,28,90,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,K. Belmont,K.,Belmont,,30064,K. Belmont,0,0ST. VINC,38,35,,,118,27,35,30,10,0,3,17,0,2,22,10,3,1,2,3,0,0,0,0,1,1,0,0.386,54,142,4,.750,.297,.458,30,64,10,3,0,0,0,6,0,104,.904,0,.000,1,1,0,0,0,0,0,0,0,0,1.0,1,1,1,0,0,0,0,9.00,3,5,0,0,0,1,0,0,0,0,.333,2,4,32,33,"15,51",0.29,15,51,"23,67",0.34,23,67,"19,50",0.38,19,50,"1,10",0.10,1,10,0,0,0,0,"8,24","7,10","40,78",58,0,0,0,1,0,0,0,15,37,0,2,1,0,"1,1","0,2","0,1",0,"0,1",Saint Vincent,ST. VINC,0,False,,,3.349291177567683,29,89,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Waynesburg,V. Turner,V.,Turner,,1434,V. Turner,0,0WAYNESBU,20,12,,,41,7,13,8,5,0,1,2,0,10,8,2,0,0,1,1,0,0,0,1,1,2,0,0.463,21,55,0,.000,.317,.512,69,7,0,0,0,0,0,4,0,76,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,14,7,"5,15",0.33,5,15,"7,19",0.37,7,19,"4,11",0.36,4,11,"1,2",0.50,1,2,0,0,0,0,"2,7","3,3","21,29",23,0,0,0,6,0,0,0,4,8,0,,,,,,,,,Waynesburg,WAYNESBU,0,False,,,2.951269949865999,30,89,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Grant Schaffner,Grant,Schaffner,,59,Grant Schaffner,0,0BETHANY,36,36,,,124,22,37,30,14,0,1,14,0,13,36,9,5,1,0,1,0,0,0,1,0,1,0,0.421,54,152,6,.833,.298,.435,64,6,2,0,0,0,0,4,0,72,.972,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,35,"8,37",0.22,8,37,"26,75",0.35,26,75,"21,51",0.41,21,51,"6,18",0.33,6,18,0,0,0,0,"14,31","10,17","41,82",27,0,0,0,0,0,0,0,8,31,0,,,,,,,,,Bethany,BETHANY,0,False,,,2.854029122172963,31,89,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Sonny Peluchette,Sonny,Peluchette,,59,Sonny Peluchette,0,0BETHANY,37,36,,,124,29,44,14,6,1,1,16,0,0,10,1,20,5,1,1,0,0,0,0,6,0,0,0.426,55,142,25,.800,.355,.444,39,39,16,0,0,10,2,4,0,94,.830,12,.833,59,1,7,3,3,0,3,0,0,0,57.0,29,22,17,37,7,1,3,3.47,226,251,5,6,1,0,2,0,0,12,.261,5,4,38,28,"9,26",0.35,9,26,"23,56",0.41,23,56,"13,38",0.34,13,38,"7,18",0.39,7,18,0,0,0,0,"23,51","4,7","36,62",17,0,0,0,0,0,0,0,9,25,0,69,57,3,"2,9","4,14","0,2",0,"3,10",Bethany,BETHANY,0,False,,,2.7886553654634714,32,88,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Eddie Rueda,Eddie,Rueda,,10972,Eddie Rueda,0,0CHATHAM,40,40,,,173,28,57,34,12,1,1,5,0,4,15,3,6,1,3,1,0,0,0,0,1,0,0,0.361,74,186,7,.857,.329,.428,81,95,8,0,0,0,0,17,0,184,.957,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,48,53,"18,57",0.32,18,57,"32,95",0.34,32,95,"21,62",0.34,21,62,"5,21",0.24,5,21,0,0,0,0,"11,31","15,19","56,100",250,0,0,0,0,0,0,0,24,35,0,,,,,,,,,Chatham,CHATHAM,0,False,,,2.574580435246644,33,88,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Josh Dezenzo,Josh,Dezenzo,,751,Josh Dezenzo,0,0WASH. &,37,33,,,115,26,25,23,6,0,8,13,0,6,34,7,7,0,1,3,0,0,0,0,0,0,0,0.321,55,138,7,1.000,.217,.478,123,39,4,0,0,0,0,15,0,166,.976,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,17,41,"6,42",0.14,6,42,"12,64",0.19,12,64,"7,44",0.16,7,44,"4,14",0.29,4,14,0,0,0,0,"13,31","6,10","24,71",34,0,0,0,4,0,0,0,6,37,0,,,,,,,,,W&J,WASH. &,0,False,,,2.2878917407074604,34,88,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Kirk Bearjar,Kirk,Bearjar,,30084,Kirk Bearjar,0,0GENEVA,32,31,,,117,15,35,27,7,0,2,19,0,1,33,11,2,1,0,2,0,0,0,0,0,1,0,0.396,48,139,3,.667,.299,.410,25,2,1,0,0,0,0,0,0,28,.964,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,15,32,"20,49",0.41,20,49,"25,72",0.35,25,72,"19,49",0.39,19,49,"4,10",0.40,4,10,0,0,0,0,"5,21","7,13","43,81",46,0,0,0,"0,1",0,0,1,6,21,0,,,,,,,,,Geneva,GENEVA,0,False,,,2.2765968971285595,35,87,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Bradley Mcguire,Bradley,Mcguire,,30084,Bradley Mcguire,0,0GENEVA,34,34,,,128,23,40,34,6,1,0,21,0,3,24,4,10,2,1,3,0,0,0,3,2,3,0,0.413,48,156,12,.833,.313,.375,46,85,19,0,0,0,0,6,0,150,.873,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,28,37,"13,37",0.35,13,37,"27,79",0.34,27,79,"24,62",0.39,24,62,"3,11",0.27,3,11,0,0,0,0,"6,24","17,22","45,86",131,0,0,0,0,0,0,0,11,26,0,,,,,,,,,Geneva,GENEVA,0,False,,,2.2098472260954525,36,87,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Luke Alvarez,Luke,Alvarez,,751,Luke Alvarez,0,0WASH. &,21,20,,,63,10,19,12,4,0,3,7,0,1,21,6,1,0,1,1,0,0,0,0,1,0,0,0.375,32,73,1,1.000,.302,.508,118,14,6,10,2,20,4,0,0,138,.957,24,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,16,"5,20",0.25,5,20,"11,29",0.38,11,29,"7,19",0.37,7,19,"1,7",0.14,1,7,0,0,0,0,"6,14","3,7","17,34",13,0,0,0,22,0,0,0,3,15,0,,,,,,,,,W&J,WASH. &,0,False,,,2.1088773772722287,37,86,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Murgenovich Logan,Murgenovich,Logan,,1451,Murgenovich Logan,0,0WES,40,40,,,159,35,48,21,9,2,2,23,0,3,20,8,10,2,1,0,0,0,0,3,1,7,0,0.400,67,186,12,.833,.302,.421,95,123,9,0,0,0,0,27,0,227,.960,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,41,44,"13,54",0.24,13,54,"24,78",0.31,24,78,"15,58",0.26,15,58,"5,13",0.38,5,13,0,0,0,0,"26,54","5,11","42,82",129,0,0,0,0,0,0,0,13,38,0,,,,,,,,,Westminster,WES,0,False,,,1.9861563638587336,38,86,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Sam Meredith,Sam,Meredith,,265,Sam Meredith,0,0GRO,45,44,,,175,38,58,34,1,1,0,13,0,8,12,2,4,1,4,3,0,0,0,2,1,4,0,0.397,61,203,5,.800,.331,.349,62,136,6,0,0,0,0,25,0,204,.971,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,67,36,"19,55",0.35,19,55,"42,116",0.36,42,116,"29,72",0.40,29,72,"2,11",0.18,2,11,0,0,0,0,"14,33","16,21","82,136",234,0,0,0,0,0,0,0,26,48,0,,,,,,,,,Grove City,GRO,0,False,,,1.9683221464841187,39,86,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Liam Irving,Liam,Irving,,19,Liam Irving,0,0ALL,34,27,,,91,20,27,18,3,0,1,21,0,10,16,6,11,3,2,1,0,0,0,2,1,3,0,0.472,33,125,14,.786,.297,.363,52,2,1,0,0,0,0,0,0,55,.982,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,18,"11,34",0.32,11,34,"17,52",0.33,17,52,"12,33",0.36,12,33,"5,11",0.45,5,11,0,0,0,0,"13,28","5,6","31,62",70,0,0,0,4,0,0,0,10,30,0,,,,,,,,,Allegheny,ALL,0,False,,,1.9351210848699851,40,85,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Kelly David,Kelly,David,,1451,Kelly David,0,0WES,28,21,,,81,8,29,10,4,0,0,8,0,4,16,2,4,0,2,0,0,0,0,1,0,3,0,0.441,33,95,4,1.000,.358,.407,0,1,0,0,0,0,0,0,0,1,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,20,16,"10,27",0.37,10,27,"11,45",0.24,11,45,"9,30",0.30,9,30,"1,4",0.25,1,4,0,0,0,0,"10,21","3,3","26,52",1,0,0,0,39,0,0,0,7,19,0,,,,,,,,,Westminster,WES,0,False,,,1.8737026201052145,41,85,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Lyons Parker,Lyons,Parker,,1451,Lyons Parker,0,0WES,41,40,,,156,24,56,19,5,0,0,11,0,2,26,7,17,3,2,2,0,0,0,1,1,1,0,0.404,61,173,20,.850,.359,.391,31,89,7,0,0,0,0,10,0,127,.945,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,35,40,"15,43",0.35,15,43,"27,79",0.34,27,79,"18,43",0.42,18,43,"4,12",0.33,4,12,0,0,0,0,"14,36","6,8","40,85",41,0,0,0,0,0,0,0,7,26,0,,,,,,,,,Westminster,WES,0,False,,,1.7901225114869541,42,85,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,B. Hudson,B.,Hudson,,30064,B. Hudson,0,0ST. VINC,27,23,,,85,17,29,11,6,1,1,8,0,0,15,5,3,1,2,2,0,0,0,0,2,1,0,0.389,40,97,4,.750,.341,.471,61,0,3,0,0,0,0,0,0,64,.953,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,18,23,"11,27",0.41,11,27,"12,44",0.27,12,44,"5,28",0.18,5,28,"4,10",0.40,4,10,0,0,0,0,"13,27","4,6","26,50",5,0,0,0,0,0,0,0,11,22,0,,,,,,,,,Saint Vincent,ST. VINC,0,False,,,1.7447644114907364,43,84,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Zach Lemansky,Zach,Lemansky,,30084,Zach Lemansky,0,0GENEVA,36,34,,,113,27,35,23,10,1,0,18,0,5,17,9,7,1,1,3,0,0,0,1,1,2,0,0.417,47,140,8,.875,.310,.416,217,6,0,0,0,3,1,12,0,223,1.000,4,.750,8,1,1,0,0,0,0,0,0,0,10.2,6,3,7,10,1,1,0,2.53,38,47,1,0,0,1,1,0,0,7,.211,6,1,23,37,"11,48",0.23,11,48,"19,71",0.27,19,71,"16,51",0.31,16,51,"1,7",0.14,1,7,0,0,0,0,"15,26","11,14","34,79",134,0,0,0,0,0,0,0,10,45,0,4,16,0,"2,6","2,5","0,2",0,"0,4",Geneva,GENEVA,0,False,,,1.6634974407875578,44,84,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Waynesburg,M. Mendez,M.,Mendez,,1434,M. Mendez,0,0WAYNESBU,22,17,,,58,5,19,13,4,1,1,4,0,1,10,5,0,0,0,1,0,0,0,0,0,1,0,0.375,28,64,0,.000,.328,.483,60,4,4,0,0,0,0,5,0,68,.941,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,15,15,"5,14",0.36,5,14,"9,29",0.31,9,29,"5,20",0.25,5,20,"1,4",0.25,1,4,0,0,0,0,"7,17","5,6","16,31",7,0,0,0,5,0,0,0,9,12,0,,,,,,,,,Waynesburg,WAYNESBU,0,False,,,1.4987068625268924,45,84,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Peter Tadic,Peter,Tadic,,10972,Peter Tadic,0,0CHATHAM,40,39,,,156,29,46,23,12,0,3,7,0,5,17,2,19,3,1,2,0,0,0,2,1,2,0,0.341,67,171,22,.864,.295,.429,87,3,4,0,0,0,0,0,0,94,.957,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,33,57,"13,47",0.28,13,47,"23,86",0.27,23,86,"15,56",0.27,15,56,"8,15",0.53,8,15,0,0,0,0,"15,31","10,20","43,96",16,0,0,0,2,0,0,0,10,32,0,,,,,,,,,Chatham,CHATHAM,0,False,,,1.379038427477784,46,83,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Geneva,Marco Chenet,Marco,Chenet,,30084,Marco Chenet,0,0GENEVA,25,25,,,84,20,27,22,6,0,0,9,0,4,26,6,3,2,0,2,0,0,0,2,0,2,0,0.404,33,99,5,.600,.321,.393,34,0,1,0,0,0,0,0,0,35,.971,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,11,19,"5,20",0.25,5,20,"18,56",0.32,18,56,"10,39",0.26,10,39,"3,8",0.38,3,8,0,0,0,0,"7,18","11,15","30,62",118,0,0,0,0,0,0,0,7,26,0,,,,,,,,,Geneva,GENEVA,0,False,,,1.2731297329682048,47,83,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Joey Schimizzi,Joey,Schimizzi,,707,Joey Schimizzi,0,0THIEL,29,21,,,74,13,24,17,5,0,0,4,0,8,5,2,1,0,0,0,0,0,0,4,1,6,0,0.419,29,86,1,1.000,.324,.392,10,43,6,0,0,0,0,6,0,59,.898,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,27,16,"4,21",0.19,4,21,"13,41",0.32,13,41,"12,27",0.44,12,27,"1,3",0.33,1,3,0,0,0,0,"8,20","10,13","27,46",144,0,0,0,92,0,0,0,5,19,0,,,,,,,,,Thiel,THIEL,0,False,,,1.1674958360190995,48,83,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Grove City,Nick Sampson,Nick,Sampson,,265,Nick Sampson,0,0GRO,44,44,,,171,52,55,18,6,0,0,25,0,7,15,8,6,2,4,3,0,0,0,4,0,4,0,0.422,61,210,8,.750,.322,.357,92,4,0,0,0,0,0,1,0,96,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,55,44,"15,46",0.33,15,46,"31,88",0.35,31,88,"16,51",0.31,16,51,"5,12",0.42,5,12,0,0,0,0,"19,38","11,18","61,104",208,0,0,0,0,0,0,0,19,28,0,,,,,,,,,Grove City,GRO,0,False,,,0.8786046792974027,49,82,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,D. Hald,D.,Hald,,30064,D. Hald,0,0ST. VINC,40,39,,,149,28,47,24,8,0,0,14,1,8,6,3,3,0,2,4,0,0,0,3,3,7,0,0.394,55,177,3,1.000,.315,.369,237,36,6,1,1,34,24,0,0,279,.978,58,.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,54,38,"15,48",0.31,15,48,"30,86",0.35,30,86,"22,56",0.39,22,56,"6,16",0.38,6,16,0,0,0,0,"14,33","11,17","59,102",114,0,0,0,0,0,0,0,18,31,0,,,,,,,,,Saint Vincent,ST. VINC,0,False,,,0.8481046450964298,50,82,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Westminster,Wolf Andrew,Wolf,Andrew,,1451,Wolf Andrew,0,0WES,32,23,,,72,9,20,17,4,4,1,11,1,1,26,5,2,2,3,2,0,0,0,0,0,0,0,0.372,35,89,4,.500,.278,.486,54,1,2,0,0,0,0,0,0,57,.965,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,22,"10,36",0.28,10,36,"12,47",0.26,12,47,"8,34",0.24,8,34,"1,2",0.50,1,2,0,0,0,0,"8,16","4,6","23,55",72,0,0,0,"0,1",0,0,1,9,32,0,,,,,,,,,Westminster,WES,0,False,,,0.7653162416958764,51,82,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Ethan Bintrim,Ethan,Bintrim,,707,Ethan Bintrim,0,0THIEL,41,39,,,120,28,39,16,4,0,0,17,0,5,21,3,0,0,0,3,0,0,0,2,1,3,0,0.421,43,145,0,.000,.325,.358,215,22,4,0,0,3,0,16,0,241,.983,3,1.000,40,1,6,0,5,2,0,0,0,0,31.2,30,18,13,19,10,2,2,5.12,134,156,2,5,0,2,2,0,0,7,.299,3,7,31,30,"12,35",0.34,12,35,"31,78",0.40,31,78,"20,49",0.41,20,49,"2,12",0.17,2,12,0,0,0,0,"6,20","11,17","50,87",36,0,0,0,0,0,0,0,12,28,0,40,31,0,"1,3","1,6","1,1",0,"0,3",Thiel,THIEL,0,False,,,0.745966406667574,52,81,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Thiel,Cole Sherwin,Cole,Sherwin,,707,Cole Sherwin,0,0THIEL,28,28,,,100,15,32,20,8,0,0,9,0,2,11,3,1,1,0,1,0,0,0,0,0,2,0,0.384,40,112,2,.500,.320,.400,49,69,11,0,0,0,0,15,0,129,.915,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,32,22,"7,23",0.30,7,23,"20,57",0.35,20,57,"17,40",0.43,17,40,"5,8",0.63,5,8,0,0,0,0,"7,23","8,15","34,62",87,0,0,0,0,0,0,0,6,18,0,,,,,,,,,Thiel,THIEL,0,False,,,0.728132985334764,53,81,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Saint Vincent,D. Schmude,D.,Schmude,,30064,D. Schmude,0,0ST. VINC,34,28,,,103,19,33,15,4,0,0,18,1,1,13,5,14,2,0,0,0,0,0,0,0,1,0,0.426,37,122,16,.875,.320,.359,67,4,2,0,0,0,0,0,0,73,.973,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,35,18,"10,32",0.31,10,32,"20,57",0.35,20,57,"15,43",0.35,15,43,"3,14",0.21,3,14,0,0,0,0,"12,29","6,14","31,61",36,0,0,0,23,0,0,0,0,25,0,,,,,,,,,Saint Vincent,ST. VINC,0,False,,,0.6589809303524989,54,80,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Gian Degenova,Gian,Degenova,,59,Gian Degenova,0,0BETHANY,28,22,,,79,11,21,17,6,1,2,11,0,3,20,2,3,0,0,1,0,0,0,0,1,0,0,0.372,35,94,3,1.000,.266,.443,31,32,12,0,0,0,0,3,0,75,.840,0,.000,1,1,0,0,0,0,0,0,0,0,0.2,1,1,0,1,0,0,0,13.50,3,4,1,1,0,0,0,0,0,1,.333,1,4,18,21,"6,34",0.18,6,34,"10,44",0.23,10,44,"7,31",0.23,7,31,"3,13",0.23,3,13,0,0,0,0,"8,15","6,9","22,50",8,0,0,0,47,0,0,0,6,33,0,1,0,0,0,"1,3",0,0,"1,2",Bethany,BETHANY,0,False,,,0.50154419738802,55,80,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Bethany,Chad Behrendt,Chad,Behrendt,,59,Chad Behrendt,0,0BETHANY,18,10,,,33,9,11,6,1,0,0,6,0,1,5,4,1,2,0,1,0,0,0,1,0,1,0,0.439,12,41,3,.333,.333,.364,11,33,4,0,0,0,0,3,0,48,.917,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,10,7,"5,12",0.42,5,12,"9,20",0.45,9,20,"6,16",0.38,6,16,"1,4",0.25,1,4,0,0,0,0,"3,11","2,3","15,24",25,0,0,0,11,0,0,0,5,14,0,,,,,,,,,Bethany,BETHANY,0,False,,,0.4205879300911728,56,80,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Chatham,Angelo Deleonardis,Angelo,Deleonardis,,10972,Angelo Deleonardis,0,0CHATHAM,40,40,,,168,37,51,26,5,0,0,15,0,10,13,6,22,6,0,0,0,0,0,0,2,2,0,0.394,56,193,28,.786,.304,.333,192,40,2,6,0,35,7,1,0,234,.991,42,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,49,40,"10,44",0.23,10,44,"26,82",0.32,26,82,"22,62",0.35,22,62,"6,22",0.27,6,22,0,0,0,0,"28,50","13,22","45,92",216,0,0,0,0,0,0,0,5,38,0,,,,,,,,,Chatham,CHATHAM,0,False,,,0.38476516692955876,57,79,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,W&J,Zac Stern,Zac,Stern,,751,Zac Stern,0,0WASH. &,43,42,,,149,27,37,29,1,1,4,15,1,6,23,4,16,6,1,4,0,0,0,1,0,1,0,0.333,52,175,22,.727,.248,.349,69,4,0,0,0,0,0,0,0,73,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,32,59,"13,44",0.30,13,44,"18,80",0.23,18,80,"16,64",0.25,16,64,"3,14",0.21,3,14,0,0,0,0,"4,21","11,22","41,92",21,0,0,0,"0,1",0,0,1,14,22,0,,,,,,,,,W&J,WASH. &,0,False,,,0.3313950947844204,58,79,batting
2025-26,baseball,Presidents Athletic Conference (PAC),pac,Allegheny,Alejandro Samayoa,Alejandro,Samayoa,,19,Alejandro Samayoa,0,0ALL,36,36,,,127,26,36,20,9,0,2,9,0,5,18,6,12,0,2,1,0,0,0,1,1,1,0,0.352,51,144,12,1.000,.283,.402,99,90,7,1,0,6,5,10,0,196,.964,11,.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,34,37,"13,53",0.25,13,53,"22,73",0.30,22,73,"14,47",0.30,14,47,"3,11",0.27,3,11,0,0,0,0,"7,20","3,8","38,82",103,0,0,0,0,0,0,0,5,43,0,,,,,,,,,Allegheny,ALL,0,False,,,0.2653776640740407,59,79,batting
