conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Maldon,Emma",0,F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Lambo,Taylor",0,F,53,25,25,131,248,1,10,101,71,334,28,28,70,742,57,179,236,58,0,59,0,0,0.53,0.10,0.70,13.36,9.44,2.80,1.12,1.12
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Pahl,Reagan",0,0,02,15,3,41,97,23,62,28,10,115,6,18,29,377,6,45,51,38,0,28,0,0,0.42,0.37,0.36,7.67,3.40,1.93,1.20,0.40
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Cain,Elizabeth",0,*,03,26,19,78,165,2,11,53,32,190,11,20,16,572,38,45,83,54,0,45,1,0,0.47,0.18,0.60,7.31,3.19,0.62,0.77,0.42
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Ingemi,Brooke",0,0,04,17,1,2,12,0,3,6,4,8,0,4,4,93,12,7,19,7,0,8,0,0,0.17,0.00,0.67,0.47,1.12,0.24,0.24,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Soenens,Olivia",0,0,05,25,5,54,136,17,50,22,16,141,3,23,20,394,29,47,76,34,0,27,0,0,0.40,0.34,0.73,5.64,3.04,0.80,0.92,0.12
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Bernard,Za'Nyah",0,0,08,11,0,11,39,3,13,17,8,33,0,6,6,94,6,5,11,5,0,8,0,0,0.28,0.23,0.47,3.00,1.00,0.55,0.55,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Tranum,Anna",0,*,10,23,21,66,163,12,36,43,36,180,6,29,34,540,26,69,95,63,0,26,2,0,0.40,0.33,0.84,7.83,4.13,1.48,1.26,0.26
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"McCarthy,Annie",0,*,11,26,26,104,251,37,121,69,54,299,11,43,40,804,22,89,111,49,0,49,1,0,0.41,0.31,0.78,11.50,4.27,1.54,1.65,0.42
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Mendell,Laura",0,*,13,26,26,88,240,15,67,91,65,256,15,41,85,803,29,69,98,50,0,76,0,0,0.37,0.22,0.71,9.85,3.77,3.27,1.58,0.58
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Myerberg,Avery",0,0,14,10,0,8,35,2,22,9,7,25,0,5,9,138,4,20,24,11,0,7,0,0,0.23,0.09,0.78,2.50,2.40,0.90,0.50,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Anderson,Chase",0,0,20,26,17,85,214,23,78,51,35,228,65,27,45,740,56,123,179,78,0,48,3,0,0.40,0.29,0.69,8.77,6.88,1.73,1.04,2.50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Renwick,Brielle",0,0,24,26,3,43,88,2,5,39,27,115,36,26,21,423,43,80,123,71,1,33,2,0,0.49,0.40,0.69,4.42,4.73,0.81,1.00,1.38
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Liddle,Sylvia",0,*,33,19,9,22,69,3,8,29,13,60,18,14,17,247,27,39,66,20,0,19,0,0,0.32,0.38,0.45,3.16,3.47,0.89,0.74,0.95
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Nugent,Macie",0,0,34,3,0,4,10,0,0,0,0,8,0,1,1,25,0,1,1,3,0,4,0,0,0.40,0.00,0.00,2.67,0.33,0.33,0.33,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Neilon,Fiona",0,G,00,20,0,11,44,6,20,5,3,31,1,6,1,145,5,10,15,11,0,9,0,0,0.25,0.30,0.60,1.55,0.75,0.05,0.30,0.05
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Twardosky,Theresa",0,G,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Carnes,Maya",0,G,05,25,23,63,155,15,49,18,14,155,2,38,64,732,13,87,100,57,1,51,2,0,0.41,0.31,0.78,6.20,4.00,2.56,1.52,0.08
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Palmer,Lucy",0,G,08,2,2,1,5,0,2,4,1,3,0,1,11,49,2,6,8,3,0,5,0,0,0.20,0.00,0.25,1.50,4.00,5.50,0.50,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Carbonaro,Alex",0,,10,14,0,11,39,1,13,17,10,33,4,8,9,141,17,12,29,14,0,14,0,0,0.28,0.08,0.59,2.36,2.07,0.64,0.57,0.29
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Fossbender,Kiki",0,G,11,25,18,100,279,9,44,49,37,246,1,12,19,644,8,57,65,23,1,38,0,0,0.36,0.20,0.76,9.84,2.60,0.76,0.48,0.04
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Forman,Madi",0,F,12,8,0,3,10,0,0,0,0,6,8,4,0,42,4,11,15,4,0,1,0,0,0.30,0.00,0.00,0.75,1.88,0.00,0.50,1.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Dorion,Lucy",0,G,20,25,25,64,188,29,90,28,22,179,12,11,47,686,20,37,57,68,0,41,1,0,0.34,0.32,0.79,7.16,2.28,1.88,0.44,0.48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Pendleton,Amaya",0,F,22,12,0,6,13,3,5,4,2,17,0,1,2,53,3,10,13,3,0,3,0,0,0.46,0.60,0.50,1.42,1.08,0.17,0.08,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Marzo,Avery",0,G,23,25,14,113,259,34,93,70,51,311,8,37,46,766,46,75,121,40,0,53,0,0,0.44,0.37,0.73,12.44,4.84,1.84,1.48,0.32
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Simms,Marlo",0,C,24,24,24,126,239,0,0,49,31,283,18,7,19,604,128,144,272,50,0,80,0,0,0.53,0.00,0.63,11.79,11.33,0.79,0.29,0.75
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Slofkiss,Samantha",0,F,25,25,1,39,102,0,5,45,30,108,13,10,19,431,58,96,154,49,0,35,0,0,0.38,0.00,0.67,4.32,6.16,0.76,0.40,0.52
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Whitmore,Melissa",0,F,26,25,18,76,233,32,116,37,29,213,25,12,45,674,27,128,155,41,0,55,0,0,0.33,0.28,0.78,8.52,6.20,1.80,0.48,1.00
