season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats,composite_score,global_rank,rating
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Humber, Caroline",Caroline,Humber,0,764,"Humber, Caroline","Humber,Caroline",HumberCarolineWES,25,18,10,,Wesleyan,WES,1130-7202,0,,0,0,0,0,1,0,3,0,0,3,06:00,0,0,0,0,0,0,3,5,22,27,.185,4.40,16,14,2,15,,,,,,,,,,,,,,,,,,0,40,17,11,6,0.15,0,0,False,,,5.092234836029153,21,93
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Megan Martodam,Megan,Martodam,0,151,Megan Martodam,"MARTODAM,MEGAN",MARTODAMMEGANCOLBY,25,12,29,,Colby,COLBY,0,0,,0,0,0,3,1,0,0,2,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,19,3,16,6,,,,,,,,,,,,,,,,,,0,81,16,6,10,0.12,0,0,False,,,5.049530498417619,22,93
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Rosenberg, Zoe",Zoe,Rosenberg,0,789,"Rosenberg, Zoe","Rosenberg,Zoe",RosenbergZoeWIL,28,10,23,,Williams,WIL,1131-5509,0,,0,1,1,1,0,0,2,2,0,10,20:00,0,0,0,0,0,0,10,38,36,74,.514,0.95,20,9,11,6,,,,,,,,,,,,,,,,,,0,94,16,9,7,0.07,0,0,False,,,4.751764458536785,23,93
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,"Ward, Susannah",Susannah,Ward,0,420,"Ward, Susannah","Ward,Susannah",WardSusannahMID,26,8,20,,Middlebury,MID,1126-6550,0,,1,0,0,0,0,0,1,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,27,9,18,29,,,,,,,,,,,,,,,,,,0,53,16,13,3,0.06,0,0,False,,,4.354743072029008,24,93
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Keiver, Jaelyn",Jaelyn,Keiver,0,789,"Keiver, Jaelyn","Keiver,Jaelyn",KeiverJaelynWIL,26,10,13,,Williams,WIL,1131-5043,0,,1,0,0,1,1,0,2,2,0,0,00:00,0,0,0,0,0,0,0,167,127,294,.568,0.76,12,6,6,17,,,,,,,,,,,,,,,,,,0,53,15,8,7,0.13,0,0,False,,,4.312038734417473,25,93
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Gallagher, Annie",Annie,Gallagher,0,789,"Gallagher, Annie","Gallagher,Annie",GallagherAnnieWIL,28,7,3,,Williams,WIL,1131-5504,0,,0,0,0,1,0,0,5,3,0,6,12:00,0,0,0,0,0,0,6,147,157,304,.484,1.07,16,10,6,24,,,,,,,,,,,,,,,,,,0,60,14,6,8,0.13,0,0,False,,,3.971568356925105,26,92
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,"Schifano, Bella",Bella,Schifano,0,69,"Schifano, Bella","Schifano,Bella",SchifanoBellaBOW,24,12,27,,Bowdoin,BOW,1121-4538,0,,0,0,0,0,1,0,2,0,0,5,10:00,0,0,0,0,0,0,5,199,153,352,.565,0.77,21,14,7,13,,,,,,,,,,,,,,,,,,0,57,14,7,7,0.12,0,0,False,,,3.8723130102981607,27,92
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Caldara, Parker",Parker,Caldara,0,764,"Caldara, Parker","Caldara,Parker",CaldaraParkerWES,21,3,16,,Wesleyan,WES,1130-7203,0,,1,0,0,2,5,0,1,3,0,3,06:00,0,0,0,0,0,0,3,8,2,10,.800,0.25,15,19,-4,9,,,,,,,,,,,,,,,,,,0,58,13,4,9,0.16,0,0,False,,,3.6310979794327376,28,92
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Allie Corrieri,Allie,Corrieri,0,151,Allie Corrieri,"CORRIERI,ALLIE",CORRIERIALLIECOLBY,26,11,11,,Colby,COLBY,0,0,,0,0,0,1,0,0,2,1,0,5,10:00,0,0,0,0,0,0,5,0,0,0,NaN,0,26,11,15,28,,,,,,,,,,,,,,,,,,0,66,14,10,4,0.06,0,0,False,,,3.5745469704173276,29,92
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Chesner, Casey",Casey,Chesner,0,163,"Chesner, Casey","Chesner,Casey",ChesnerCaseyCON,24,18,15,,Conn. College,CON,0,0,,0,0,0,1,1,0,1,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,13,13,0,15,,,,,,,,,,,,,,,,,,0,90,13,6,7,0.08,0,0,False,,,3.432587286178849,30,92
