conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stevens Point,"Gehri,Brenna",0,G,0,26,2,25,63,4,22,10,7,61,0,17,18,361,12,20,32,44,0,24,0,0,0.4,0.18,0.7,2.35,1.23,0.69,0.65,0.0,0.9230769230769231,-0.3473967808847348,-0.40137611107167165,0.0011647650414418165,0.07798604727929738,0.5143690104123091,0.2553670067637637,-0.7080356794456865,-1.0259939615926703,88,55
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Whitewater,"Fox,Sylvia",0,G,24,20,0,17,38,1,4,4,2,37,0,7,12,152,5,21,26,9,0,9,0,0,0.45,0.25,0.5,1.85,1.3,0.6,0.35,0.0,0.45,-0.48033780825294853,-0.36442879697718394,-0.11714208416786498,-0.5402909781586289,0.838413283319585,-0.31451981624011577,-0.7080356794456865,-1.0699395560076113,89,55
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-La Crosse,"Jossie,Emma",0,G,42,21,0,20,36,5,9,6,3,48,1,0,2,140,9,20,29,14,0,14,0,0,0.56,0.56,0.5,2.29,1.38,0.1,0.0,0.05,0.6666666666666666,-0.36334970416892043,-0.3222032951549125,-0.7744023575529029,-0.25712345160304756,1.5513106837155923,-0.9793877764113084,-0.47399878121886957,-1.1299139857915323,90,55
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Stevens Point,"Vanden Berg,Kate",0,F,20,24,0,23,64,5,13,10,5,56,0,7,12,207,12,19,31,19,0,10,0,0,0.36,0.38,0.5,2.33,1.29,0.5,0.29,0.0,0.4166666666666667,-0.35271442197946334,-0.36970698470496793,-0.24859413884487253,-0.5838552130133338,0.255133592086488,-0.4284971808408916,-0.7080356794456865,-1.1388404368535487,91,54
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Wilson,Marin",0,F,33,4,0,1,3,0,0,4,2,4,0,0,0,5,0,0,0,1,0,0,0,0,0.33,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.7063375547789119,-1.050593201589097,-0.9058544122299105,-1.1284081486971442,0.060707028342122625,-0.9793877764113084,-0.7080356794456865,-1.1428672054454505,92,54
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Oshkosh,"Barington,Hope",0,F,31,23,1,15,33,1,2,21,15,46,0,11,5,135,15,15,30,11,0,10,0,0,0.45,0.5,0.71,2.0,1.3,0.22,0.48,0.0,0.43478260869565216,-0.44045550004248446,-0.36442879697718394,-0.6166598919404939,-0.5601789984183855,0.838413283319585,-0.06756885960510134,-0.7080356794456865,-1.1715788231669193,93,54
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Subke,Sydney",0,G,34,3,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,-0.9722196095153395,-1.050593201589097,-0.9058544122299105,-1.1284081486971442,-2.077985172845899,-0.352512271107041,-0.7080356794456865,-1.3115438472576635,94,54
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Bauman,Karsyn",0,F,15,23,0,14,44,3,16,17,15,46,1,9,6,185,12,31,43,15,0,9,0,0,0.32,0.19,0.88,2.0,1.87,0.26,0.39,0.04,0.391304347826087,-0.44045550004248446,-0.06357209649349901,-0.5640790700696907,-0.6170019134462613,-0.0041018262393326295,-0.2385349065062651,-0.5208061608642329,-1.3296251822386354,95,53
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-Eau Claire,"Stelpflug,Kasey",0,F,23,6,0,2,4,0,0,0,0,4,0,1,0,14,1,1,2,0,0,0,0,0,0.5,0.0,0.0,0.67,0.33,0.0,0.17,0.0,0.0,-0.794078632841933,-0.8764130065722268,-0.9058544122299105,-1.1284081486971442,1.1624575562268609,-0.6564519100424433,-0.7080356794456865,-1.3744150530527384,96,53
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbball,UW-La Crosse,"Agg,Rachel",0,F,31,23,0,18,54,11,31,10,7,54,4,7,7,198,9,19,28,18,0,15,0,0,0.33,0.35,0.7,2.35,1.22,0.3,0.3,0.17,0.6521739130434783,-0.3473967808847348,-0.4066542987994556,-0.5114982481988877,-0.27606442327900615,0.060707028342122625,-0.409500953407429,0.08768977452549091,-1.3854596322135508,97,53
