conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,global_rank,rating
skyline_conference,Skyline Conference,2025-26,wsoc,Mount Saint Mary,"Hansen, Kaitlin",0,,28.0,23,23,0.0,0.0,68.0,123.0,39.0,9.0,15.0,2.0,1.0,5.35,2.96,1.7,0.652,0.391,53.0,0.0,0.0,0.0,8.0,2.0,7.0,0.304,17.0,0.0,2.0,0.0,0.74,0.09,0.0,0.0,0.0,,1591:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.293423994097203,5.353988151233269,6.58093913420363,8.572526618983066,2.966511259134707,-0.07834215231130172,15.94873858975396,24,96
lec,Little East Conference (LEC),2025-26,wsoc,Southern Maine,Meghan Przybilla,0,,10.0,24,23,0.0,0.0,52.0,100.0,37.0,11.0,13.0,3.0,3.0,4.17,2.17,1.54,0.542,0.458,39.0,2.0,0.0,0.0,3.0,3.0,3.0,0.125,3.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,,1719:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.392518412080186,6.652545785286914,6.21723791910916,6.415536680981783,-0.3816427271025709,-0.07834215231130172,15.773057611343702,25,96
uaa,University Athletic Association (UAA),2025-26,wsoc,Washington St. Louis,"Clemons, Olivia",0,,9.0,24,3,0.0,0.0,50.0,93.0,40.0,6.0,17.0,0.0,0.0,3.88,2.08,1.67,0.708,0.25,33.0,0.0,1.0,0.0,1.0,5.0,3.0,0.125,21.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,,1173:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.194329576114222,3.406151700152801,6.762789741750866,6.145912938731623,-0.3816427271025709,-0.07834215231130172,15.63035444318302,26,96
aec,Atlantic East Conference (AEC),2025-26,wsoc,Gwynedd Mercy Univ.,"Bradley, Kira",0,,2.0,21,21,0.0,0.0,46.0,80.0,43.0,5.0,19.0,1.0,1.0,3.81,2.19,2.05,0.905,0.238,27.0,1.0,1.0,0.0,2.0,6.0,4.0,0.19,14.0,0.0,3.0,0.0,0.67,0.14,0.0,0.0,0.0,,1628:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.09523515813124,2.756872883125978,7.30834156439257,5.606665454231303,4.640588252253346,-0.07834215231130172,15.597466985327005,27,96
pac,Presidents Athletic Conference (PAC),2025-26,wsoc,Waynesburg,"Mohrbacher, Julz",0,,34.0,22,22,0.0,0.0,51.0,102.0,41.0,7.0,17.0,1.0,0.0,4.64,2.32,1.86,0.773,0.318,34.0,2.0,0.0,0.0,2.0,4.0,3.0,0.136,27.0,0.0,3.0,0.0,1.23,0.14,0.0,0.0,0.0,,1574:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.194329576114222,4.055430517179623,6.9446403492981,6.280724809856704,4.640588252253346,-0.07834215231130172,15.485772767706488,28,96
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Lange, Jordan",0,,44.0,22,22,0.0,0.0,48.0,77.0,37.0,9.0,14.0,2.0,2.0,3.5,2.18,1.68,0.636,0.409,34.0,0.0,0.0,0.0,2.0,9.0,4.0,0.182,25.0,0.0,1.0,0.0,1.14,0.05,0.0,0.0,0.0,,1703:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.842971203088695,5.353988151233269,6.21723791910916,5.876289196481463,1.2924342660160681,-0.07834215231130172,14.955559012646797,29,96
arc,American Rivers Conference (ARC),2025-26,wsoc,Univ. of Dubuque,"Tranchita, Alyssa",0,,22.0,19,19,0.0,0.0,83.0,129.0,34.0,8.0,13.0,5.0,4.0,6.79,4.37,1.79,0.684,0.421,70.0,2.0,0.0,0.0,3.0,6.0,3.0,0.158,16.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,,1622:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.392518412080186,4.704709334206446,5.671686096467456,10.594704685859266,-0.3816427271025709,-0.07834215231130172,14.863519420713676,30,96
ccc,The Commonwealth Coast Conference (CCC),2025-26,wsoc,University of Hartford,"Opdenbrouw, Rebecca",0,,19.0,19,19,0.0,0.0,35.0,75.0,37.0,9.0,14.0,3.0,3.0,3.95,1.84,1.95,0.737,0.474,21.0,0.0,0.0,0.0,3.0,6.0,6.0,0.316,12.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,1416:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.842971203088695,5.353988151233269,6.21723791910916,4.123734871855421,-0.3816427271025709,-0.07834215231130172,14.856159696689383,31,96
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wsoc,Southern Virginia,"Warner, Xoie",0,,10.0,19,18,0.0,0.0,38.0,71.0,40.0,6.0,17.0,0.0,0.0,3.74,2.0,2.11,0.895,0.316,21.0,0.0,2.0,0.0,4.0,1.0,2.0,0.105,29.0,0.0,2.0,0.0,1.53,0.11,0.0,0.0,0.0,,1333:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.194329576114222,3.406151700152801,6.762789741750866,4.528170485230662,2.966511259134707,-0.07834215231130172,14.804582854547236,32,96
odac,Old Dominion Athletic Conference (ODAC),2025-26,wsoc,Shenandoah,"Newcome, McKenna",0,,18.0,21,19,0.0,0.0,60.0,100.0,36.0,8.0,14.0,2.0,1.0,4.76,2.86,1.71,0.667,0.381,46.0,1.0,0.0,0.0,8.0,7.0,3.0,0.143,13.0,0.0,1.0,0.0,0.62,0.05,0.0,0.0,0.0,,1455:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.842971203088695,4.704709334206446,6.035387311561926,7.494031649982424,1.2924342660160681,-0.07834215231130172,14.69731690614515,33,96
