conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Long,Dylan",Dylan,Long,0,G,26,621.0,23.884615384615383,157.0,6.04,89.0,3.42,30.0,1.15,34.0,1.31,5.0,0.19,21.0,0.8076923076923077,59.0,132.0,0.45,3.0,28.0,0.11,36.0,56.0,0.64
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Foster,Jordan",Jordan,Foster,0,G,11,188.0,17.09090909090909,45.0,4.09,31.0,2.82,13.0,1.18,14.0,1.27,9.0,0.82,14.0,1.2727272727272727,14.0,50.0,0.28,6.0,20.0,0.3,11.0,20.0,0.55
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Gibson,Jaiden",Jaiden,Gibson,0,F,8,52.0,6.5,7.0,0.88,8.0,1.0,1.0,0.13,2.0,0.25,1.0,0.13,3.0,0.375,2.0,8.0,0.25,1.0,2.0,0.5,2.0,4.0,0.5
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Lewis,Marlon",Marlon,Lewis,0,F,26,666.0,25.615384615384617,468.0,18.0,169.0,6.5,21.0,0.81,31.0,1.19,40.0,1.54,41.0,1.5769230769230769,182.0,346.0,0.53,0.0,12.0,0.0,104.0,145.0,0.72
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Dacosta,Jahbreco",Jahbreco,Dacosta,0,F,25,496.0,19.84,174.0,6.96,163.0,6.52,12.0,0.48,17.0,0.68,5.0,0.2,21.0,0.84,69.0,125.0,0.55,0.0,3.0,0.0,36.0,53.0,0.68
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Degirmenci,Arda",Arda,Degirmenci,0,G,12,47.0,3.9166666666666665,19.0,1.58,8.0,0.67,2.0,0.17,0.0,0.0,1.0,0.08,8.0,0.6666666666666666,6.0,19.0,0.32,4.0,14.0,0.29,3.0,3.0,1.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,Jahbreso Dacosta,Jahbreso Dacosta,,0,*,1,36.0,36.0,15.0,15.0,14.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,0.67,0.0,0.0,0.0,7.0,10.0,0.7
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Reese,Tobias",Tobias,Reese,0,G,27,618.0,22.88888888888889,198.0,7.33,81.0,3.0,48.0,1.78,23.0,0.85,2.0,0.07,35.0,1.2962962962962965,61.0,162.0,0.38,35.0,108.0,0.32,41.0,68.0,0.6
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Pierce,Jalen",Jalen,Pierce,0,G,27,915.0,33.888888888888886,437.0,16.19,152.0,5.63,93.0,3.44,48.0,1.78,7.0,0.26,48.0,1.7777777777777777,155.0,270.0,0.57,34.0,88.0,0.39,93.0,109.0,0.85
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Davis,Jaylin",Jaylin,Davis,0,G,26,556.0,21.384615384615383,255.0,9.81,73.0,2.81,64.0,2.46,37.0,1.42,1.0,0.04,59.0,2.269230769230769,94.0,228.0,0.41,26.0,90.0,0.29,41.0,64.0,0.64
