season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats,goal_stats,caution_stats,misc_stats,goalie_stats,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Theodore Haythe,Theodore,Haythe,,420,Theodore Haythe,"HAYTHE,THEODORE",Middlebury,MIDDLEBU,1126-6360,0,0,22,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Ari Klayman,Ari,Klayman,,420,Ari Klayman,"KLAYMAN,ARI",Middlebury,MIDDLEBU,1126-5762,1,1,23,0,23,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Jack Bartlett,Jack,Bartlett,,420,Jack Bartlett,"BARTLETT,JACK",Middlebury,MIDDLEBU,1126-6689,0,0,24,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Samuel Leroyer,Samuel,Leroyer,,420,Samuel Leroyer,"LEROYER,SAMUEL",Middlebury,MIDDLEBU,1126-6690,1,0,25,0,25,,,,,,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Jaime Vega Espinosa,Jaime Vega,Espinosa,,420,Jaime Vega Espinosa,"ESPINOSA,JAIME VEGA",Middlebury,MIDDLEBU,1126-6691,1,0,26,0,26,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,28:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Macallister Graham,Macallister,Graham,,420,Macallister Graham,"GRAHAM,MACALLISTER",Middlebury,MIDDLEBU,1126-6694,0,0,27,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Nate Dunlop,Nate,Dunlop,,420,Nate Dunlop,"DUNLOP,NATE",Middlebury,MIDDLEBU,1126-6693,1,0,28,0,28,,,,,,0,0,1,1,2,0,1,0,0,1.00,1.00,2.00,1.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,O. Cavaceppi-Dove,O.,Cavaceppi-Dove,,420,O. Cavaceppi-Dove,"CAVACEPPI-DOVE,O",Middlebury,MIDDLEBU,1126-6352,1,1,29,0,29,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,25:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Alex Perkin,Alex,Perkin,,420,Alex Perkin,"PERKIN,ALEX",Middlebury,MIDDLEBU,1126-6356,0,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Max Cook,Max,Cook,,420,Max Cook,"COOK,MAX",Middlebury,MIDDLEBU,1126-6692,0,0,31,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Quinn Pappendick,Quinn,Pappendick,,420,Quinn Pappendick,"PAPPENDICK,QUINN",Middlebury,MIDDLEBU,1126-5975,1,0,32,0,32,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,32:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Leon Brody,Leon,Brody,,420,Leon Brody,"BRODY,LEON",Middlebury,MIDDLEBU,1126-5968,1,1,33,0,33,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,1,0,0,1,1,1.000,0.00,1,0,90:00,1,1,.00,1.000,1.000,1.00
