season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Sanchez, Jonathan",Jonathan,Sanchez,,8530,"Sanchez, Jonathan","SANCHEZ,JONATHAN",McMurry,MCU,643-6351,1,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,7,0,0,1,0,1.000,0.00,3,0,45:00,0,1,.00,1.000,.000,3.00,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Sanchez, Jose",Jose,Sanchez,,8530,"Sanchez, Jose","SANCHEZ,JOSE",McMurry,MCU,643-5955,2,2,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,121:00,0,.00,.00,,27,0,2,0,0,.667,4.50,12,6,120:38,2,2,3.00,0.667,.000,6.00,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Caballo, Enrique",Enrique,Caballo,,8530,"Caballo, Enrique","CABALLO,ENRIQUE",McMurry,MCU,643-6343,2,1,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,12,0,0,0,0,1.000,0.00,5,0,90:00,1,2,.00,1.000,.000,2.50,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Munezero, Moise",Moise,Munezero,,8530,"Munezero, Moise","MUNEZERO,MOISE",McMurry,MCU,643-5974,3,2,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,196:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Aguinaga, Alexis",Alexis,Aguinaga,,8530,"Aguinaga, Alexis","AGUINAGA,ALEXIS",McMurry,MCU,643-6340,3,2,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,225:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"McCormick, Collin",Collin,McCormick,,8530,"McCormick, Collin","MCCORMICK,COLLIN",McMurry,MCU,643-6348,2,1,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Munoz, Nick",Nick,Munoz,,8530,"Munoz, Nick","MUNOZ,NICK",McMurry,MCU,643-5461,3,1,7,0,7,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,84:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Irigoyen, Nicholas",Nicholas,Irigoyen,,8530,"Irigoyen, Nicholas","IRIGOYEN,NICHOLAS",McMurry,MCU,643-6347,3,2,8,0,8,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,143:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Hernandez, Payton",Payton,Hernandez,,8530,"Hernandez, Payton","HERNANDEZ,PAYTON",McMurry,MCU,643-6350,2,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,75:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Burnett, Jovani",Jovani,Burnett,,8530,"Burnett, Jovani","BURNETT,JOVANI",McMurry,MCU,643-5794,3,2,10,0,10,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,203:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
