season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Jamaladdin, Zayna",Zayna,Jamaladdin,,30114,"Jamaladdin, Zayna","JAMALADDIN, ZAYNA",Penn State Abington,PSA,0,10,8,11,0,11,0,.195,123,13,37,0,0,11,0,1,7,32,0,0,8,0,10,2,0,2,0,39,0,3.70,0.00,1.00,0.20,0.10,3.90,,,,,,,5.6713340669891155,11,96
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Dahn, Bridget",Bridget,Dahn,,1305,"Dahn, Bridget","DAHN, BRIDGET",Cairn University,Cairn,1236-2093,6,3,4,0,4,0,.093,54,7,12,2,0,11,0,2,1,33,0,0,28,1,27,1,0,1,0,14.5,0,2.00,0.33,4.50,0.17,0.33,2.42,,,,,,,5.530140546367668,12,96
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Mendieta, Erianna",Erianna,Mendieta,,611,"Mendieta, Erianna","MENDIETA, ERIANNA",St. Mary's (Md.),SMCMU,659-4033,11,4,12,0,12,0,.090,67,13,19,2,1,10,0,0,0,8,0,0,15,1,18,9,1,5,4,25.5,0,1.73,0.18,1.64,0.82,0.00,2.32,,,,,,,5.1997227462407105,13,95
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Berks,"Snader, Emily",Emily,Snader,,30044,"Snader, Emily","SNADER, EMILY",Penn State Berks,PSB,1243-2025,8,2,3,0,3,0,.276,29,3,11,1,0,4,0,0,0,0,0,0,1,0,0,8,0,6,2,16,0,1.38,0.13,0.00,1.00,0.00,2.00,,,,,,,5.018395576198958,14,95
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Wilson College,"Pollard, Hannah",Hannah,Pollard,,12973,"Pollard, Hannah","POLLARD, HANNAH",Wilson College,Wilson,0,6,3,18,0,18,0,.000,34,11,11,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,6,17,0,1.83,0.00,0.17,1.00,0.00,2.83,,,,,,,4.924614292514897,15,95
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Sareyka,Lea",Lea,Sareyka,,30085,"Sareyka,Lea","SAREYKA,LEA",Lancaster Bible College,LBC,1391-2201,9,5,02,0,02,0,.232,69,6,22,1,0,1,0,4,3,39,0,0,22,0,8,2,0,2,0,27,0,2.44,0.11,0.89,0.22,0.44,3.00,,,,,,,4.864646442738163,16,94
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,"Hey,Samantha",Samantha,Hey,,30085,"Hey,Samantha","HEY,SAMANTHA",Lancaster Bible College,LBC,1391-2628,9,5,26,0,26,0,.143,21,6,9,1,0,1,0,0,0,1,0,0,1,1,3,10,0,9,1,14.5,0,1.00,0.11,0.33,1.11,0.00,1.61,,,,,,,4.6968626615181375,17,94
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Shackelford, Maddie",Maddie,Shackelford,,1305,"Shackelford, Maddie","SHACKELFORD, MADDIE",Cairn University,Cairn,1236-2195,6,3,18,0,18,0,.185,27,4,9,0,0,9,0,2,3,24,0,0,0,0,10,3,1,3,0,12.5,0,1.50,0.00,1.67,0.50,0.33,2.08,,,,,,,4.693358360871039,18,94
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,"Heffner, Kylie",Kylie,Heffner,,14795,"Heffner, Kylie","HEFFNER, KYLIE",Cedar Crest College,Cedar,1303-1006,11,5,15,0,15,0,.032,94,21,24,0,0,8,0,1,5,28,0,0,86,4,25,5,1,5,0,27.5,0,2.18,0.00,2.27,0.45,0.09,2.50,,,,,,,4.662940291364143,19,94
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Costenco, Vlada",Vlada,Costenco,,611,"Costenco, Vlada","COSTENCO, VLADA",St. Mary's (Md.),SMCMU,659-4031,7,0,5,0,5,0,.394,33,2,15,0,0,5,0,0,0,1,0,0,1,0,7,3,1,2,1,17,0,2.14,0.00,1.00,0.43,0.00,2.43,,,,,,,4.580182276102715,20,93
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Brandywine,"O'Reilly, Emma",Emma,O'Reilly,,30189,"O'Reilly, Emma ","O'REILLY, EMMA ",Penn State Brandywine,F-30189,0,12,3,10,0,10,0,.131,61,11,19,1,0,15,0,5,7,29,0,0,53,1,28,4,0,4,0,26,0,1.58,0.08,2.33,0.33,0.42,2.17,,,,,,,4.558005380141463,21,93
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Harrisburg,"Wettstone, Camryn",Camryn,Wettstone,,30081,"Wettstone, Camryn","WETTSTONE, CAMRYN",Penn State Harrisburg,PSH,1244-1872,19,18,19,0,19,0,.182,159,32,61,0,3,14,0,0,0,5,0,0,38,6,11,5,4,5,0,63.5,0,3.21,0.00,0.58,0.26,0.00,3.34,,,,,,,4.493996532380825,22,93
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Brandywine,"Piccirillo, Hailey",Hailey,Piccirillo,,30189,"Piccirillo, Hailey","PICCIRILLO, HAILEY",Penn State Brandywine,F-30189,0,12,3,4,0,4,0,.076,79,11,17,1,0,22,0,5,2,34,0,0,46,5,19,6,0,6,0,25,0,1.42,0.08,1.58,0.50,0.42,2.08,,,,,,,4.420262019156047,23,93
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Bobrowski, Julia",Julia,Bobrowski,,611,"Bobrowski, Julia","BOBROWSKI, JULIA",St. Mary's (Md.),SMCMU,659-3713,11,4,17,0,17,0,.197,66,7,20,1,2,26,0,3,5,51,0,0,48,1,31,2,0,1,1,24.5,0,1.82,0.09,2.82,0.18,0.27,2.23,,,,,,,4.290487769951121,24,93
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Voinalovich, Kamilla",Kamilla,Voinalovich,,30114,"Voinalovich, Kamilla","VOINALOVICH, KAMILLA",Penn State Abington,PSA,0,10,0,21,0,21,0,.163,92,16,31,1,0,3,0,1,4,38,0,0,14,1,13,1,0,1,0,32.5,0,3.10,0.10,1.30,0.10,0.10,3.25,,,,,,,4.2891627986316845,25,92
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Berks,"Tribbett, Dani",Dani,Tribbett,,30044,"Tribbett, Dani","TRIBBETT, DANI",Penn State Berks,PSB,1243-2212,8,2,4,0,4,0,.140,43,11,17,0,0,5,0,1,6,26,0,0,1,0,6,4,0,2,2,21,0,2.13,0.00,0.75,0.50,0.13,2.63,,,,,,,4.286182080625779,26,92
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Harrisburg,"Dos Santos, Nicole",Nicole,Dos Santos,,30081,"Dos Santos, Nicole","DOS SANTOS, NICOLE",Penn State Harrisburg,PSH,1244-2010,18,14,20,0,20,0,.183,126,19,42,1,0,12,0,6,7,68,0,0,119,7,40,1,0,1,0,48.5,0,2.33,0.06,2.22,0.06,0.33,2.69,,,,,,,4.282761532115281,27,92
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cedar Crest College,"Friel, Taylor",Taylor,Friel,,14795,"Friel, Taylor","FRIEL, TAYLOR",Cedar Crest College,Cedar,1303-1011,11,5,9,0,9,0,.000,67,15,15,1,3,9,0,10,7,46,0,0,71,8,22,1,2,1,0,25.5,0,1.36,0.09,2.00,0.09,0.91,2.32,,,,,,,3.9594626219031306,28,92
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Mason, Kayla",Kayla,Mason,,30114,"Mason, Kayla","MASON, KAYLA",Penn State Abington,PSA,0,3,0,9,0,9,0,.136,22,1,4,0,1,2,0,1,0,7,0,0,3,1,7,1,0,1,0,5.5,0,1.33,0.00,2.33,0.33,0.33,1.83,,,,,,,3.8664923025798665,29,91
