season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"de Tenley, Bennett",Bennett,de Tenley,,203,"de Tenley, Bennett","DE TENLEY, BENNETT",Eastern Mennonite University,EMU,0,51,0,15,0,15,0,.023,87,21,23,3,0,9,0,1,16,53,0,0,24,0,10,2,2,2,0,25,0,0.45,0.06,0.20,0.04,0.02,0.49,,,,,,,-3.9927546855824287,103,56
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Collins, Micah",Micah,Collins,,566,"Collins, Micah","COLLINS, MICAH",Randolph College,Rand,0,11,0,4,0,4,0,.000,4,1,1,0,0,0,0,2,3,20,0,0,0,0,1,0,0,0,0,3,0,0.09,0.00,0.09,0.00,0.18,0.27,,,,,,,-4.060498430592962,104,56
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Elbert, Zachary",Zachary,Elbert,,566,"Elbert, Zachary","ELBERT, ZACHARY",Randolph College,Rand,0,70,0,7,0,7,0,-.300,10,4,1,14,2,92,0,0,0,0,0,0,327,16,158,0,0,0,0,1,0,0.01,0.20,2.26,0.00,0.00,0.01,,,,,,,-4.1995606462299975,105,56
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Wilson, Kohlby",Kohlby,Wilson,,374,"Wilson, Kohlby","WILSON, KOHLBY",Lynchburg,Lyn,0,6,0,6,0,6,0,-.286,7,3,1,0,0,3,0,1,0,8,0,0,0,0,3,1,0,0,1,3,0,0.17,0.00,0.50,0.17,0.17,0.50,,,,,,,-4.2052411163996135,106,55
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Johnson, Ethan",Ethan,Johnson,,566,"Johnson, Ethan","JOHNSON, ETHAN",Randolph College,Rand,0,19,0,6,0,6,0,.000,0,0,0,2,0,4,0,2,7,59,0,0,2,0,3,0,0,0,0,2,0,0.00,0.11,0.16,0.00,0.11,0.11,,,,,,,-4.554593342210079,107,55
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"Gomez, Samuel",Samuel,Gomez,,203,"Gomez, Samuel","GOMEZ, SAMUEL",Eastern Mennonite University,EMU,0,42,0,11,0,11,0,.000,0,0,0,0,0,4,0,4,12,60,0,0,1,0,8,0,0,0,0,4,0,0.00,0.00,0.19,0.00,0.10,0.10,,,,,,,-4.579662105872408,108,54
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Johnson, Isayah",Isayah,Johnson,,565,"Johnson, Isayah","JOHNSON, ISAYAH",Randolph-Macon College,RMC,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-4.682795068979373,109,54
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Averett University,"Giffuni, Diego",Diego,Giffuni,,44,"Giffuni, Diego","GIFFUNI, DIEGO",Averett University,AUW,0,59,27,17,0,17,0,-.077,13,3,2,161,20,663,0,1,15,54,0,0,2,1,42,1,1,1,0,3,0,0.03,2.73,0.71,0.02,0.02,0.05,,,,,,,-4.693197556184816,110,53
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,"Nuss, Kenshin",Kenshin,Nuss,,745,"Nuss, Kenshin","NUSS, KENSHIN",Virginia Wesleyan,VWU,0,55,0,8,0,8,0,.000,2,0,0,4,1,19,0,0,0,0,0,0,40,2,28,0,0,0,0,0,0,0.00,0.07,0.51,0.00,0.00,0.00,,,,,,,-4.807340018340289,111,53
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Averett University,"Dingle, Jasiri",Jasiri,Dingle,,44,"Dingle, Jasiri","DINGLE, JASIRI",Averett University,AUW,0,3,0,13,0,13,0,.000,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.33,0.00,0.00,0.00,0.00,0.33,,,,,,,-4.816421162362336,112,53
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Averett University,"Hetherington, Joel",Joel,Hetherington,,44,"Hetherington, Joel","HETHERINGTON, JOEL",Averett University,AUW,0,20,3,5,0,5,0,-.214,14,4,1,37,6,157,0,1,7,13,0,0,9,1,8,1,1,1,0,2.5,0,0.05,1.85,0.40,0.05,0.05,0.13,,,,,,,-5.369530240230735,113,52
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,",",,,,745,", ",", ",Virginia Wesleyan,VWU,0,0,1,11,0,11,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-5.394087984303186,114,52
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Bergren, Jared",Jared,Bergren,,374,"Bergren, Jared","BERGREN, JARED",Lynchburg,Lyn,0,4,0,2,0,2,0,.000,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-5.394087984303186,115,51
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Meyer, Ethan",Ethan,Meyer,,566,"Meyer, Ethan","MEYER, ETHAN",Randolph College,Rand,0,2,0,8,0,8,0,.000,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,-5.394087984303186,116,51
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Lynchburg,"Nunes, Wyatt",Wyatt,Nunes,,374,"Nunes, Wyatt","NUNES, WYATT",Lynchburg,Lyn,0,24,0,11,0,11,0,-.500,2,1,0,3,0,8,0,0,1,9,0,0,60,4,10,0,0,0,0,0,1,0.00,0.13,0.42,0.00,0.00,0.00,,,,,,,-7.282678021536645,117,50
